"Feature","Mean_Importance","SD_Importance"
"GATA3.1",16.9784687975169,4.75616257181884
"S100A12",15.110000265724,4.6354918160294
"BCL2.1",12.9066497873143,5.29815308890669
"S100A8",12.6048953071124,4.85178936805369
"GATA3",12.4798636991193,5.07691708471234
"CD177.1",12.4168963376159,5.08427048771579
"ARG1",11.9626924426746,5.47151087589283
"CD177",10.9164964710685,5.23928006468155
"IL1R2",8.38596050228542,5.04859293908657
"MAPK14.3",8.12682015414657,3.78833121677841
"MAPK14.2",7.88774794924623,3.665909944166
"BCL2",6.4924792853707,3.71427639766551
"MAPK14.4",5.91175502851236,2.58196998147166
"MAPK14.5",3.0695644491376,2.06504019387736
"MAPK14.1",2.8743895477718,2.09785247723152
"MAPK14",2.63602701949409,1.88153513640057
"ITGAM.2",1.80677363464345,1.43208559420338
"GATA3.2",1.53435420333166,1.41713593165386
"ITGAM",1.05678981289996,1.09952292686429
"ITGAM.1",0.934274710846861,0.957930851916513
"SOCS3.1",0.759069355786415,0.916880672662802
"C3AR1",0.560319056248284,0.662933585050405
"FCGR1A",0.548061459038639,0.761053264294706
"IL10",0.42312060685222,0.394688499791939
"FCGR1A.1",0.267543722440923,0.425352960872846
"HMGB1.6",0.221044178679429,0.268150539480961
"HIF1A.3",0.19882580018385,0.142562844294628
"MYD88.1",0.188322353564022,0.250631107786563
"BCL2.3",0.175019601239138,0.134675300668782
"HIF1A",0.174556395219466,0.122372410441157
"HIF1A.2",0.16883032438937,0.133151531690834
"SOCS3",0.152506000945713,0.154012021706804
"FCGR1A.2",0.141190047141032,0.265527791383766
"MYD88",0.13406000494064,0.136664251662395
"HIF1A.1",0.125514258703338,0.0991533093811523
"FCGR1A.3",0.11254820579472,0.249628582004255
"MYD88.2",0.101712286502206,0.123659329772352
"HIF1A.5",0.0920423149606372,0.0952433575524409
"MYD88.3",0.0813300767801957,0.117505721530072
"BCL2.2",0.0683328227826783,0.091627183731884
"HIF1A.7",0.0594906550113118,0.0633109774976495
"HIF1A.4",0.0524261018173711,0.0652360945095204
"HMGB1.1",0.0458618341244995,0.0645446000266947
"HMGB1.4",0.0326764697589485,0.0327341946419129
"HMGB1.2",0.0310598216251766,0.0327878712567275
"HMGB1.3",0.0303481426863082,0.0394182585086635
"HIF1A.6",0.0261217895210233,0.0274016077471014
"HMGB1",0.0223815731103186,0.0346151599906514
"HMGB1.5",0.0187081738256806,0.0256097208407309
