"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"MAPK14",0.97079262723962,0.994564172101014,0.999835526315789,0.992368421052632,0.985,0.996909581646424,0.968166666666667
"HIF1A",0.968632167602185,0.994164122837807,0.999736842105263,0.991842105263158,0.98375,0.99663967611336,0.965888888888889
"HIF1A.1",0.971579468477704,0.994694137062558,0.999769736842105,0.992105263157895,0.9875,0.997429149797571,0.966972222222222
"HIF1A.2",0.962440386793778,0.9929639368692,0.999868421052632,0.989736842105263,0.9825,0.996390013495277,0.957361111111111
"SOCS3",0.972215734363947,0.99483069836754,0.999835526315789,0.993157894736842,0.98375,0.996653171390014,0.971722222222222
"SOCS3.1",0.972688343383801,0.994978081378081,0.999835526315789,0.993421052631579,0.98375,0.996679487179487,0.972444444444444
"MYD88",0.966737519528666,0.993915193388878,0.999736842105263,0.991578947368421,0.9825,0.99638326585695,0.963793650793651
"MYD88.1",0.967591300240587,0.994044835486941,0.999802631578947,0.991842105263158,0.9825,0.996389338731444,0.965305555555556
"C3AR1",0.972614318534895,0.994971330045014,0.999802631578947,0.993421052631579,0.98375,0.99663967611336,0.972111111111111
"BCL2",0.966422537726489,0.993771144076407,0.999736842105263,0.991315789473684,0.9825,0.996390013495277,0.963583333333333
"BCL2.1",0.964775970251288,0.993511449385134,0.9996875,0.991052631578947,0.98125,0.99612685560054,0.962015873015873
"S100A12",0.969996540835274,0.994434442371284,0.999769736842105,0.992105263157895,0.985,0.996909581646424,0.966833333333333
"IL1R2",0.973311427489286,0.995108175845018,0.999769736842105,0.993684210526316,0.98375,0.996653171390014,0.973277777777778
"GATA3",0.970105400424921,0.994434116002537,0.999835526315789,0.992631578947368,0.9825,0.99640350877193,0.969638888888889
"GATA3.1",0.954119533483737,0.991363329700172,0.999605263157895,0.987105263157895,0.98,0.995883940620783,0.946642857142857
"CD177",0.970204696361591,0.994430512398933,0.999901315789474,0.992631578947368,0.9825,0.99640350877193,0.969861111111111
"CD177.1",0.974704761717133,0.995213336781758,0.999901315789474,0.992631578947368,0.99,0.997941970310391,0.969638888888889
"ITGAM",0.970049966174748,0.994437586406007,0.999802631578947,0.992368421052632,0.98375,0.996672739541161,0.968305555555556
"ITGAM.1",0.972932487367623,0.994960614065877,0.999851973684211,0.993157894736842,0.985,0.996902834008097,0.971583333333333
"ITGAM.2",0.967362100240718,0.993900649469071,0.999868421052632,0.991315789473684,0.98375,0.996672739541161,0.964083333333333
"IL10",0.972813228894952,0.994967635304477,0.999868421052632,0.993421052631579,0.98375,0.996653171390014,0.972611111111111
"FCGR1A",0.966087777778039,0.993626961563804,0.999802631578947,0.990526315789474,0.985,0.996922402159244,0.960833333333333
"FCGR1A.1",0.96992677108758,0.994437905574748,0.999819078947368,0.992368421052632,0.98375,0.996653171390014,0.967944444444444
