"Feature","Mean_Importance","SD_Importance"
"GATA3.1",12.6422660107402,4.43064731899376
"S100A12",10.7776144431863,4.23330728177839
"BCL2.1",10.4511328467082,3.54463071986528
"S100A8",10.3782377959118,3.69005369541928
"GATA3",10.21690984473,4.39217106366622
"CD177.1",10.1680115157789,3.93070736875014
"ARG1",9.16621993928124,3.40204104598811
"CD177",8.98542271127429,3.92846797883143
"MAPK14.3",7.14277767468637,3.57878180680619
"BCL2",7.08060970635525,3.4455945656123
"IL1R2",6.99123941073552,3.52070087507376
"MAPK14.2",6.38393268999907,2.97533947260634
"MAPK14.4",5.65786307896651,3.05102652354502
"CX3CR1",4.16761153298705,2.81947338850157
"HLA.DRA.1",3.55358369678129,2.14410108963312
"CCR7",3.40698686817186,2.37314423457626
"HLA.DRA",3.39553777963178,2.58281703395972
"MAPK14.5",2.97843562028147,2.14544092901631
"MAPK14.1",2.88695864262114,1.85193988682236
"MMP9",2.57518266716886,2.10660019013075
"MMP8",2.46310003604693,2.39127976544723
"MAPK14",2.41040025416354,1.80575486013857
"ITGAM.2",1.68401888061854,1.38103885417253
"GATA3.2",1.56247209227834,1.19011201833615
"ITGAM",1.55875317004335,1.11749915459521
"MMP8.1",1.26301731114203,1.196201921842
"SOCS3.1",1.17933708795525,1.12745022037488
"ITGAM.1",0.987708335510244,0.977345326567318
"MMP8.3",0.687443799977468,0.707288773767273
"C3AR1",0.651676462505196,0.808907583603428
"TLR2.1",0.55848349743378,0.666266104502314
"FCGR1A",0.549254035881012,0.675992155351623
"LCN2",0.47655696137628,0.6829726480528
"TLR2",0.449740236203919,0.656237506929801
"MMP8.2",0.407009612870946,0.468348465385963
"IL10",0.291277330672973,0.357392667927328
"FCGR1A.1",0.259413963824268,0.470052158358353
"OLFM4",0.258714299125963,0.448573207447549
"HMGB1.6",0.210177164090817,0.295787061602101
"TLR2.2",0.191063780758164,0.359764623696122
"TLR4",0.16728148131234,0.317915759097356
"TREM1",0.165796896226902,0.158866532913419
"PLAUR.1",0.165266317599307,0.141560729899615
"TREM1.1",0.164644517764463,0.127765544845681
"C5AR1",0.152424568399982,0.153241851616603
"FCGR1A.3",0.145363391296269,0.334455664107515
"CCR2.1",0.135348951905275,0.126988186824828
"SOCS3",0.117399799297391,0.188466403172985
"NOTCH1",0.108807503807158,0.120279204807463
"OLFM4.1",0.106798088844204,0.256998603950198
"MYD88.1",0.106162695772825,0.200884723837326
"FCGR1A.2",0.103851406603853,0.213326445831096
"PLAUR.3",0.0918751480411349,0.111726907710258
"BCL2.3",0.0857047461533057,0.0973391814593234
"IL1B",0.0855410970234466,0.086097691267352
"HIF1A.3",0.0840875087032609,0.0898453507562218
"HIF1A",0.084054205223216,0.0850339595538743
"TLR4.1",0.0839880604297283,0.153535012791747
"HIF1A.2",0.0827235204746992,0.0837790425095918
"PLAUR",0.0808095258141682,0.0935875232373926
"CCR2",0.0795077305003991,0.0915746927878303
"CD14",0.0782470652786662,0.0909232096188042
"TLR4.2",0.077055899640988,0.120085224962713
"TNF",0.0694042040007502,0.109783130560993
"MYD88",0.0683968313439705,0.119285939246081
"PLAUR.4",0.0669280758607645,0.0759565350282441
"TNFSF10",0.0604619906631907,0.090088901097829
"MYD88.3",0.0595366284713558,0.107981548860856
"HIF1A.1",0.0574136008585448,0.0657217992655164
"CD14.1",0.0560569779788633,0.0584961212652274
"TNFSF10.1",0.0548171202191142,0.0679205391195447
"PLAUR.2",0.0518139600944355,0.0641159666402571
"HIF1A.5",0.0512076991824427,0.100970715333931
"ELANE",0.0498130918830303,0.104985697324713
"TNFSF10.2",0.0487247057718091,0.0518427653967881
"NLRP3",0.0420937737406193,0.0610115895646405
"MYD88.2",0.0405761579672693,0.0868338654411066
"IL8",0.0390198261798781,0.0623813834633595
"BCL2.2",0.0389151089583891,0.057579992675764
"NLRP3.1",0.0381328913151224,0.0456987367279651
"ICAM1",0.0378102108850931,0.0679748095817556
"CCR2.2",0.0359810462311454,0.0458862900810497
"HIF1A.4",0.0334740316160829,0.0684511903768754
"P2RX7.3",0.0332429739988021,0.0597349763503964
"ICAM1.2",0.0331924264638577,0.0498957448440024
"ICAM1.1",0.0282943848131561,0.0521643113457922
"HMGB1.3",0.0275852689585123,0.0325183133438648
"HIF1A.7",0.0260160580446503,0.0388946576325117
"PDCD1",0.025187021781244,0.0539144826598129
"PTX3",0.0251743115066351,0.0732500921392565
"HMGB1.1",0.0232082237480673,0.0404463947143291
"P2RX7.4",0.0230910372299667,0.0579809087114183
"PDCD1.1",0.0227539413190927,0.038546307060998
"HMGB1.2",0.0215627206259738,0.0427742467966266
"HIF1A.6",0.0197881270124854,0.0497883008168871
"HMGB1.4",0.0183094638623802,0.0283725768593723
"P2RX7.1",0.0168158680593109,0.0266924961013753
"C5AR1.1",0.0151622544648228,0.021728783179899
"HMGB1",0.0144963337705888,0.0258902859420338
"IL8.2",0.0138956535894021,0.0201545895250394
"P2RX7",0.0129503616855801,0.0219426339336863
"HMGB1.5",0.0113087117997684,0.0184937916037896
"CCR2.3",0.0111694152383571,0.0190873747094267
"P2RX7.2",0.0102066497124493,0.0186655547504215
"IL8.1",0.00957164820760409,0.0137186271008708
