Gene,adjusted_p,Rank_Stat
S100A12,3.39035560576485e-41,1
CD177.1,1.24661869415296e-40,2
GATA3.1,8.32616139926155e-40,3
GATA3,2.22833536281023e-38,4
ARG1,5.66631315181115e-38,5
CD177,3.12077925106999e-37,6
IL1R2,2.1981719400513598e-36,7
MAPK14.3,1.07613608151812e-35,8
BCL2.1,3.51235812761617e-35,9
BCL2,5.92178310585739e-35,10
CX3CR1,3.59827738416778e-34,11
MAPK14.4,4.02709615789596e-33,12
MMP8,1.49296603574111e-32,13
HLA.DRA.1,2.715827655807e-32,14
HLA.DRA,6.77045463372541e-32,15
MAPK14.2,4.15514349920276e-31,16
CCR7,5.29403736360802e-31,17
MMP9,7.27261312111413e-31,18
GATA3.2,1.04372553493138e-29,19
MAPK14,3.34233580533812e-29,20
ITGAM.2,6.55310428269107e-29,21
MMP8.1,1.4834662265566899e-27,22
MAPK14.5,1.79806191218399e-27,23
MAPK14.1,2.18011199416044e-27,24
SOCS3.1,1.3028085010254499e-26,25
ITGAM,2.43014726217042e-26,26
ITGAM.1,6.317565177916349e-25,27
MMP8.3,8.63420827911707e-25,28
LCN2,8.760035040006279e-25,29
S100A8,3.49646942592053e-23,30
FCGR1A,2.1338806056766e-22,31
OLFM4,2.2515822684863497e-22,32
C3AR1,5.848792072098309e-20,33
IL10,2.99102365012128e-19,34
FCGR1A.1,3.01010093310577e-19,35
MMP8.2,4.1599037119606796e-19,36
TLR2.1,1.2715580607551601e-17,37
FCGR1A.3,2.48804428112138e-17,38
TLR4,4.96199880653438e-17,39
HMGB1.6,4.2508440627217e-15,40
TLR2,8.39724739773662e-15,41
OLFM4.1,1.2240499898762301e-14,42
FCGR1A.2,1.59983139504783e-14,43
TLR2.2,5.2899640378267105e-14,44
SOCS3,1.07554142883053e-13,45
MYD88.1,2.4425435235100496e-11,46
ELANE,1.1380207375584e-10,47
TLR4.1,2.79702387594546e-10,48
TLR4.2,1.2749032633951e-9,49
PTX3,3.76459418471304e-9,50
MYD88.3,7.52521398617216e-9,51
TNFSF10.2,1.42604894709212e-7,52
MYD88,3.5840104960358e-7,53
TNFSF10,4.96845316382593e-7,54
C5AR1.1,6.09372790303623e-7,55
TNF,1.29173137670292e-6,56
HIF1A.6,6.59422464149735e-6,57
HIF1A,9.34805424978243e-6,58
HIF1A.7,9.43084993447934e-6,59
P2RX7.4,9.51678902342942e-6,60
HIF1A.4,1.72442508560895e-5,61
P2RX7.1,1.73962684934289e-5,62
MYD88.2,2.8743357532408e-5,63
TNFSF10.1,2.96029744928398e-5,64
HIF1A.5,2.96029744928398e-5,65
NLRP3,3.57853170089542e-5,66
NLRP3.1,4.42022513654882e-5,67
IL8,7.10874036265916e-5,68
P2RX7.3,7.85635708127157e-5,69
HIF1A.2,9.82604736468109e-5,70
HIF1A.3,4.3460613824737e-4,71
ICAM1.1,8.5943904207112e-4,72
HIF1A.1,8.6423582123722e-4,73
HMGB1.2,0.00297597203370473,74
BCL2.2,0.0112075743902133,75
CCR2.1,0.0142803616107156,76
IL8.1,0.0194047070783767,77
P2RX7.2,0.0214521011690258,78
PLAUR,0.0228735397989406,79
BCL2.3,0.0232237711682264,80
CCR2,0.0239083461721143,81
C5AR1,0.0246113147343356,82
PLAUR.4,0.0465065331441606,83
HMGB1.5,0.047703182303807,84
TREM1,0.059792058556815,85
HMGB1.4,0.0725877170707324,86
TREM1.1,0.108819931806195,87
CCR2.2,0.109899228481296,88
P2RX7,0.127769576982147,89
PLAUR.3,0.133648790230239,90
ICAM1.2,0.137631610367583,91
IL1B,0.183965269894916,92
PDCD1.1,0.195115124920984,93
PLAUR.2,0.223048651323262,94
PDCD1,0.234694184905288,95
CCR2.3,0.374197520802706,96
PLAUR.1,0.378700474021719,97
CD14.1,0.401809854144671,98
HMGB1.1,0.525888168691282,99
HMGB1.3,0.564949563677423,100
IL8.2,0.646806448920087,101
CD14,0.720907276861205,102
NOTCH1,0.797041570769658,103
ICAM1,0.797041570769658,104
HMGB1,0.963006993964599,105
