"Sample","C3AR1","CD177","CD177.1","ITGAM","ITGAM.1","ITGAM.2","FCGR1A","FCGR1A.1","ARG1","FCGR1A.2","FCGR1A.3","Label"
"GSM1602802",8.902159183,8.36221865,10.67631562,8.745769116,10.25094067,7.73210426,10.24825995,6.250842138,8.521195571,3.40730019,3.182506744,"Sepsis"
"GSM1602803",8.832898721,9.421954117,9.980230311,8.562982655,10.08593419,7.295228849,9.792877388,5.67306519,9.501580736,3.783478164,2.916157034,"Sepsis"
"GSM1602805",9.920050696,8.166611799,9.290451395,8.211699804,9.873170791,7.435869263,9.729733411,5.896796092,9.018000135,3.650627891,2.959885038,"Sepsis"
"GSM1602807",6.358468554,2.021677375,1.427663567,7.430588926,9.193750407,5.733466333,6.402958933,2.42418489,3.343949486,2.458323623,2.2102376,"healthy"
"GSM1602809",7.050826524,1.864601747,1.475226991,6.496094759,8.6725909,5.457058212,7.628109241,3.121396568,2.428251051,2.667414115,2.366776332,"healthy"
"GSM1602810",8.756043585,5.359159846,7.909037629,7.151716287,9.152033113,5.910131744,9.045953394,5.122447997,5.805549488,2.719465543,2.338826404,"Sepsis"
"GSM1602811",8.753944007,9.474989748,10.23930918,8.873203781,10.35350098,7.679006976,11.37981946,7.870532006,8.321262176,2.622495951,3.612353174,"Sepsis"
"GSM1602812",8.128001514,7.938334024,9.896614338,8.403394258,10.04716751,6.729784959,9.23532327,5.647521629,10.04437381,3.099182574,3.090823796,"Sepsis"
"GSM1602813",7.755680669,6.832969063,7.444676782,6.976746258,8.566519532,5.898588637,9.023587044,4.255863423,9.486352893,2.941021958,2.672839625,"Sepsis"
"GSM1602815",9.578419672,8.823796844,9.42259229,8.331360699,9.991885308,7.327762323,9.735973547,5.0148011,9.110931369,3.276171847,2.890705277,"Sepsis"
"GSM1602816",9.561137945,6.518584245,8.216910843,7.051602977,9.21571438,6.725078156,8.63252426,4.250283831,8.454404023,2.829822434,2.498459499,"Sepsis"
"GSM1602818",8.56471953,8.514840966,9.726588947,7.091552956,9.02210131,6.227639693,8.060410853,3.409518777,9.582343501,2.845052191,2.293007933,"Sepsis"
"GSM1602819",8.985193758,8.259074208,9.623250904,8.558461609,10.38395445,7.507298906,10.67696932,6.900547276,9.78983711,3.18919437,3.692096072,"Sepsis"
