"Sample","S100A12","HMGB1","HMGB1.1","HMGB1.2","S100A8","HMGB1.3","HMGB1.4","HMGB1.5","HMGB1.6","Label"
"GSM1602802",11.81025131,5.408597894,6.856706433,8.055917569,13.02704212,7.951201343,7.932673136,8.175445084,3.614907601,"Sepsis"
"GSM1602803",12.32886389,5.778703676,7.005060391,8.483726639,13.27398919,8.300445951,8.553404858,8.30542442,3.889074075,"Sepsis"
"GSM1602805",11.72274333,5.710541971,6.817357603,8.471129398,12.83040092,8.033586917,8.27463035,7.908344756,3.796211142,"Sepsis"
"GSM1602807",8.678567493,4.042746478,5.366295593,6.902016287,10.0931317,6.738528398,6.88263384,6.961445524,2.759365322,"healthy"
"GSM1602809",8.845238002,5.721036884,7.578442279,8.502891985,11.62882946,9.055055234,8.672131137,8.819042714,4.101370744,"healthy"
"GSM1602810",11.98732166,5.39091407,6.565788811,8.676456793,13.0766374,8.400602116,8.738064848,8.322010232,3.072537723,"Sepsis"
"GSM1602811",12.29638923,4.288942963,6.166169873,7.086106312,13.06815973,6.796083462,7.601315355,7.062671962,3.576703013,"Sepsis"
"GSM1602812",11.96665538,4.988877995,7.034822532,7.963732851,13.06562726,8.135062526,8.110483934,8.08479726,3.080118055,"Sepsis"
"GSM1602813",12.08433918,4.265554573,7.348880972,7.598108988,12.97722476,8.343950266,8.191981989,8.181214345,2.821841412,"Sepsis"
"GSM1602815",12.14037197,6.032129933,7.157961119,8.591712742,12.93101502,8.367655297,8.427917411,8.324714431,3.199491895,"Sepsis"
"GSM1602816",11.66874833,4.479867726,4.550117224,7.855843395,12.77785843,6.692891583,7.916624904,6.954136781,2.5753852,"Sepsis"
"GSM1602818",12.45897636,4.59169061,6.10590916,7.271525306,13.26086955,7.957367039,7.877701318,7.827462321,2.546495269,"Sepsis"
"GSM1602819",12.75438508,3.850445848,5.986829496,8.459875965,13.38889001,7.467152588,8.268493826,7.815368798,2.85421377,"Sepsis"
"GSM1602820",11.7841313,3.531374083,6.002143422,7.582622456,12.68059221,7.164248375,7.56095748,7.292564355,2.358310104,"Sepsis"
"GSM1602823",12.14118785,2.375015757,3.216637044,6.89814076,12.42635844,4.885297187,6.805359704,5.548879049,2.506976178,"Sepsis"
"GSM1602824",11.47262545,4.365865411,6.712656726,7.516276521,12.86601817,7.479771782,7.91703309,7.82180366,4.13818524,"Sepsis"
"GSM1602825",11.02928821,5.374166278,6.956799472,7.998193838,12.74981905,8.312610856,8.039996726,8.20537682,3.308792547,"Sepsis"
"GSM1602826",12.61642253,3.044414345,4.610067168,7.581763518,13.08325643,6.679031091,7.359978807,6.914487887,2.45530981,"Sepsis"
"GSM1602827",11.30007528,4.759394804,6.643841087,7.464846385,12.71900469,7.909977214,7.792841393,7.699919065,2.70314902,"Sepsis"
"GSM1602829",12.67825065,5.157625498,7.026344819,8.151277187,13.31587565,8.203378593,8.244401725,8.459096087,2.672814062,"Sepsis"
"GSM1602830",12.63479203,5.267404933,7.173310689,8.079744403,13.20452817,8.516741566,8.174927415,8.275467098,3.607157641,"Sepsis"
"GSM1602831",12.51628819,4.868562162,6.679089932,7.645856813,13.08051475,7.811227769,7.865222144,7.872731535,2.908691219,"Sepsis"
"GSM1602832",11.70468502,4.571170095,5.628356455,7.835535526,12.88849909,7.084895858,8.074324179,7.611428233,3.71362042,"Sepsis"
"GSM1602833",11.85353974,2.4667864,4.314308176,6.546765282,12.71564531,5.907637421,7.036737795,5.887174415,3.220805906,"Sepsis"
"GSM1602834",12.45577284,3.298561639,5.087523425,7.751198945,12.85866828,6.411899845,7.670928909,6.589340737,2.878712198,"Sepsis"
"GSM1602836",11.51908784,5.249226857,7.088169099,8.493122666,12.91605223,8.630512564,8.380892708,8.255613588,3.162453255,"Sepsis"
"GSM1602837",12.3926728,3.888416858,6.405565037,7.824390269,13.0842983,7.836082169,8.215726482,7.721889793,2.794780282,"Sepsis"
"GSM1602838",11.79343756,3.314668185,5.155753067,8.124903236,13.10317901,7.077356939,8.08314585,7.380535841,2.913635927,"Sepsis"
"GSM1602839",12.69578795,4.785450824,7.203434555,7.968783375,13.34771531,8.238491876,8.283724062,8.278616173,2.855687767,"Sepsis"
"GSM1602840",12.56926186,4.689714868,6.523544977,7.952052697,13.21957334,8.140716958,8.45835056,8.095442062,2.739023844,"Sepsis"
"GSM1602841",12.31224234,4.465057932,6.574794513,7.83433895,13.1042095,7.809989129,8.335652297,8.024392827,4.090566011,"Sepsis"
"GSM1602842",12.38218226,5.856134515,7.119027203,9.069849504,13.25006162,8.609411229,8.504132493,8.705554956,3.464748868,"Sepsis"
"GSM1602843",10.43941275,4.229317385,7.053043529,7.464479021,12.14651404,8.219301,7.794121972,8.339926147,2.823815563,"Sepsis"
"GSM1602844",12.56917817,6.746415702,7.593659927,8.539498233,13.4327483,8.794657066,8.435727782,8.705141386,3.492602571,"Sepsis"
"GSM1602845",12.69283616,3.065956145,4.124563608,7.3979766,13.18454825,6.554207987,8.095336563,6.736702383,2.229254643,"Sepsis"
"GSM1602846",11.9811427,3.528271528,5.242619683,8.040993198,12.91255242,6.874840685,8.192520084,7.175092539,3.069641707,"Sepsis"
"GSM1602847",12.37164936,3.652656646,5.768815268,7.553203989,12.94460273,7.512517443,7.771695723,7.596245536,3.210917909,"Sepsis"
"GSM1602848",10.8647372,5.563247482,6.557812154,7.440357791,12.44668598,8.016031474,7.647915953,7.805723031,3.625792875,"Sepsis"
"GSM1602849",11.03393577,4.007854926,5.933188172,6.598101459,12.56919889,7.316905417,7.175296893,7.226302776,2.667007781,"Sepsis"
"GSM1602850",12.30330058,3.725047577,5.583650309,7.098479589,12.76157394,7.183871635,7.395753756,7.194164304,2.545893437,"Sepsis"
"GSM1602851",12.05065444,3.671592261,3.051194615,8.030411064,12.85899139,5.02733738,7.913626302,5.45421173,2.76046127,"Sepsis"
"GSM1602852",11.78877596,4.26763043,6.679973272,7.659007037,12.96844537,8.135740602,8.245563128,8.135371352,3.224277986,"Sepsis"
"GSM1602853",11.83321994,5.250293535,6.482276784,7.591248927,12.84503489,7.937514991,8.005765807,8.031224213,2.953447916,"Sepsis"
"GSM1602855",12.12754149,5.667859572,7.464014152,8.173907476,13.2306851,8.435860796,8.146613457,8.433088132,3.242350531,"Sepsis"
"GSM1602856",10.8623441,3.199730086,3.87361617,7.01821433,11.85841915,6.077082318,6.961377592,5.640848086,3.128728119,"Sepsis"
"GSM1602857",9.724281987,3.451532863,4.766355886,6.539214635,11.61937363,6.238676558,7.508508335,6.549210367,2.786801024,"Sepsis"
"GSM1602858",12.8646344,3.417568466,5.381684937,7.725945823,13.21017683,7.006641727,7.705658054,7.137417122,2.535901388,"Sepsis"
"GSM1602859",12.23215675,5.395122591,6.873354104,8.350516698,12.70798262,7.854965966,8.125980801,7.769301156,3.278972653,"Sepsis"
"GSM1602860",11.94950832,3.388804474,5.390584554,7.329183875,12.9481658,6.882910053,7.634957459,7.102165612,2.854131616,"Sepsis"
"GSM1602861",12.38742142,5.301194536,7.273704128,8.297022377,13.23189536,8.533908535,8.570512761,8.518947825,3.518758049,"Sepsis"
"GSM1602862",7.630690201,4.943855383,6.142857705,7.073250617,10.18345886,7.850972469,7.700885337,7.576330548,4.176214054,"healthy"
"GSM1602863",12.22208189,4.919772693,6.242283267,7.858366241,13.07862675,7.434234768,7.788929511,7.534142871,3.407575588,"Sepsis"
"GSM1602864",7.961088105,5.337758929,6.422416971,7.780655311,10.37289118,7.924161974,7.935511342,7.638668172,4.781100293,"healthy"
"GSM1602866",12.17382159,4.412868708,6.14181391,7.760326204,13.16766887,7.884876787,7.874879762,7.744866467,3.130302751,"Sepsis"
"GSM1602868",12.15533595,4.392776857,6.095141458,7.697489184,13.21279686,7.673450905,7.777935221,7.57929002,2.7974392,"Sepsis"
"GSM1602869",12.53475978,3.436979555,5.809964546,7.222139303,13.08744687,7.219125687,7.306536258,7.482978542,2.169542508,"Sepsis"
"GSM1602870",7.680582499,3.874072109,5.571153853,7.725075237,10.58631514,7.079773783,7.895064915,7.120634119,3.45782556,"healthy"
"GSM1602871",9.170249699,4.859771893,6.054534653,7.992137462,11.77713358,7.953728111,8.159656805,7.70109114,3.618387953,"healthy"
"GSM1602872",9.270934451,4.322376426,5.809676587,7.465767526,11.49026563,7.359595591,7.879209711,7.403830423,4.456676559,"healthy"
"GSM1602873",12.32754166,3.999704892,4.827572606,7.297941942,13.01077578,6.823449445,7.604979932,6.871232761,2.847841585,"Sepsis"
"GSM1602874",8.154419853,3.927056087,5.779791463,7.124951718,11.06355068,7.242339465,7.317939769,7.288545156,3.744055989,"healthy"
"GSM1602875",7.674382369,5.592627745,7.031493809,7.695581204,10.81040365,8.362583784,8.21776431,7.815216478,4.684678842,"healthy"
"GSM1602876",8.384406983,4.599482957,6.285662478,7.351496189,11.19316792,7.690546643,7.73437815,7.654683912,3.846862979,"healthy"
"GSM1602878",10.68172147,4.149796754,6.397063699,7.030501318,12.94968087,7.687750665,7.482716029,7.864692995,3.087003017,"Sepsis"
"GSM1602879",12.57215118,2.280897423,3.330161557,7.08787492,12.86367864,5.236881296,7.560958201,5.293859828,2.28447438,"Sepsis"
"GSM1602880",12.37658393,2.984907895,4.004787225,7.147107412,13.11229877,6.41587167,7.638976508,6.634883646,2.492866687,"Sepsis"
"GSM1602881",11.91323012,4.64360764,6.720671616,7.482264172,12.89918578,7.787691088,7.603916354,7.902226396,3.141679758,"Sepsis"
"GSM1602882",12.16890305,4.938929544,6.95452918,7.788520631,13.02403094,8.011738775,8.153124847,8.233360127,3.242285795,"Sepsis"
"GSM1602883",12.53998215,5.126534189,6.667369811,7.744534025,13.21804067,7.914180886,7.559683381,7.821732824,2.460545025,"Sepsis"
"GSM1602884",7.412509477,5.058931636,6.500736932,7.885458904,11.06206882,7.963146603,7.901727048,7.565078071,4.441790278,"healthy"
"GSM1602885",12.66318266,5.0240695,6.993767067,8.327840681,13.39153121,8.367291459,8.762437925,8.529943459,2.96478487,"Sepsis"
"GSM1602886",11.3281274,4.044414831,5.282399682,7.400392123,12.60855837,6.728646116,7.522947863,7.051621925,2.826673318,"Sepsis"
"GSM1602888",11.7461635,4.98545205,6.643601736,7.629758076,12.65069807,7.846327967,7.784471851,7.748381818,3.075249639,"Sepsis"
"GSM1602889",12.60252479,4.986270614,6.217210108,7.790541625,13.26813684,7.758709785,7.988152556,7.723091287,3.252836511,"Sepsis"
"GSM1602891",9.479835771,4.323782961,5.803693318,7.28333919,10.82068746,7.300920968,7.580170325,7.184026604,3.641180473,"healthy"
"GSM1602892",10.09766589,4.288313002,6.157052206,7.443719829,11.92487393,7.498099304,8.032093439,7.778427983,2.933254905,"healthy"
"GSM1602893",9.890677121,3.854642233,6.047162771,7.409848743,11.66657073,7.794848057,7.544059465,7.421951023,3.413699311,"healthy"
"GSM1602894",7.825806508,4.015100034,5.326460597,7.274964055,10.47469604,7.383002519,7.683326586,6.910122486,3.78368894,"healthy"
"GSM1602895",8.883136575,4.968173623,6.980651321,7.928621138,11.4108261,8.246643178,8.262682014,8.322413812,4.392718139,"healthy"
"GSM1602896",7.477641839,4.557174597,5.980784462,7.609478439,10.455185,7.509243009,7.897467389,7.259415878,3.669021588,"healthy"
"GSM1602897",6.819766441,3.711539523,5.629863274,7.529763255,10.43202309,7.152566139,7.930649195,7.107241641,4.255596949,"healthy"
"GSM1602898",9.406957496,3.450542408,5.538993797,7.005225406,11.18032023,6.774330654,7.293216633,6.755817513,3.526338366,"healthy"
"GSM1602899",9.316876744,4.744734303,6.292053448,7.629678115,11.63740667,7.759833669,7.966801761,7.553584267,3.984291795,"healthy"
"GSM1602900",8.7842226,4.546119006,6.518999242,7.479494906,11.35338196,8.043282175,8.06051952,7.695441625,3.488927688,"healthy"
"GSM1602901",7.767775162,4.172058518,6.031664828,7.206899842,10.40515466,7.477140512,7.746376102,7.20573565,4.328808583,"healthy"
"GSM1602902",12.48938577,5.612065446,7.356464001,8.553912786,13.26638116,8.697704484,8.265078943,8.361675937,3.557407727,"Sepsis"
"GSM1602903",11.86103054,3.933509426,5.815659471,7.764420314,12.78619827,7.265172666,8.001588868,7.753733922,2.610403817,"Sepsis"
"GSM1602906",11.67599177,5.75852212,6.746333569,8.144542639,12.73959847,8.176375299,8.395136454,7.867435119,4.467868083,"Sepsis"
"GSM1602907",10.33790941,3.07293487,4.71798708,6.966486807,12.34463411,6.091386745,7.304665917,6.57210691,2.935858927,"Sepsis"
"GSM1602908",12.4589805,6.038720105,7.804565687,8.50309582,13.14834672,8.905186386,8.847297326,8.951422426,3.471423906,"Sepsis"
"GSM1602909",7.715347229,3.684315511,5.030764288,7.108143039,10.32253329,6.856088491,7.488233538,6.77761163,3.527444347,"healthy"
"GSM1602910",9.144109148,2.955023187,4.82075054,7.179364961,10.73280694,6.540063709,7.615002108,6.647043822,3.336565818,"healthy"
"GSM1602911",8.645068097,3.457189388,5.437395809,7.186504182,11.22695126,6.607364612,7.6210838,6.73843948,3.003577138,"healthy"
"GSM1602912",12.01628344,3.599779056,3.478059242,7.761968263,12.86559486,6.298368112,7.964957576,6.701341365,2.76462833,"Sepsis"
"GSM1602913",8.003848532,4.251356725,6.041290785,7.255831736,10.80613065,7.348202717,7.799846733,7.110040919,4.11912188,"healthy"
"GSM1602914",8.895121163,3.487250715,4.630256613,7.019947145,10.54185232,6.155176215,7.232199802,6.057709353,2.97271223,"healthy"
