"Sample","MAPK14","HIF1A","HIF1A.1","HIF1A.2","SOCS3","SOCS3.1","MYD88","MYD88.1","BCL2","BCL2.1","IL1R2","GATA3","GATA3.1","IL10","BCL2.2","BCL2.3","MAPK14.1","MAPK14.2","MYD88.2","MYD88.3","HIF1A.3","HIF1A.4","MAPK14.3","HIF1A.5","HIF1A.6","MAPK14.4","HIF1A.7","GATA3.2","MAPK14.5","Label"
"GSM1602802",10.43374323,9.699555596,5.711585407,7.157137693,3.22827309,8.707979708,4.24369731,8.895218662,4.403540827,3.385998346,10.75206357,4.787498927,3.420797229,2.512702599,2.247471718,1.992446248,6.992901403,7.588835365,4.824281328,4.945707858,6.476348304,6.36676403,8.464756608,7.529209489,7.616355349,6.440130995,7.304922244,2.85340352,9.454764631,"Sepsis"
"GSM1602803",9.73377127,9.478320741,5.19030223,6.582866814,2.647770256,7.16161498,3.754863577,9.031128889,3.785118551,3.258682078,11.71519983,5.107897997,3.065679897,2.521144103,2.280223707,2.188275609,7.625250637,7.33519109,3.998091658,4.703984109,5.997077955,5.801100232,8.483431258,6.999406378,6.79168734,6.441207625,6.758259849,3.300717492,9.537784072,"Sepsis"
"GSM1602805",10.34862653,10.123978,6.688849592,8.038400184,2.626698513,7.457073309,4.375531944,9.23978461,3.116412382,3.112105667,11.07383794,4.272035187,2.413068402,2.53404109,2.312299539,2.675170216,7.521275786,7.585104173,5.156807501,5.595551595,7.124061178,6.935595538,8.44574198,8.30617854,8.123953691,6.978910814,8.034586126,2.739942968,9.519134952,"Sepsis"
"GSM1602807",8.739858979,9.777513382,5.917761937,7.391730561,2.431036587,3.841860393,3.929661634,8.9301877,4.515063169,4.569816687,8.319310702,6.691826821,4.749855409,2.124148267,2.795675227,2.57351313,5.761087123,5.021104066,3.860582184,4.775826218,6.717981203,6.531350796,6.778646168,7.569371727,7.696000476,4.769080902,7.420093848,3.868861748,7.38550933,"healthy"
"GSM1602809",7.977012629,8.725409093,4.841499192,5.805405993,2.259802055,2.369248019,3.697308331,8.402549766,4.612286391,5.009113241,6.677033107,6.426227233,5.014167372,1.837628807,2.35609184,2.298200048,5.252744694,4.630869826,3.545608741,3.367979529,4.895018864,5.260016219,5.551817399,6.406949665,6.389471251,4.038114512,6.249858376,3.659244949,7.240012421,"healthy"
"GSM1602810",9.173439561,9.245352272,4.670848815,5.648851176,2.666744406,5.805791963,3.932492134,9.241009533,4.052907891,3.920218263,8.294789862,5.300541577,2.907828698,2.145201455,2.259155339,2.116120034,7.053478705,6.065260286,3.045691169,3.848280442,4.738897332,4.657903943,7.563130668,5.905313312,6.349138578,5.479292788,6.222208238,2.591164229,9.041459162,"Sepsis"
"GSM1602811",10.52710838,10.43557786,7.150010889,8.555058267,5.255263846,9.682594804,5.70295361,9.357372155,2.097070944,2.014927304,11.88890572,3.63895298,1.932900518,2.502072351,2.619499116,2.844143862,7.714967995,8.690014377,5.50479737,5.855343221,7.831388066,7.835921149,9.539583799,8.611870884,8.834668783,8.239660165,8.667651569,1.952992179,9.998687137,"Sepsis"
"GSM1602812",10.21409561,9.215352871,5.283653236,6.610135404,2.460651558,7.796949777,4.304777384,8.812150908,3.148878725,2.940174027,11.36008126,3.721870047,2.36011076,2.739660495,2.690051902,2.609605837,7.39214124,7.615812414,4.463702714,5.314428934,5.886591437,5.515131997,8.343206542,6.549336718,6.813599724,6.561299019,6.832724941,2.450171165,9.715799137,"Sepsis"
"GSM1602813",8.546020414,8.098795645,3.455273966,4.813001916,2.974485998,6.709661055,3.500250507,8.259067328,2.786980395,2.340093995,11.68703181,3.753923441,2.036834816,2.575900121,2.839850725,2.721331952,5.248712328,6.520869343,3.430424482,3.910715748,4.226907412,4.358839923,7.69090765,5.512620735,5.815239404,6.006416666,4.906183472,2.576153792,7.128503537,"Sepsis"
"GSM1602815",9.864763526,9.521937048,5.921005932,7.067973942,2.405352562,6.258614275,5.330120106,9.594490649,2.385010984,2.766485573,11.05658615,3.593589176,2.249889947,2.098506347,2.140254805,2.025149932,6.794060389,7.671211883,5.47091713,5.735766677,6.68552869,6.294617289,8.602359476,7.18443302,7.252279243,6.902496966,7.280066175,2.480348264,8.780873941,"Sepsis"
"GSM1602816",9.525398878,8.427364442,4.594048657,5.59088314,2.780592564,6.602653862,4.151427527,9.083599546,3.029051233,2.887382552,10.93733237,4.795704909,2.414662649,2.583426011,2.534745279,2.529736546,7.062650068,7.129727353,3.868304792,4.926898904,4.764007663,4.703461777,8.540189594,5.636828327,6.146224154,6.790336217,5.998543528,2.646102764,8.943034097,"Sepsis"
"GSM1602818",8.977361539,8.642721458,3.071422248,4.945060682,2.740614442,5.956955948,3.216051354,8.024717105,2.716878911,3.159940769,11.47875902,3.3741425,2.360823738,2.661243904,3.311488846,3.054623139,5.990668325,6.369035587,2.965601273,4.498359251,3.576315782,5.036521268,8.256082911,6.126507113,5.978430939,6.043264754,5.753535188,2.688356327,7.880290189,"Sepsis"
"GSM1602819",10.33241488,8.937706444,5.280699997,6.260952963,2.43941125,7.69607558,4.132032691,9.328850462,2.416743469,2.315304207,12.4324163,3.556290228,2.36784528,2.854849095,2.454849135,2.263622184,8.020915209,7.93211217,4.118498792,4.580406143,5.922036791,5.623108532,8.97326086,5.934128896,6.728358655,7.343660356,6.639401496,2.637228983,9.892614683,"Sepsis"
"GSM1602820",9.592383846,8.638928925,4.14266641,5.693149219,2.818792198,6.220865638,4.451688474,8.955219289,2.783972534,2.582693114,10.01553153,3.824735713,2.584911566,2.574479932,2.950741351,2.552736163,7.081524402,7.158786788,4.036640804,5.174974899,5.102773251,5.118220226,8.20157542,5.917522961,6.39973492,6.510600999,6.047784403,2.433925482,9.060409384,"Sepsis"
"GSM1602823",8.696063424,7.356588357,4.505383713,4.26566854,2.544169893,6.104240857,3.551981209,9.04850669,2.46584308,2.85467383,12.42944466,3.80922654,2.180142865,2.725010548,2.704975445,2.162643805,7.097146461,7.118166406,3.538674753,4.666655996,3.770365316,3.705309098,8.349882657,4.900638294,4.601030394,6.359879376,4.591061048,2.372334512,9.050001701,"Sepsis"
"GSM1602824",8.950085941,9.981375081,5.943595003,7.384056033,2.858873116,6.872704465,3.437424785,8.093199225,2.687487794,2.632060942,7.706768045,4.405899221,2.321856784,2.926563555,2.468103995,2.416776198,5.796414022,5.979725209,3.947611381,4.173275117,6.707319459,6.337525756,6.717581101,7.831551031,7.671795941,5.105474435,7.708624646,3.336989643,8.558334142,"Sepsis"
"GSM1602825",9.287329106,9.421972261,5.200508939,6.183150191,2.205522319,4.058196678,3.982729375,9.07785377,2.740324528,3.097243309,9.454688323,4.107790197,2.256007804,2.535930259,2.274864412,2.160606409,6.35303926,6.208892033,4.367478119,4.450008859,5.882790644,5.928035798,7.252545217,6.644876207,6.738468854,5.452085139,6.929068241,2.671511946,8.65485437,"Sepsis"
"GSM1602826",10.2776331,9.035780439,5.281341951,6.263888532,2.458294786,7.1352165,4.801432931,9.575713663,2.872609331,2.734378066,12.4852794,3.854167151,2.104827485,3.032669634,2.579501764,2.285632827,7.703886489,7.941499065,4.817878684,5.034116457,5.544750778,5.504946904,8.959376072,6.661562838,6.520289812,7.143911796,6.524606447,2.272610816,9.618080525,"Sepsis"
"GSM1602827",9.226764293,9.15342477,4.27176525,5.947372026,2.869385477,5.785280168,4.656195761,9.102302886,2.591552949,2.967382677,9.251590334,3.410140947,2.260598723,2.574216416,2.253689857,2.48209184,6.306829307,6.133820165,4.648859955,5.423496486,5.028405154,5.380120892,7.67187747,6.472917485,6.696101965,5.830402372,6.473210811,2.899285429,8.048051341,"Sepsis"
"GSM1602829",10.61720928,9.827404503,5.739909582,6.979969926,3.066783841,8.23020793,4.662278212,9.365194772,2.208002968,2.348257391,12.26481503,3.785149947,2.63821825,3.211737626,2.156033085,2.252490795,7.914579337,7.284227315,4.467566653,5.243486718,6.176065116,6.18338967,8.276801775,7.511664436,7.583727692,6.561940733,7.032419887,2.483252167,9.762150959,"Sepsis"
"GSM1602830",10.20473963,10.12164191,6.328501718,7.508317817,3.443290692,8.619888023,4.664689777,9.104224432,3.486618481,3.339621167,10.49570925,3.967522348,2.311572024,2.873485866,2.390072745,2.402719565,6.845561157,7.509479269,4.820470716,5.221657584,6.816765585,6.836953566,8.279609269,7.929785714,7.722187547,6.692127373,7.777309847,2.93772172,9.364136494,"Sepsis"
"GSM1602831",10.48135584,9.870137176,6.25958659,7.304200232,3.42286307,7.805540123,4.92925844,9.260888196,2.591601942,2.652006811,11.53829317,3.557464175,1.716149824,2.431678344,2.396918204,2.198803514,7.366931367,7.62902889,4.987412607,5.223300291,7.015603888,6.752072296,8.580797137,7.679140587,7.678931175,7.059144475,7.579321434,2.9285825,9.540481236,"Sepsis"
"GSM1602832",9.482158476,9.453722018,5.090465851,6.767523436,4.254464387,8.95787122,3.716374112,9.319438436,4.066524275,4.131264558,9.969479218,5.496021636,2.559729087,2.023242093,2.660258006,2.430992499,7.519871983,7.043907337,3.807942072,4.9295907,5.797471931,5.941589656,8.402170918,7.161370497,7.001744846,6.424665409,7.025673027,2.616623311,9.603477097,"Sepsis"
"GSM1602833",8.09219633,7.509605369,4.313416514,3.687679005,3.161528401,4.66252249,2.837684007,7.331596061,2.998826661,2.33028012,11.30262817,4.157930246,2.285754576,2.690051441,3.785643754,2.381898991,4.556209214,5.656460464,2.578484632,3.41138157,3.823006138,3.661273476,6.435692489,4.331307982,5.140976925,5.234327377,5.006631308,2.739528233,7.085629077,"Sepsis"
"GSM1602834",9.914215764,8.371439031,4.660781762,5.534476713,2.619407026,7.419121991,4.081762712,9.105998882,2.484819976,2.576502103,12.47690148,4.202550651,2.718867484,2.97586192,2.721054374,3.05476957,8.250711002,7.994180711,4.052886257,4.955391534,4.863329174,4.904595144,9.063558882,6.010809248,5.818189441,7.404020808,6.061641173,2.351288725,9.78560067,"Sepsis"
"GSM1602836",9.721925055,9.499644933,5.204788757,6.36617299,2.125127975,5.238582783,4.733405337,9.275788916,2.924779288,2.871205986,9.632404967,4.807100208,2.507569897,2.527809584,2.263718976,2.307581242,6.781368059,7.059503845,4.593094893,5.157829139,5.697236272,5.537189687,7.95587661,6.85386002,6.984710319,6.267375852,6.813826713,2.585589125,8.718167216,"Sepsis"
"GSM1602837",10.33533678,9.44101683,5.498866688,6.536437168,2.866923727,8.049253565,4.689766818,9.292553719,3.369332341,3.168092166,11.58604478,4.102349811,2.431625849,2.888683077,2.38708652,2.319603577,7.710011407,7.20409512,5.087441798,5.173837634,6.020937607,6.067154175,8.205446366,6.792187616,7.263538855,6.629977265,6.952566843,2.871615356,9.368864632,"Sepsis"
"GSM1602838",9.501883188,8.369679209,4.337301973,4.828253118,2.115884257,5.810005712,4.092910745,9.367201952,2.860777628,2.900615449,11.86953399,4.469671711,2.307210545,2.134782377,2.210684653,2.291278971,8.036349495,6.907081263,3.956396408,4.847838604,3.985327627,4.055482569,8.221925451,5.095829493,5.605969625,6.372870132,5.364677753,2.828397648,9.404430744,"Sepsis"
"GSM1602839",10.54835195,9.752506589,5.668845389,6.887457291,2.444155782,7.335077351,4.181127986,8.732724677,2.393289887,2.588568795,12.26166914,4.114410858,2.176284461,2.664334545,2.509824045,2.585569065,7.053865068,7.300076877,3.998946681,4.446467736,6.242783531,6.064812595,7.985723868,7.241816934,7.162028476,6.262491593,7.125276103,2.383626964,9.514179576,"Sepsis"
