"Sample","MAPK14","HIF1A","HIF1A.1","HIF1A.2","SOCS3","SOCS3.1","MYD88","MYD88.1","C3AR1","BCL2","BCL2.1","S100A12","IL1R2","GATA3","GATA3.1","CD177","CD177.1","ITGAM","ITGAM.1","ITGAM.2","IL10","FCGR1A","FCGR1A.1","BCL2.2","BCL2.3","HMGB1","HMGB1.1","MAPK14.1","MAPK14.2","HMGB1.2","MYD88.2","MYD88.3","HIF1A.3","HIF1A.4","MAPK14.3","HIF1A.5","HIF1A.6","S100A8","MAPK14.4","ARG1","HMGB1.3","HIF1A.7","HMGB1.4","GATA3.2","HMGB1.5","MAPK14.5","HMGB1.6","FCGR1A.2","FCGR1A.3","Label"
"GSM1602802",10.43374323,9.699555596,5.711585407,7.157137693,3.22827309,8.707979708,4.24369731,8.895218662,8.902159183,4.403540827,3.385998346,11.81025131,10.75206357,4.787498927,3.420797229,8.36221865,10.67631562,8.745769116,10.25094067,7.73210426,2.512702599,10.24825995,6.250842138,2.247471718,1.992446248,5.408597894,6.856706433,6.992901403,7.588835365,8.055917569,4.824281328,4.945707858,6.476348304,6.36676403,8.464756608,7.529209489,7.616355349,13.02704212,6.440130995,8.521195571,7.951201343,7.304922244,7.932673136,2.85340352,8.175445084,9.454764631,3.614907601,3.40730019,3.182506744,"Sepsis"
"GSM1602803",9.73377127,9.478320741,5.19030223,6.582866814,2.647770256,7.16161498,3.754863577,9.031128889,8.832898721,3.785118551,3.258682078,12.32886389,11.71519983,5.107897997,3.065679897,9.421954117,9.980230311,8.562982655,10.08593419,7.295228849,2.521144103,9.792877388,5.67306519,2.280223707,2.188275609,5.778703676,7.005060391,7.625250637,7.33519109,8.483726639,3.998091658,4.703984109,5.997077955,5.801100232,8.483431258,6.999406378,6.79168734,13.27398919,6.441207625,9.501580736,8.300445951,6.758259849,8.553404858,3.300717492,8.30542442,9.537784072,3.889074075,3.783478164,2.916157034,"Sepsis"
"GSM1602805",10.34862653,10.123978,6.688849592,8.038400184,2.626698513,7.457073309,4.375531944,9.23978461,9.920050696,3.116412382,3.112105667,11.72274333,11.07383794,4.272035187,2.413068402,8.166611799,9.290451395,8.211699804,9.873170791,7.435869263,2.53404109,9.729733411,5.896796092,2.312299539,2.675170216,5.710541971,6.817357603,7.521275786,7.585104173,8.471129398,5.156807501,5.595551595,7.124061178,6.935595538,8.44574198,8.30617854,8.123953691,12.83040092,6.978910814,9.018000135,8.033586917,8.034586126,8.27463035,2.739942968,7.908344756,9.519134952,3.796211142,3.650627891,2.959885038,"Sepsis"
"GSM1602807",8.739858979,9.777513382,5.917761937,7.391730561,2.431036587,3.841860393,3.929661634,8.9301877,6.358468554,4.515063169,4.569816687,8.678567493,8.319310702,6.691826821,4.749855409,2.021677375,1.427663567,7.430588926,9.193750407,5.733466333,2.124148267,6.402958933,2.42418489,2.795675227,2.57351313,4.042746478,5.366295593,5.761087123,5.021104066,6.902016287,3.860582184,4.775826218,6.717981203,6.531350796,6.778646168,7.569371727,7.696000476,10.0931317,4.769080902,3.343949486,6.738528398,7.420093848,6.88263384,3.868861748,6.961445524,7.38550933,2.759365322,2.458323623,2.2102376,"healthy"
"GSM1602809",7.977012629,8.725409093,4.841499192,5.805405993,2.259802055,2.369248019,3.697308331,8.402549766,7.050826524,4.612286391,5.009113241,8.845238002,6.677033107,6.426227233,5.014167372,1.864601747,1.475226991,6.496094759,8.6725909,5.457058212,1.837628807,7.628109241,3.121396568,2.35609184,2.298200048,5.721036884,7.578442279,5.252744694,4.630869826,8.502891985,3.545608741,3.367979529,4.895018864,5.260016219,5.551817399,6.406949665,6.389471251,11.62882946,4.038114512,2.428251051,9.055055234,6.249858376,8.672131137,3.659244949,8.819042714,7.240012421,4.101370744,2.667414115,2.366776332,"healthy"
"GSM1602810",9.173439561,9.245352272,4.670848815,5.648851176,2.666744406,5.805791963,3.932492134,9.241009533,8.756043585,4.052907891,3.920218263,11.98732166,8.294789862,5.300541577,2.907828698,5.359159846,7.909037629,7.151716287,9.152033113,5.910131744,2.145201455,9.045953394,5.122447997,2.259155339,2.116120034,5.39091407,6.565788811,7.053478705,6.065260286,8.676456793,3.045691169,3.848280442,4.738897332,4.657903943,7.563130668,5.905313312,6.349138578,13.0766374,5.479292788,5.805549488,8.400602116,6.222208238,8.738064848,2.591164229,8.322010232,9.041459162,3.072537723,2.719465543,2.338826404,"Sepsis"
"GSM1602811",10.52710838,10.43557786,7.150010889,8.555058267,5.255263846,9.682594804,5.70295361,9.357372155,8.753944007,2.097070944,2.014927304,12.29638923,11.88890572,3.63895298,1.932900518,9.474989748,10.23930918,8.873203781,10.35350098,7.679006976,2.502072351,11.37981946,7.870532006,2.619499116,2.844143862,4.288942963,6.166169873,7.714967995,8.690014377,7.086106312,5.50479737,5.855343221,7.831388066,7.835921149,9.539583799,8.611870884,8.834668783,13.06815973,8.239660165,8.321262176,6.796083462,8.667651569,7.601315355,1.952992179,7.062671962,9.998687137,3.576703013,2.622495951,3.612353174,"Sepsis"
"GSM1602812",10.21409561,9.215352871,5.283653236,6.610135404,2.460651558,7.796949777,4.304777384,8.812150908,8.128001514,3.148878725,2.940174027,11.96665538,11.36008126,3.721870047,2.36011076,7.938334024,9.896614338,8.403394258,10.04716751,6.729784959,2.739660495,9.23532327,5.647521629,2.690051902,2.609605837,4.988877995,7.034822532,7.39214124,7.615812414,7.963732851,4.463702714,5.314428934,5.886591437,5.515131997,8.343206542,6.549336718,6.813599724,13.06562726,6.561299019,10.04437381,8.135062526,6.832724941,8.110483934,2.450171165,8.08479726,9.715799137,3.080118055,3.099182574,3.090823796,"Sepsis"
"GSM1602813",8.546020414,8.098795645,3.455273966,4.813001916,2.974485998,6.709661055,3.500250507,8.259067328,7.755680669,2.786980395,2.340093995,12.08433918,11.68703181,3.753923441,2.036834816,6.832969063,7.444676782,6.976746258,8.566519532,5.898588637,2.575900121,9.023587044,4.255863423,2.839850725,2.721331952,4.265554573,7.348880972,5.248712328,6.520869343,7.598108988,3.430424482,3.910715748,4.226907412,4.358839923,7.69090765,5.512620735,5.815239404,12.97722476,6.006416666,9.486352893,8.343950266,4.906183472,8.191981989,2.576153792,8.181214345,7.128503537,2.821841412,2.941021958,2.672839625,"Sepsis"
"GSM1602815",9.864763526,9.521937048,5.921005932,7.067973942,2.405352562,6.258614275,5.330120106,9.594490649,9.578419672,2.385010984,2.766485573,12.14037197,11.05658615,3.593589176,2.249889947,8.823796844,9.42259229,8.331360699,9.991885308,7.327762323,2.098506347,9.735973547,5.0148011,2.140254805,2.025149932,6.032129933,7.157961119,6.794060389,7.671211883,8.591712742,5.47091713,5.735766677,6.68552869,6.294617289,8.602359476,7.18443302,7.252279243,12.93101502,6.902496966,9.110931369,8.367655297,7.280066175,8.427917411,2.480348264,8.324714431,8.780873941,3.199491895,3.276171847,2.890705277,"Sepsis"
