"Gene","Mean_Sepsis","Mean_Control","Direction","W","p_value","effect_size","adjusted_p"
"ARG1",0.607655357684,-5.70737630333333,"Up_in_Sepsis",3702.5,7.69606348967631e-17,0.974666666666667,1.64964072369237e-15
"GATA3",-0.605813857712,1.81746118866667,"Down_in_Sepsis",38,8.96813082580416e-17,-0.979733333333333,1.64964072369237e-15
"IL10",0.43064073832,-2.411726201,"Up_in_Sepsis",3707,1.08528994979761e-16,0.977066666666667,1.64964072369237e-15
"MMP9",0.559798947816,-4.77118858666667,"Up_in_Sepsis",3718,7.12851805331957e-17,0.982933333333333,1.64964072369237e-15
"S100A8",0.245866349664,-1.74534144333333,"Up_in_Sepsis",3725,5.44853176760137e-17,0.986666666666667,1.64964072369237e-15
"CD177",0.997677143048,-4.59570063022222,"Up_in_Sepsis",3583.66666666667,1.71188481427709e-16,0.911288888888889,1.88330068378551e-15
"S100A12",0.1769893729,-1.917598468,"Up_in_Sepsis",3634.5,2.23022449395653e-16,0.9384,1.88330068378551e-15
"SOCS3",0.257958280168,-2.33895945533333,"Up_in_Sepsis",3693,1.84645884066347e-16,0.9696,1.88330068378551e-15
"TLR2",0.193192694816,-1.61405051333333,"Up_in_Sepsis",3643,1.19273989918378e-15,0.942933333333333,8.24074839436063e-15
"HLA-DRA",-0.63892096888,1.50770212866667,"Down_in_Sepsis",112,1.43337123119402e-15,-0.940266666666667,9.0780177975621e-15
"BCL2",-0.523317930296,1.13014632916667,"Down_in_Sepsis",164,6.57843625058159e-15,-0.912533333333333,3.84585503880155e-14
"C3AR1",0.196685696712,-1.55061417533333,"Up_in_Sepsis",3558,2.53235015615329e-14,0.8976,1.20286632417281e-13
"TLR4",0.131113797556,-1.5750961115,"Up_in_Sepsis",3418.5,3.12462408578603e-14,0.8232,1.39689076776317e-13
"IL1R2",0.982190017752,-3.54273072333333,"Up_in_Sepsis",3531,6.48292922957738e-14,0.8832,2.59317169183095e-13
"MMP8",0.842534402312,-2.17055433333333,"Up_in_Sepsis",3531,6.48292922957738e-14,0.8832,2.59317169183095e-13
"NOTCH1",0.063526410796,-0.712021349683333,"Up_in_Sepsis",3011,1.42724241171832e-13,0.605866666666667,5.42352116452961e-13
"CCR7",-0.386498463112,1.286735715,"Down_in_Sepsis",248,1.75042029032808e-13,-0.867733333333333,6.33485438404449e-13
"ELANE",0.45597907676,-1.97987722466667,"Up_in_Sepsis",3489,2.71721365865525e-13,0.8608,9.38673809353632e-13
"ITGAM",0.122462905848,-1.14417423066667,"Up_in_Sepsis",3443,1.25320518707278e-12,0.836266666666667,4.14102583554483e-12
"OLFM4",0.38682899196,-3.89017209,"Up_in_Sepsis",3422,2.48284480141307e-12,0.825066666666667,7.8623418711414e-12
"TNFSF10",0.025112572032,-0.697541925844444,"Up_in_Sepsis",2641.66666666667,1.07333754315014e-10,0.408888888888889,3.13744820305424e-10
"LBP",0.569298231544,-1.0785482895,"Up_in_Sepsis",3248,5.09335792942471e-10,0.732266666666667,1.38248286655813e-09
"CCL19",0.42131831542,-0.98109643185,"Up_in_Sepsis",3092,1.01202340443484e-09,0.649066666666667,2.63753682723812e-09
"S100A9",0.131953951992,-1.02826357046667,"Up_in_Sepsis",3223,1.04113295812031e-09,0.718933333333333,2.63753682723812e-09
"PDCD1",-0.239188939048,0.704880714333333,"Down_in_Sepsis",577,4.18986355230227e-09,-0.692266666666667,1.02719235475798e-08
"CCL2",0.08812414568,1.77829740233333,"Down_in_Sepsis",609,9.94956765947028e-09,-0.6752,2.36302231912419e-08
"MAPK14",0.291382706784,-1.17438552233333,"Up_in_Sepsis",3135,1.16745595078623e-08,0.672,2.68868643211375e-08
"LCN2",0.487558468592,-1.140262623,"Up_in_Sepsis",3133,1.23116575698421e-08,0.670933333333333,2.75201757443528e-08
"PTX3",-0.028091636,-1.10434782533333,"Up_in_Sepsis",3112,2.1405250860572e-08,0.659733333333333,4.6479973297242e-08
"IFNA2",0.541673210184,-0.554631864333333,"Up_in_Sepsis",3017,2.34122885429998e-07,0.609066666666667,4.94259424796661e-07
"IFNB1",0.417747697448,-0.470088734066667,"Up_in_Sepsis",3002,3.36011146841381e-07,0.601066666666667,6.9018505837689e-07
"IL6",0.140476786428,-0.0176108434833333,"Up_in_Sepsis",2104.5,5.93434220732853e-07,0.1224,1.18686844146571e-06
"CX3CR1",-0.777094924632,0.539909332466667,"Down_in_Sepsis",784,7.85272633432632e-07,-0.581866666666667,1.53027487540718e-06
"CD14",-0.193659655968,-0.878439317666667,"Up_in_Sepsis",2957,9.67035806409009e-07,0.577066666666667,1.79255417773377e-06
"IL1B",0.118385244624,-0.875001620333333,"Up_in_Sepsis",2949,1.16207041261545e-06,0.5728,2.10279407997081e-06
"CRP",0.424092471572,-0.4745109924,"Up_in_Sepsis",2901.5,1.59786448732662e-06,0.547466666666667,2.75994775083689e-06
"CXCL10",-0.025105730916,0.984279296233333,"Down_in_Sepsis",970.5,1.56212841791062e-06,-0.4824,2.75994775083689e-06
"VCAM1",0.393931406384,-0.497621927833333,"Up_in_Sepsis",2932,1.7098499483272e-06,0.563733333333333,2.88774657939706e-06
"CALCA",0.359979002288,-0.437024847877778,"Up_in_Sepsis",2716.66666666667,3.19005260470695e-06,0.448888888888889,5.27052169473323e-06
"CCL25",0.256088838392,-0.447115045333333,"Up_in_Sepsis",2640.5,3.26096545502441e-06,0.408266666666667,5.2730505230182e-06
"HIF1A",0.184917110124,-0.209647891416667,"Up_in_Sepsis",2366.5,5.98712215978354e-06,0.262133333333333,9.47961008632394e-06
"C5AR1",-0.164387045416,-1.08993510833333,"Up_in_Sepsis",2862,7.8967156668751e-06,0.5264,1.20030078136501e-05
"NLRP3",-0.10220416082,-0.750588094816667,"Up_in_Sepsis",2724.5,9.54627924532566e-06,0.453066666666667,1.42258278949951e-05
"IFNG",-0.209164704048,0.8901846259,"Down_in_Sepsis",940,2.3115771643405e-05,-0.498666666666667,3.37845893249765e-05
"HMGB1",0.048106629128,-0.246624405666667,"Up_in_Sepsis",2745,8.21432193848118e-05,0.464,0.000115608975430476
"ICAM1",0.058788943336,-0.561317456666667,"Up_in_Sepsis",2744,8.37072407872441e-05,0.463466666666667,0.000115668187269646
