"Gene","Mean_Sepsis","Mean_Control","Direction","W","p_value","effect_size","adjusted_p"
"FCGR1A",13.2147616448723,9.61344948337211,"Up_in_Sepsis",1551,4.17657629369639e-14,0.988461538461539,3.10259953246017e-13
"ARG1",12.052477853311,7.33474379216146,"Up_in_Sepsis",1551,4.17657629369639e-14,0.988461538461539,3.10259953246017e-13
"CD177",15.30243093175,7.58111625509612,"Up_in_Sepsis",1551,4.17657629369639e-14,0.988461538461539,3.10259953246017e-13
"S100A8",17.5587614261821,12.8209116754066,"Up_in_Sepsis",1557,2.65311306151078e-14,0.996153846153846,3.10259953246017e-13
"S100A9",19.9067173266923,16.0714975817499,"Up_in_Sepsis",1552,3.87328144364098e-14,0.98974358974359,3.10259953246017e-13
"S100A12",15.6474483622196,10.5289276806205,"Up_in_Sepsis",1553,3.59167138679046e-14,0.991025641025641,3.10259953246017e-13
"SOCS3",13.7533519575392,10.6961818787464,"Up_in_Sepsis",1552,3.87328144364098e-14,0.98974358974359,3.10259953246017e-13
"C3AR1",12.6066724262555,9.9342108596948,"Up_in_Sepsis",1537,1.18818830350322e-13,0.970512820512821,7.72322397277091e-13
"TNFSF10",13.5545074115147,12.2637810733619,"Up_in_Sepsis",1534,1.48298714641723e-13,0.966666666666667,8.56837017929955e-13
"MAPK14",14.7177429287425,12.6660047889902,"Up_in_Sepsis",1530,1.99020862103013e-13,0.961538461538462,9.98515792493275e-13
"MMP8",12.5207602438529,7.22389156048153,"Up_in_Sepsis",1528,2.30426721344602e-13,0.958974358974359,9.98515792493275e-13
"IL1R2",14.7618089962605,10.6045363517771,"Up_in_Sepsis",1528,2.30426721344602e-13,0.958974358974359,9.98515792493275e-13
"GATA3",7.98661237803988,10.0521306927836,"Down_in_Sepsis",43,5.12372624481848e-13,-0.944871794871795,2.04533872581949e-12
"TLR2",14.6885861801041,13.2098801098722,"Up_in_Sepsis",1516,5.50668118489864e-13,0.943589743589744,2.04533872581949e-12
"ITGAM",14.6352717953919,13.0413134993595,"Up_in_Sepsis",1507,1.04901004682615e-12,0.932051282051282,3.40928265218499e-12
"BCL2",9.42468201069964,11.1748183903426,"Down_in_Sepsis",53,1.04901004682615e-12,-0.932051282051282,3.40928265218499e-12
