Gene,adjusted_p,Rank_Stat,Mean_Importance,Rank_RF,Rank_Diff
FCGR1A,7.80457324044173e-23,1,33.9573217187716,1,0
S100A9,1.6133960700418498e-22,2,29.7679489811884,2,0
S100A12,7.906030996316679e-22,3,18.5136494163818,5,2
S100A8,4.3705621904763805e-21,4,15.5859788184989,8,4
GATA3,7.98727991092764e-21,5,18.4933286282976,6,1
IL10,3.4241530713038995e-20,6,23.4980745555555,3,3
CD177,3.4241530713038995e-20,7,19.4799832207203,4,3
MYD88,7.86766841456244e-20,8,13.2195442067078,10,2
TNFSF10,7.86766841456244e-20,9,16.8083014059094,7,2
C3AR1,1.28507568450926e-19,10,14.7767784549617,9,1
BCL2,1.2209089426117701e-17,11,4.27371998524634,14,3
MAPK14,1.28379074751239e-17,12,9.88395353383602,11,1
SOCS3,2.62083730008278e-17,13,3.98157949293268,15,2
ITGAM,8.58350163933751e-17,14,2.64237291051733,18,4
CCR7,6.61865356168346e-16,15,8.31196509929929,12,3
MMP8,6.61865356168346e-16,16,2.34890818330583,19,3
ARG1,3.1059167840374903e-15,17,5.60662559902855,13,4
TLR2,4.4013229405845297e-13,18,2.96024676028203,17,1
MMP9,1.18144177033737e-12,19,1.66960735234405,25,6
IL1R2,2.5677003709397996e-12,20,1.29649164187652,30,10
ICAM1,2.68947523043274e-11,21,0.795948916311195,40,19
PLAUR,3.94347956383238e-11,22,1.45498901458907,28,6
LCN2,4.3205962084479394e-11,23,0.829404888127116,38,15
IL1B,1.11119645213665e-10,24,1.20888810710279,31,7
CD14,1.27692345849547e-10,25,0.394707396886887,49,24
PTX3,1.7391554737281002e-10,26,0.827727143594886,39,13
TLR4,1.925839661945e-9,27,0.995270966580639,34,7
NLRP3,6.07888499932336e-9,28,0.696748342742452,43,15
CALCA,3.12669425884527e-8,29,1.06979612375557,32,3
CCR2,2.39940618814107e-7,30,1.89195027266683,23,7
CRP,4.05320931475511e-7,31,1.4083311059467,29,2
OLFM4,6.43369248630516e-7,32,0.516370659318712,47,15
CXCL8,1.04311283471906e-6,33,1.87282142090183,24,9
CXCL10,2.39597873132777e-6,34,1.64870909642039,26,8
ELANE,1.33237212336342e-5,35,0.524704807289079,46,11
LBP,8.48160017565271e-5,36,0.847225614882058,37,1
HIF1A,1.6424606512998e-4,37,0.26222560484093,51,14
IL6,4.439053936452e-4,38,0.737853574494185,42,4
P2RX7,4.439053936452e-4,39,3.97763949567226,16,23
CX3CR1,0.00134959602424739,40,0.758938472101223,41,1
HMGB1,0.00262036583395204,41,0.886945734323172,36,5
CCL19,0.0196255780097001,42,1.02717522174555,33,9
TREM1,0.0260668192101454,43,2.19378705924721,21,22
IFNG,0.0369144313320396,44,0.45644181402536,48,4
HLA.DRA,0.0497232400920734,45,1.61858683220022,27,18
NOTCH1,0.0529159924425478,46,2.23888921740975,20,26
C5AR1,0.0577815737012524,47,1.90861637224584,22,25
PDCD1,0.0646474328983555,48,0.574428469054452,45,3
CCL2,0.133856799982655,49,0.624461428027664,44,5
CCL25,0.141743798598469,50,0.891386360991201,35,15
IFNB1,0.308094628470039,51,0.102093393138271,53,2
VCAM1,0.546029240750224,52,0.360904425502818,50,2
TNF,0.712975385965019,53,0.260051976734818,52,1
