Gene,adjusted_p,Rank_Stat,MeanImportance,Rank_RF,Rank_Diff
CD177,2.9040468252618497e-22,1,10.10463179236,3,2
GATA3,2.9040468252618497e-22,2,8.21383921633212,5,3
S100A12,2.9040468252618497e-22,3,11.0241902669454,1,2
S100A8,2.9040468252618497e-22,4,10.3566789398904,2,2
ARG1,4.1475344571871796e-22,5,9.06162658471939,4,1
IL1R2,6.79489462139468e-22,6,6.86792780594631,6,0
MAPK14,8.79595931447776e-22,7,4.75098908461041,7,0
BCL2,1.0682845539527999e-21,8,4.26974822878045,8,0
CX3CR1,1.6573548100993401e-21,9,3.54951983009364,9,0
MMP8,4.0995188109240504e-21,10,1.1449803525697,14,4
HLA-DRA,4.65419777285809e-21,11,3.45285497225263,10,1
CCR7,1.0266592984251499e-20,12,2.84089271928332,11,1
MMP9,1.09770185301074e-20,13,2.23860257310417,12,1
ITGAM,4.72363509529054e-20,14,1.4329769399781,13,1
SOCS3,3.3842814785027e-19,15,0.639899976829835,15,0
LCN2,1.96727327644875e-18,16,0.447632797076381,17,1
FCGR1A,2.8252013605805e-17,17,0.309738710253229,19,2
OLFM4,2.85949548311912e-17,18,0.198705340841419,21,3
C3AR1,5.71547467347476e-16,19,0.614331157529603,16,3
IL10,1.4373176716646802e-15,20,0.269596035958567,20,0
TLR2,1.35910643277234e-14,21,0.416408240420155,18,3
TLR4,3.1544370083487e-14,22,0.116214567316499,24,2
HMGB1,5.971538100033099e-13,23,0.0426693407002881,34,11
MYD88,3.20205705530806e-10,24,0.0675249499604284,29,5
ELANE,1.0631477390471602e-9,25,0.0274356372824755,37,12
PTX3,1.77894469399241e-8,26,0.0158852709252282,40,14
TNFSF10,3.80846009865631e-7,27,0.0583146201114792,32,5
C5AR1,1.33816071622158e-6,28,0.0757770509028361,26,2
TNF,2.58930240271515e-6,29,0.072333971615545,28,1
HIF1A,1.10853827492199e-5,30,0.0532837484105669,33,3
P2RX7,1.53640172861257e-5,31,0.0176290774927252,39,8
NLRP3,5.09933498815593e-5,32,0.0391549211535161,35,3
IL8,9.58162656467298e-5,33,0.0147715790148759,41,8
ICAM1,9.8843323776882e-4,34,0.0273551029741609,38,4
CCR2,0.0147595100607175,35,0.063359849499917,31,4
PLAUR,0.0233730658875167,36,0.0855998497824043,25,11
TREM1,0.0601025498183034,37,0.161187832179356,22,15
IL1B,0.18334718462704,38,0.0745139306390012,27,11
PDCD1,0.19442513328683,39,0.0294213248958986,36,3
CD14,0.400400388096992,40,0.0644018214604417,30,10
NOTCH1,0.796284766279753,41,0.125326882465074,23,18
