"Feature","Mean_Importance","SD_Importance"
"FCGR1A",33.9573217187716,8.96776851422514
"S100A9",29.7679489811884,6.66000582406347
"IL10",23.4980745555555,5.7868290538243
"CD177",19.4799832207203,6.76425948189334
"S100A12",18.5136494163818,7.67165724623318
"GATA3",18.4933286282976,6.42943328732392
"TNFSF10",16.8083014059094,5.75563032436491
"S100A8",15.5859788184989,6.02889985252265
"C3AR1",14.7767784549617,5.2588262667197
"MYD88",13.2195442067078,5.01599727607338
"MAPK14",9.88395353383602,4.18138613078604
"CCR7",8.31196509929929,3.49165598531339
"ARG1",5.60662559902855,2.82185580148179
"BCL2",4.27371998524634,2.25969773668419
"SOCS3",3.98157949293268,2.39679913001136
"P2RX7",3.97763949567226,1.20198889203753
"TLR2",2.96024676028203,1.78775238795687
"ITGAM",2.64237291051733,1.92477669838981
"MMP8",2.34890818330583,1.56448699428897
"NOTCH1",2.23888921740975,0.913879915043391
"TREM1",2.19378705924721,0.769561313786243
"C5AR1",1.90861637224584,0.855247601780964
"CCR2",1.89195027266683,0.915638645348433
"CXCL8",1.87282142090183,1.11415682838034
"MMP9",1.66960735234405,1.30197697487182
"CXCL10",1.64870909642039,0.749680513750328
"HLA.DRA",1.61858683220022,0.731203166815257
"PLAUR",1.45498901458907,1.19656332164071
"CRP",1.4083311059467,0.931082349499456
"IL1R2",1.29649164187652,1.06120709291122
"IL1B",1.20888810710279,0.948751200769704
"CALCA",1.06979612375557,0.749761019197847
"CCL19",1.02717522174555,0.439754185924576
"TLR4",0.995270966580639,0.900541713742208
"CCL25",0.891386360991201,0.37913451296543
"HMGB1",0.886945734323172,0.490655707157208
"LBP",0.847225614882058,0.320285482912005
"LCN2",0.829404888127116,0.944926544181803
"PTX3",0.827727143594886,0.702100629439831
"ICAM1",0.795948916311195,0.737732370784476
"CX3CR1",0.758938472101223,0.351554640698089
"IL6",0.737853574494185,0.354107018800808
"NLRP3",0.696748342742452,0.523363392128343
"CCL2",0.624461428027664,0.333409209429486
"PDCD1",0.574428469054452,0.281460060023968
"ELANE",0.524704807289079,0.263012094457259
"OLFM4",0.516370659318712,0.244166777669292
"IFNG",0.45644181402536,0.172469674889019
"CD14",0.394707396886887,0.326785510124656
"VCAM1",0.360904425502818,0.149745157197923
"HIF1A",0.26222560484093,0.152462226276156
"TNF",0.260051976734818,0.143458281946122
"IFNB1",0.102093393138271,0.101920005467624
