"Gene","MeanImportance","SDImportance"
"MMP9",10.0514265801149,NA
"S100A8",8.52588206137892,NA
"ARG1",8.52042747824858,2.39118836930698
"GATA3",6.60713503442226,NA
"IL10",5.87124870824546,NA
"TLR2",5.57170832283965,NA
"CD177",4.57610204315286,3.17873670660718
"SOCS3",4.54722873817489,NA
"S100A12",3.88158394302364,1.71416048917361
"HLA-DRA",3.45676816474448,NA
"BCL2",2.85664228979993,1.67621640634035
"IL1R2",2.68253931820674,NA
"C3AR1",1.7431679271187,NA
"MMP8",1.64330328323496,NA
"CCR7",1.50628807543424,NA
"ITGAM",1.18391673004436,NA
"TLR4",1.11112456053487,0.946217744863925
"OLFM4",0.923756039664079,NA
"MAPK14",0.776355042223114,NA
"LCN2",0.606057335311169,NA
"ELANE",0.537847716500574,NA
"NOTCH1",0.400633773052915,0.447745521085823
"S100A9",0.38510338716869,NA
"CCL19",0.275631836203434,0.225008406249779
"LBP",0.248099440586557,NA
"CD14",0.233962613924943,NA
"NLRP3",0.195106999511555,0.090383501118918
"PDCD1",0.192631841769932,NA
"CCL2",0.172586685942462,NA
"CXCL10",0.158421762853052,0.0953114969431463
"CX3CR1",0.156768281345593,NA
"TNFSF10",0.149857612213873,0.210797108535403
"PTX3",0.133179580863579,NA
"C5AR1",0.126377419789393,NA
"IFNB1",0.11465600833023,NA
"HMGB1",0.113660110216903,NA
"MYD88",0.0999240261475731,NA
"IFNA2",0.0858600597787803,NA
"CALCA",0.0797908946634158,0.0110185780625969
"CRP",0.0765080007445101,0.0153948995612503
"CCR2",0.0625374793546687,0.0205360306506943
"VCAM1",0.0609683688254306,NA
"HIF1A",0.0574302335476758,0.0435426980784059
"P2RX7",0.055642090065357,0.00359473464174384
"PLAUR",0.0494574834648179,NA
"CCL25",0.0487002876649262,0.0243155376845217
"IL6",0.048528554658001,0.0115257184848258
"IFNG",0.0435459030058308,NA
"IL1B",0.0420258212565398,NA
"IL8",0.0377100953806989,0.026448904906365
"ICAM1",0.0338146420067758,NA
"TNF",0.0312815455421281,NA
"TREM1",0.01908151857455,0.00171477256391091
