Gene adjusted_p Rank_Stat Mean_Importance Rank_RF Rank_Diff predicted_importance EffectSize
ARG1 1.76195241863601e-06 1 1.32353601358215 4 3 0.821583366399287 0.838
CD177 1.76195241863601e-06 2 1.3071351813012 6 4 0.821583366399287 0.838
FCGR1A 1.76195241863601e-06 3 1.09743944170674 11 8 0.821583366399287 0.834
GATA3 1.76195241863601e-06 4 1.32158487506031 5 1 0.821583366399287 -0.838
IL1R2 1.76195241863601e-06 5 0.939434748503727 13 8 0.821583366399287 0.834
ITGAM 1.76195241863601e-06 6 1.23997408756852 9 3 0.821583366399287 0.838
LCN2 1.76195241863601e-06 7 0.982419292786366 12 5 0.821583366399287 0.834
MAPK14 1.76195241863601e-06 8 1.15895615590856 10 2 0.821583366399287 0.838
MMP9 1.76195241863601e-06 9 1.25942608910972 8 1 0.821583366399287 0.838
S100A12 1.76195241863601e-06 10 1.33389871656445 3 7 0.821583366399287 0.838
S100A8 1.76195241863601e-06 11 1.41688059725565 1 10 0.821583366399287 0.838
S100A9 1.76195241863601e-06 12 1.33936037217965 2 10 0.821583366399287 0.838
SOCS3 1.76195241863601e-06 13 1.2760029840406 7 6 0.821583366399287 0.838
TLR2 1.92326126395859e-06 14 0.795001055672801 14 0 0.814079064498943 0.829
TLR4 2.89967448567494e-06 15 0.493864795599723 15 0 0.778906340020837 0.814
MMP8 4.35491213399294e-06 16 0.389503981321368 17 1 0.744064665721759 0.799
CCR7 7.58423906521739e-06 17 0.439963856381744 16 1 0.696538319313425 -0.778
HIF1A 1.12545284681758e-05 18 0.192986227856464 22 4 0.662724727050642 0.763
OLFM4 1.9226342949478e-05 19 0.121335848481122 24 5 0.616847618980516 0.743
IL1B 2.01115019625086e-05 20 0.32081640248025 18 2 0.612991569233476 0.738
MYD88 2.01115019625086e-05 21 0.14274721114275 23 2 0.612991569233476 0.738
CD14 2.55900105433106e-05 22 0.247193498949722 19 3 0.592352789391965 0.727
HLA.DRA 2.82215918001421e-05 23 0.197261288627552 21 2 0.583966948674072 -0.722
BCL2 6.23201648627794e-05 24 0.2258229918912 20 4 0.516099221064693 -0.692
IL10 8.45484504905235e-05 25 0.0858130492891053 25 0 0.489966383847617 0.679
HMGB1 0.00012350802790984 26 0.0810878288286815 26 0 0.457498926812397 0.661
PLAUR 0.00012350802790984 27 0.0586636736254327 28 1 0.457498926812397 0.661
PDCD1 0.00015445489030143 28 0.0359219542433639 30 2 0.438343388364657 -0.651
TNFSF10 0.00019269894849394 29 0.0678287554027958 27 2 0.419390790534487 0.641
CX3CR1 0.00027174933091845 30 0.0397587192837417 29 1 0.389941522378831 -0.625
C3AR1 0.00029772096734401 31 0.0243715817947814 32 1 0.382121819457174 0.62
ELANE 0.00051304466390862 32 0.0328441592300021 31 1 0.335499467755542 0.595
PTX3 0.00051304466390862 33 0.0202540553531085 33 0 0.335499467755542 0.595
C5AR1 0.00089302892804608 34 0.0108369180499135 35 1 0.2880161355372 0.569
TREM1 0.00437276769333767 35 0.0130046161760687 34 1 0.151925932023192 0.493
IL6 0.00574529200864612 36 0.0061651958178274 39 3 0.128539233359219 -0.478
NOTCH1 0.0108795709350016 37 0.0077068660715102 37 0 0.0738381637545657 0.442
ICAM1 0.011612409409 38 0.0052271462077654 41 3 0.0682535247179643 0.437
IFNG 0.01753000933999 39 0.00232548026048026 43 4 0.0329710333940103 -0.413
CCR2 0.027906438071167 40 0.0101456215685842 36 4 -0.00686083527726227 0.381
CXCL10 0.027906438071167 41 0.00162219254772687 46 5 -0.00686083527726227 -0.383
CALCA 0.0283806233812049 42 0.0018665522875817 45 3 -0.00830431465677093 -0.38
P2RX7 0.0366604616611097 43 0.00561092506046797 40 3 -0.0302352687062055 -0.362
IFNA1 0.0392619013189675 44 0.00019090909090909 52 8 -0.0361084699118407 -0.357
CCL2 0.0546712921286715 45 0.00765413366750209 38 7 -0.0644725799063448 -0.332
CRP 0.128160451544155 46 0.00019047619047619 53 7 -0.137458985540435 -0.266
TNF 0.135854534349131 47 0.00440821248449229 42 5 -0.14245371605839 -0.26
IFNA2 0.284017724264032 48 0.00019130434782608 51 3 -0.205631518324419 0.194
LBP 0.394891265711591 49 0.00086042279612073 47 2 -0.233866238107198 -0.154
NLRP3 0.484396195671973 50 0.00057211257309941 48 2 -0.251368076151411 0.127
VCAM1 0.523175894173958 51 0 54 3 -0.257965944962146 -0.115
CCL19 0.776097685953155 52 0.00047333333333333 50 2 -0.291750981514756 0.0566
CCL25 0.840640967398935 53 0.0005668817204301 49 4 -0.298594869480546 0.0367
CXCL8 0.840640967398935 54 0.00221501824834205 44 10 -0.298594869480546 -0.0357
