Gene adjusted_p Rank_Stat MeanImportance Rank_RF Rank_Diff predicted_importance EffectSize
C3AR1 0.00013212822995909 1 0.695960926172269 6 5 0.465603336724776 0.796
CCR7 0.00013212822995909 2 0.854741210768451 4 2 0.465603336724776 -0.803
CD177 0.00013212822995909 3 0.827906634029527 5 2 0.465603336724776 0.803
ELANE 0.00013212822995909 4 0.645249032797795 7 3 0.465603336724776 0.796
GATA3 0.00013212822995909 5 0.28721791249988 15 10 0.465603336724776 -0.69
MMP8 0.00013212822995909 6 0.874896330800464 1 5 0.465603336724776 0.803
S100A12 0.00013212822995909 7 0.865532636272997 3 4 0.465603336724776 0.803
S100A8 0.00013212822995909 8 0.444679161307646 9 1 0.465603336724776 0.803
S100A9 0.00013212822995909 9 0.874732905401019 2 7 0.465603336724776 0.803
SOCS3 0.00013212822995909 10 0.267321432320037 16 6 0.465603336724776 0.666
ARG1 0.00016614541105165 11 0.213180687908102 20 9 0.451024600381617 0.78
IL10 0.00016614541105165 12 0.488274618897249 8 4 0.451024600381617 0.78
FCGR1A 0.000226993509455 13 0.36055234842095 12 1 0.431166015904295 0.756
ITGAM 0.000226993509455 14 0.355063578608771 13 1 0.431166015904295 0.763
MAPK14 0.000226993509455 15 0.232419174192136 18 3 0.431166015904295 0.756
OLFM4 0.000226993509455 16 0.363982042934352 11 5 0.431166015904295 0.756
HLA-DRA 0.00024553430850866 17 0.302734677839181 14 3 0.426169502835613 NA
MMP9 0.00024553430850866 18 0.375943286420378 10 8 0.426169502835613 0.747
LCN2 0.000308207723067 19 0.255680652320963 17 2 0.411702330583762 0.73
BCL2 0.00066883779961402 20 0.0397494427524842 25 5 0.362398067150956 -0.429
IL1R2 0.00073773520686837 21 0.216149726738719 19 2 0.356158832041517 0.643
PTX3 0.00084588815111477 22 0.198847986210233 21 1 0.347453084145984 0.676
CXCL8 0.00268549938776525 23 0.0438323276236562 24 1 0.273936829843616 -0.61
CX3CR1 0.00414874887626244 24 0.0703625666047528 22 2 0.24625832849264 -0.394
TREM1 0.00529338252977452 25 0.0360107887550558 26 1 0.230753010219067 -0.57
HIF1A 0.0159636084859538 26 0.0473547472300592 23 3 0.160506487063756 0.506
TNFSF10 0.020258476606017 27 0.0195906013185318 28 1 0.145344111438547 0.402
NOTCH1 0.0371105880927595 28 0.0135950127537225 34 6 0.106822484937994 -0.449
IFNA1 0.0398396700927369 29 0.00836431245283192 38 9 0.102306715008751 0.442
MYD88 0.0398396700927369 30 0.0175389471069923 30 0 0.102306715008751 0.442
LBP 0.0528072402448823 31 0.0144325811081166 32 1 0.0843746116549581 0.418
HMGB1 0.101547023811274 32 0.00452329414528016 48 16 0.0427637245278593 0.298
TLR2 0.101547023811274 33 0.00928879241823906 37 4 0.0427637245278593 0.361
VCAM1 0.101547023811274 34 0.0210699026917032 27 7 0.0427637245278593 0.361
C5AR1 0.108031838349148 35 0.0139623594407503 33 2 0.0388243084000052 0.354
CCR2 0.108031838349148 36 0.0130925316439731 35 1 0.0388243084000052 0.354
CRP 0.111368420490942 37 0.0081239252678588 39 2 0.0368885939657933 0.349
TLR4 0.124459382706335 38 0.0182982939084769 29 9 0.0298162013269626 0.288
CALCA 0.134618361273126 39 0.00527526817681644 44 5 0.0248229227778087 -0.0803
NLRP3 0.184892669060593 40 0.00491757022485124 47 7 0.00462872812550715 0.104
PLAUR 0.209466829372267 41 0.00586090213937491 41 0 -0.00331258970381222 -0.153
IL6 0.24394196979178 42 0.00519379087071576 45 3 -0.0130087160305783 0.265
CXCL10 0.260548087675727 43 0.0115115646242322 36 7 -0.0171996956762895 0.257
CCL25 0.409245460422559 44 0.005700447722143 43 1 -0.045933789449713 0.201
PDCD1 0.417491410532365 45 0.00694300486563353 40 5 -0.0472032842247829 0.197
CD14 0.443078115407597 46 0.0156001484721774 31 15 -0.0509885775493355 0.184
ICAM1 0.443078115407597 47 0.00576848029150588 42 5 -0.0509885775493355 -0.184
IL1B 0.508086476590703 48 0.00394382123080916 51 3 -0.059700906377625 -0.153
IFNB1 0.551451335431837 49 0.00441979093334704 49 0 -0.0649129407297126 -0.137
P2RX7 0.576818803587136 50 0.0049547368051625 46 4 -0.067775011346338 -0.129
CCL2 0.585755982761143 51 0.002182512240057 54 3 -0.0687534446794864 -0.125
CCL19 0.789267602311784 52 0.00276491573060201 52 0 -0.0877302838780553 0.0643
IFNA2 0.860648617333627 53 0.00419166337392719 50 3 -0.0932400748942921 -0.0442
IFNG 0.966918538003943 54 0.00248180200220474 53 1 -0.100649258082339 -0.0161
TNF 0.992475297975789 55 0.00182909631652172 55 0 -0.102309425193975 -0.00803
