Gene,adjusted_p,Rank_Stat,MeanImportance,Rank_RF,Rank_Diff,predicted_importance,EffectSize
ARG1,1.64964072369237e-15,1,8.52042747824858,3,2,2.93008457945599,0.67
GATA3,1.64964072369237e-15,2,6.60713503442226,4,2,2.93008457945599,-0.668
IL10,1.64964072369237e-15,3,5.87124870824546,5,2,2.93008457945599,0.667
MMP9,1.64964072369237e-15,4,10.0514265801149,1,3,2.93008457945599,0.671
S100A8,1.64964072369237e-15,5,8.52588206137892,2,3,2.93008457945599,0.673
CD177,1.88330068378551e-15,6,4.57610204315286,7,1,2.93008409425709,0.653
S100A12,1.88330068378551e-15,7,3.88158394302364,9,2,2.93008409425709,0.659
SOCS3,1.88330068378551e-15,8,4.54722873817489,8,0,2.93008409425709,0.661
TLR2,8.24074839436063e-15,9,5.57170832283965,6,3,2.93007089334334,0.643
HLA-DRA,9.0780177975621e-15,10,3.45676816474448,10,0,2.93006915485895,NA
BCL2,3.84585503880155e-14,11,2.85664228979993,11,0,2.93000815910062,-0.618
C3AR1,1.20286632417281e-13,12,1.7431679271187,13,1,2.9298383734427,0.612
TLR4,1.39689076776317e-13,13,1.11112456053487,17,4,2.92979813552811,0.61
