Gene,adjusted_p,Rank_Stat,Mean_Importance,Rank_RF,Rank_Diff,predicted_importance,EffectSize
FCGR1A,7.80457324044173e-23,1,33.9573217187716,1,0,8.79915435678409,0.515
S100A9,1.61339607004185e-22,2,29.7679489811884,2,0,8.79915435678372,0.51
S100A12,7.90603099631668e-22,3,18.5136494163818,5,2,8.79915435678092,0.5
S100A8,4.37056219047638e-21,4,15.5859788184989,8,4,8.79915435676499,0.489
GATA3,7.98727991092764e-21,5,18.4933286282976,6,1,8.7991543567489,-0.485
IL10,3.4241530713039e-20,6,23.4980745555555,3,3,8.79915435663211,0.476
CD177,3.4241530713039e-20,7,19.4799832207203,4,3,8.79915435663211,0.476
MYD88,7.86766841456244e-20,8,13.2195442067078,10,2,8.79915435643445,0.47
TNFSF10,7.86766841456244e-20,9,16.8083014059094,7,2,8.79915435643445,0.47
C3AR1,1.28507568450926e-19,10,14.7767784549617,9,1,8.79915435621278,0.467
BCL2,1.22090894261177e-17,11,4.27371998524634,14,3,8.79915430247372,-0.441
MAPK14,1.28379074751239e-17,12,9.88395353383602,11,1,8.7991542996765,0.44
SOCS3,2.62083730008278e-17,13,3.98157949293268,15,2,8.79915424019955,0.436
