"Removed_Column","Avg_Accuracy","SD_Accuracy","Avg_Sensitivity","SD_Sensitivity","Avg_Specificity","SD_Specificity","Avg_F1_Score","SD_F1_Score","Avg_MCC","SD_MCC"
"VCAM1",0.973333333333333,0.0441276589066723,0.9975,0.0175881617670362,0.925,0.130558241966773,0.98121568627451,0.0307623448836175,0.941666045914346,0.096740086914385
"NLRP3",0.973333333333333,0.0408248290463863,0.99875,0.0125,0.9225,0.121517135176131,0.98116339869281,0.0287191889072313,0.941475164054718,0.0896561827907092
"S100A9",0.969166666666667,0.0453428762980077,0.99875,0.0125,0.91,0.135400640077266,0.978352941176471,0.0315313206937069,0.932289240504669,0.0996801553618237
"S100A12",0.971666666666667,0.0446648574938899,1,0,0.915,0.13399457248167,0.980196078431373,0.0309289376507495,0.937592708620774,0.0984043370144857
"PTX3",0.970833333333333,0.0464433690852261,1,0,0.9125,0.139330107255678,0.979673202614379,0.0320180587286073,0.935752298131833,0.102334550091439
"CX3CR1",0.9725,0.0427961393100227,0.9975,0.0175881617670362,0.9225,0.126605846642406,0.980562091503268,0.0300206366356864,0.939836388021841,0.0937844280222146
"CXCL10",0.974166666666667,0.0438325939946097,1,0,0.9225,0.131497781983829,0.981960784313725,0.0303183274722697,0.943097811192942,0.0965735454801943
"CXCL8",0.975833333333333,0.043187724801301,1,0,0.9275,0.129563174403903,0.983137254901961,0.0298458319678394,0.946767879574387,0.0951549270451167
"ITGAM",0.976666666666667,0.0411670381258886,1,0,0.93,0.123501114377666,0.983660130718954,0.028610446617828,0.948608290063328,0.0906893466682863
"CD14",0.975,0.0435194139889245,0.99875,0.0125,0.9275,0.129563174403903,0.982470588235294,0.0302077367985114,0.945134479839728,0.0956326533950294
"BCL2",0.9775,0.0407818510062099,1,0,0.9325,0.12234555301863,0.984248366013072,0.0283315036459811,0.950443324254051,0.0898417279163367
"IFNB1",0.9725,0.044404969843491,0.99625,0.0214308259997207,0.925,0.130558241966773,0.980549019607843,0.0310719739984257,0.940032646179687,0.0971233939529774
"C3AR1",0.96,0.0480833544865128,0.995,0.0246182981958665,0.89,0.143548112513055,0.971712418300654,0.0335913108106639,0.912703391476691,0.105277503361764
"CCL19",0.975,0.0435194139889245,0.99875,0.0125,0.9275,0.129563174403903,0.982470588235294,0.0302077367985114,0.945134479839728,0.0956326533950294
"MYD88",0.975833333333333,0.0415317681607036,1,0,0.9275,0.124595304482111,0.983071895424837,0.0288745940345493,0.946773255872605,0.0914919471593182
"SOCS3",0.9725,0.0427961393100227,0.995,0.0246182981958665,0.9275,0.124595304482111,0.98040522875817,0.0302479350846981,0.940239656933968,0.0932903266465443
"IFNA2",0.975833333333333,0.0415317681607036,0.99875,0.0125,0.93,0.123501114377666,0.982993464052288,0.0289999231406182,0.946974890328669,0.0912237624490452
