"Feature","Importance"
"VCAM1",-1.00100150250438
"NLRP3",0
"S100A9",5.24322633177337
"S100A12",5.73160842715943
"PTX3",-0.0523425356634252
"CX3CR1",0.989169837445058
"CXCL10",0
"CXCL8",1.00100150250438
"ITGAM",3.41292392939551
"CD14",1.88917605253848
"BCL2",6.16015193595355
"IFNB1",2.13307888032415
"C3AR1",7.79655501309702
"CCL19",1.00100150250438
"MYD88",2.98972976818026
"SOCS3",4.60152215699193
"IFNA2",1.00100150250438
"PDCD1",0
"HMGB1",1.00100150250438
"C5AR1",0
"ELANE",0
"IFNA1",0
"P2RX7",0
"ICAM1",1.00100150250438
"HLA.DRA",1.00100150250438
"CD177",4.76485146855251
"HIF1A",1.49529537457266
"MMP9",1.85860507097597
"OLFM4",1.81374666131926
"PLAUR",0
"TNF",0
"GATA3",4.01957188818634
"CCL2",-1.00100150250438
"CALCA",1.77242567916281
"IFNG",1.00100150250438
"MAPK14",4.86471509565163
"IL1R2",3.67952307342278
"MMP8",2.3851937546984
"ARG1",7.51143470663677
"CCR2",1.33142254206751
"TNFSF10",2.68796059162984
"TREM1",0.538617728378097
"IL1B",0
"CCR7",3.63470124967132
"LBP",0
"CCL25",-1.00100150250438
"CRP",0
"IL6",0
"IL10",3.40445156741059
"TLR4",0.992467751788637
"TLR2",2.34605807152842
"S100A8",6.44218877244985
"LCN2",1.41705050316284
"NOTCH1",1.41508404800271
"FCGR1A",5.84654437407135
