"Removed_Column","Accuracy","Sensitivity","Specificity","F1_Score","MCC"
"VCAM1",1,1,1,1,1
"NLRP3",1,1,1,1,1
"S100A9",0.9167,1,0.75,0.9412,0.8165
"S100A12",0.9167,1,0.75,0.9412,0.8165
"PTX3",1,1,1,1,1
"CX3CR1",1,1,1,1,1
"CXCL10",1,1,1,1,1
"CXCL8",1,1,1,1,1
"ITGAM",1,1,1,1,1
"CD14",0.9167,1,0.75,0.9412,0.8165
"BCL2",1,1,1,1,1
"IFNB1",1,1,1,1,1
"C3AR1",0.9167,1,0.75,0.9412,0.8165
"CCL19",1,1,1,1,1
"MYD88",1,1,1,1,1
"SOCS3",1,1,1,1,1
"IFNA2",0.9167,1,0.75,0.9412,0.8165
"PDCD1",1,1,1,1,1
"HMGB1",1,1,1,1,1
"C5AR1",1,1,1,1,1
"ELANE",0.9167,1,0.75,0.9412,0.8165
"IFNA1",1,1,1,1,1
"P2RX7",1,1,1,1,1
"ICAM1",1,1,1,1,1
"HLA.DRA",0.9167,1,0.75,0.9412,0.8165
"CD177",0.9167,1,0.75,0.9412,0.8165
"HIF1A",0.9167,1,0.75,0.9412,0.8165
"MMP9",1,1,1,1,1
"OLFM4",0.9167,1,0.75,0.9412,0.8165
"PLAUR",1,1,1,1,1
"TNF",0.9167,1,0.75,0.9412,0.8165
"GATA3",1,1,1,1,1
"CCL2",1,1,1,1,1
"CALCA",0.9167,1,0.75,0.9412,0.8165
"IFNG",1,1,1,1,1
"MAPK14",0.9167,1,0.75,0.9412,0.8165
"IL1R2",1,1,1,1,1
"MMP8",1,1,1,1,1
"ARG1",1,1,1,1,1
"CCR2",0.9167,1,0.75,0.9412,0.8165
"TNFSF10",0.9167,1,0.75,0.9412,0.8165
"TREM1",1,1,1,1,1
"IL1B",0.9167,1,0.75,0.9412,0.8165
"CCR7",1,1,1,1,1
"LBP",1,1,1,1,1
"CCL25",1,1,1,1,1
"CRP",1,1,1,1,1
"IL6",1,1,1,1,1
"IL10",1,1,1,1,1
"TLR4",1,1,1,1,1
"TLR2",1,1,1,1,1
"S100A8",0.9167,1,0.75,0.9412,0.8165
"LCN2",1,1,1,1,1
"NOTCH1",1,1,1,1,1
"FCGR1A",0.9167,1,0.75,0.9412,0.8165
