"X.OLFM4.","X.0.956067210283322.","X.0.964.","X.0.999444444444444.","X.0.94.","X.1.","X.1..1","X.0.974285714285714."
"OLFM4","0.956067210283322","0.964","0.999444444444444","0.94","1","1","0.974285714285714"
"NLRP3","0.96315218406203","0.968","0.999166666666667","0.95","1","1","0.979285714285714"
"CCR7","0.963033605141661","0.967","1","0.95","1","1","0.979642857142857"
"CRP","0.980702141451344","0.983571428571429","1","0.976666666666667","0.998333333333333","0.9975","0.990357142857143"
"MAPK14","0.968617167672636","0.974571428571429","0.999444444444444","0.96","0.998333333333333","0.9975","0.982857142857143"
"CX3CR1","0.965711473522215","0.971","1","0.953333333333333","1","1","0.980357142857143"
"ELANE","0.970711473522215","0.976","1","0.96","1","1","0.982857142857143"
"GATA3","0.958507920823137","0.966","1","0.943333333333333","1","1","0.975714285714286"
"HIF1A","0.953507920823137","0.961","0.999444444444444","0.936666666666667","1","1","0.973214285714286"
"HLA.DRA","0.978380009831897","0.982571428571429","1","0.973333333333333","0.998333333333333","0.9975","0.988571428571429"
"HMGB1","0.985355736761107","0.988","1","0.98","1","1","0.991428571428571"
"ICAM1","0.965711473522215","0.971","0.999444444444444","0.953333333333333","1","1","0.980357142857143"
"IFNA2","0.968033605141661","0.972","1","0.956666666666667","1","1","0.982142857142857"
"IFNB1","0.963389341902768","0.97","0.999444444444444","0.95","1","1","0.978571428571429"
"IFNG","0.975592894601845","0.98","1","0.966666666666667","1","1","0.985714285714286"
"IL1B","0.973498588752266","0.978571428571429","0.999444444444444","0.966666666666667","0.998333333333333","0.9975","0.985714285714286"
"IL6","0.970711473522215","0.976","1","0.96","1","1","0.982857142857143"
"CXCL8","0.965830052442584","0.972","0.999166666666667","0.953333333333333","1","1","0.98"
"IL10","0.963389341902768","0.97","1","0.95","1","1","0.978571428571429"
"CXCL10","0.965830052442584","0.972","1","0.953333333333333","1","1","0.98"
"ITGAM","0.985355736761107","0.988","1","0.98","1","1","0.991428571428571"
"ARG1","0.953507920823137","0.961","1","0.936666666666667","1","1","0.973214285714286"
"LBP","0.985702141451344","0.988571428571429","1","0.983333333333333","0.998333333333333","0.9975","0.992857142857143"
"LCN2","0.960711473522215","0.966","0.998333333333333","0.946666666666667","1","1","0.977857142857143"
"MMP8","0.970711473522215","0.976","1","0.96","1","1","0.982857142857143"
"MMP9","0.951067210283322","0.959","1","0.933333333333333","1","1","0.971785714285714"
"MYD88","0.975474315681476","0.979","1","0.966666666666667","1","1","0.986071428571429"
"NOTCH1","0.978033605141661","0.982","1","0.97","1","1","0.987142857142857"
"P2RX7","0.968617167672636","0.974571428571429","1","0.96","0.998333333333333","0.9975","0.982857142857143"
"PDCD1","0.955711473522215","0.961","0.999722222222222","0.94","1","1","0.975357142857143"
"PLAUR","0.968270762982399","0.974","1","0.956666666666667","1","1","0.981428571428571"
"TREM1","0.963033605141661","0.967","1","0.95","1","1","0.979642857142857"
"CD177","0.978033605141661","0.982","0.998888888888889","0.97","1","1","0.987142857142857"
"PTX3","0.933863657584244","0.945666666666667","0.999444444444444","0.913333333333333","0.998333333333333","0.996666666666667","0.96297619047619"
"BCL2","0.939210062274481","0.949571428571429","0.999444444444444","0.92","0.998333333333333","0.9975","0.966071428571429"
"S100A8","0.950948631362953","0.958","1","0.933333333333333","1","1","0.972142857142857"
"S100A9","0.968270762982399","0.974","0.999444444444444","0.956666666666667","1","1","0.981428571428571"
"S100A12","0.960711473522215","0.966","1","0.946666666666667","1","1","0.977857142857143"
"CCL2","0.960711473522215","0.966","1","0.946666666666667","1","1","0.977857142857143"
"CCL19","0.960830052442584","0.967","1","0.946666666666667","1","1","0.9775"
"CCL25","0.970939299292082","0.975571428571429","0.999444444444444","0.963333333333333","0.998333333333333","0.9975","0.984642857142857"
"TLR2","0.948270762982399","0.954","1","0.93","1","1","0.971428571428571"
"TLR4","0.982915026221292","0.986","0.999722222222222","0.976666666666667","1","1","0.99"
"TNF","0.970711473522215","0.976","0.999444444444444","0.96","1","1","0.982857142857143"
"C3AR1","0.975474315681476","0.979","1","0.966666666666667","1","1","0.986071428571429"
"C5AR1","0.965711473522215","0.971","1","0.953333333333333","1","1","0.980357142857143"
"CCR2","0.960830052442584","0.967","0.999722222222222","0.946666666666667","1","1","0.9775"
"VCAM1","0.965711473522215","0.971","1","0.953333333333333","1","1","0.980357142857143"
"IL1R2","0.973033605141661","0.977","0.999444444444444","0.963333333333333","1","1","0.984642857142857"
"CALCA","0.95815218406203","0.963","0.999444444444444","0.943333333333333","1","1","0.976785714285714"
"TNFSF10","0.966057878212451","0.971571428571429","0.999444444444444","0.956666666666667","0.998333333333333","0.9975","0.981785714285714"
"SOCS3","0.956413614973558","0.964571428571429","0.999444444444444","0.943333333333333","0.998333333333333","0.9975","0.975714285714286"
"CD14","0.965830052442584","0.972","0.999444444444444","0.953333333333333","1","1","0.98"
