"Gene","MeanImportance","SDImportance"
"MMP8",2.18135543445536,NA
"MYD88",1.64449411130854,NA
"CD177",1.39008051029524,NA
"MMP9",1.38320431554451,NA
"ITGAM",1.14830404994743,NA
"S100A12",1.08747414649123,NA
"TLR4",1.02881020618998,NA
"S100A8",1.02667904450388,NA
"S100A9",1.01613607681203,NA
"GATA3",0.953120530509413,NA
"SOCS3",0.940044647093688,0.758182096115923
"MAPK14",0.901696460140283,0.884672447225957
"FCGR1A",0.599050280415697,0.228027911099605
"TLR2",0.552605748278898,NA
"LCN2",0.49230648470053,NA
"IL1R2",0.48512004793237,0.434101371548317
"ARG1",0.461230156577157,NA
"BCL2",0.44417448073326,0.511508598117476
"HLA-DRA",0.344454924382528,0.335447543768984
"C3AR1",0.335453713790823,NA
"PLAUR",0.317032672148984,0.124481791407946
"CCR7",0.25414295552176,NA
"IFNG",0.161398023251825,NA
"HIF1A",0.140489792725928,0.0609243947198182
"OLFM4",0.10320190411487,0.0818386326830735
"CX3CR1",0.0927663277878823,0.009749787364787
"IL1B",0.0563403148024319,NA
"IL8",0.0288352654849796,0.00798619747500545
"CCL2",0.0277422942518553,NA
"C5AR1",0.0274953103636217,NA
"TNF",0.0267781145933288,NA
"TNFSF10",0.024812391219152,NA
"ELA2",0.0147983852700248,NA
"CXCL10",0.0127470568531732,NA
"IFNB1",0.0113110000735604,NA
"P2RX7",0.0102822096686933,NA
"CCR2",0.00934379178037002,0.00754908493123749
"IL10",0.00865876855492381,0.00243162403057693
"CCL25",0.00785901194312988,0.00116585747564076
"NLRP3",0.00775609830325765,NA
"VCAM1",0.00722935391235528,0.00596704752312649
"PDCD1",0.00640354621973182,NA
"CD14",0.00576647848331549,0.00109538033662678
"CRP",0.00504196537970387,NA
"LBP",0.00486102170344686,NA
"CALCA",0.00469140070513821,0.00467177807504476
"CCL19",0.00449390559512907,NA
"IFNA1",0.00376025119080561,NA
"TREM1",0.00371669287792091,NA
"IFNA2",0.00361529377448505,NA
"IL6",0.00344316356772511,NA
"ICAM1",0.00282417519623479,NA
"HMGB1",0.00281418273163271,0.000571146877194559
"PTX3",0.00181772838834198,NA
"NOTCH1",0.0017499220134704,NA
