"MeanDecreaseGini","Feature","Iteration"
0,"FCGR1A",1
0,"CCR2",1
0.0193333333333333,"IL8",1
0.0377777777777778,"IL10",1
0.19177990430622,"HIF1A",1
0,"IFNB1",1
0.264924812030075,"ITGAM",1
0,"TREM1",1
0,"IFNA1",1
0.227368421052632,"HLA.DRA",1
0.0192307692307692,"C5AR1",1
0.500139941565502,"PLAUR",1
0.777771581452133,"LCN2",1
0,"IFNA2",1
0,"IL6",1
0,"BCL2",1
0,"CALCA",1
1.0502076307775,"TLR4",1
0.113879585326954,"ELA2",1
0.807017543859649,"CCR7",1
0,"CCL2",1
0.0371428571428572,"MAPK14",1
0,"TNF",1
0,"NOTCH1",1
1.34251232921012,"S100A8",1
0,"LBP",1
2.30444657097289,"MMP8",1
4.25061654135338,"MAPK14.1",1
0,"CCL25",1
1.67082338109561,"MYD88",1
0,"CD14",1
0.300199108883319,"CX3CR1",1
0.0763768975332068,"S100A12",1
0,"S100A9",1
0,"OLFM4",1
0.226771094402673,"IL1R2",1
0,"P2RX7",1
0,"HIF1A.1",1
0,"VCAM1",1
0.0193103448275862,"CCL19",1
0,"CCR2.1",1
0.493243107769424,"IL1R2.1",1
0.764549304295221,"TLR2",1
0.641706766917293,"CD177",1
0,"IL1B",1
0,"CCR2.2",1
0,"CRP",1
1.14846502009509,"SOCS3",1
0,"CCL25.1",1
0.456037033142296,"C3AR1",1
1.61383808405395,"MAPK14.2",1
0,"HMGB1",1
0,"CXCL10",1
1.3884335839599,"MMP9",1
0.471508940620783,"BCL2.1",1
0,"TNFSF10",1
0,"PTX3",1
0,"PDCD1",1
0.01,"CALCA.1",1
0,"ICAM1",1
1.32400096025504,"ARG1",1
0,"IL10.1",1
0.0193548387096774,"CX3CR1.1",1
0.255219298245614,"OLFM4.1",1
0.421976935874168,"SOCS3.1",1
0.0193548387096774,"HLA.DRA.1",1
0.566973621329309,"FCGR1A.1",1
0.0573391812865497,"IL8.1",1
0.0192857142857143,"IFNG",1
0,"HMGB1.1",1
0.304245614035088,"BCL2.2",1
0.0192592592592593,"IL1R2.2",1
0,"CCR2.3",1
0.0192592592592593,"VCAM1.1",1
0,"NLRP3",1
0,"VCAM1.2",1
0,"CALCA.2",1
0,"BCL2.3",1
0.285847407952671,"PLAUR.1",1
0,"CCR2.4",1
0.149210526315789,"HIF1A.2",1
1.02728710665553,"MAPK14.3",1
0.0192857142857143,"CD14.1",1
1.55020229202857,"GATA3",1
0.634379901366319,"PLAUR.2",1
0.259485783424077,"FCGR1A",2
0,"CCR2",2
0.0561548387096774,"IL8",2
0,"IL10",2
0.302424812030075,"HIF1A",2
0,"IFNB1",2
0.527017543859649,"ITGAM",2
0,"TREM1",2
0,"IFNA1",2
0.054,"HLA.DRA",2
0,"C5AR1",2
0.0193548387096774,"PLAUR",2
0.304267119411432,"LCN2",2
0,"IFNA2",2
0,"IL6",2
0,"BCL2",2
0,"CALCA",2
2.47989901223647,"TLR4",2
0.0705882352941176,"ELA2",2
0.284912280701754,"CCR7",2
0,"CCL2",2
0,"MAPK14",2
0,"TNF",2
0,"NOTCH1",2
1.33743067345784,"S100A8",2
0.0372413793103448,"LBP",2
2.53684210526316,"MMP8",2
1.98426711941143,"MAPK14.1",2
0,"CCL25",2
1.45478523895947,"MYD88",2
0.0192592592592593,"CD14",2
0,"CX3CR1",2
0.722155309904856,"S100A12",2
0.284912280701754,"S100A9",2
0.0194736842105263,"OLFM4",2
0.503187900786449,"IL1R2",2
0.0192592592592593,"P2RX7",2
0.19281998098695,"HIF1A.1",2
0,"VCAM1",2
0,"CCL19",2
0.0385606060606061,"CCR2.1",2
1.72408160822488,"IL1R2.1",2
0.823681709893944,"TLR2",2
0.834701754385965,"CD177",2
0.249669985775249,"IL1B",2
0,"CCR2.2",2
0.0194285714285714,"CRP",2
1.844132996633,"SOCS3",2
0,"CCL25.1",2
0.246969147005445,"C3AR1",2
0,"MAPK14.2",2
0,"HMGB1",2
0,"CXCL10",2
0.834724742891712,"MMP9",2
1.7494557754258,"BCL2.1",2
0.0194117647058823,"TNFSF10",2
0,"PTX3",2
0,"PDCD1",2
0,"CALCA.1",2
0,"ICAM1",2
0,"ARG1",2
0,"IL10.1",2
0.0193103448275862,"CX3CR1.1",2
0,"OLFM4.1",2
0.213622291021672,"SOCS3.1",2
0,"HLA.DRA.1",2
0.266065365025467,"FCGR1A.1",2
0,"IL8.1",2
0.282825956937799,"IFNG",2
0.0193939393939394,"HMGB1.1",2
1.07322877901825,"BCL2.2",2
0,"IL1R2.2",2
0.0579899985072398,"CCR2.3",2
0.0386206896551724,"VCAM1.1",2
0.019375,"NLRP3",2
0,"VCAM1.2",2
0.0192592592592593,"CALCA.2",2
0,"BCL2.3",2
0.521712504071851,"PLAUR.1",2
0,"CCR2.4",2
0.037948717948718,"HIF1A.2",2
1.1111714770798,"MAPK14.3",2
0,"CD14.1",2
1.07710164299638,"GATA3",2
1.40044829488496,"PLAUR.2",2
0.453255360623782,"FCGR1A",3
0,"CCR2",3
0.0194594594594594,"IL8",3
0.0191666666666667,"IL10",3
0,"HIF1A",3
0,"IFNB1",3
1.02777281399786,"ITGAM",3
0.0192,"TREM1",3
0,"IFNA1",3
0,"HLA.DRA",3
0,"C5AR1",3
0.347198772794054,"PLAUR",3
0.806126591170767,"LCN2",3
0,"IFNA2",3
0,"IL6",3
0,"BCL2",3
0,"CALCA",3
0.561236266416876,"TLR4",3
0,"ELA2",3
0.0193103448275862,"CCR7",3
0,"CCL2",3
0,"MAPK14",3
0,"TNF",3
0,"NOTCH1",3
2.76000389863548,"S100A8",3
0,"LBP",3
1.47309354467249,"MMP8",3
2.00846944948578,"MAPK14.1",3
0.0372413793103448,"CCL25",3
2.51368421052632,"MYD88",3
0,"CD14",3
0.157894736842105,"CX3CR1",3
1.59974736842105,"S100A12",3
1.17449661466449,"S100A9",3
0.0192592592592593,"OLFM4",3
0,"IL1R2",3
0.0537931034482759,"P2RX7",3
0,"HIF1A.1",3
0,"VCAM1",3
0,"CCL19",3
0.0194444444444444,"CCR2.1",3
0.258694736842105,"IL1R2.1",3
0.232337600758653,"TLR2",3
0.789937470365102,"CD177",3
0,"IL1B",3
0,"CCR2.2",3
0,"CRP",3
1.28756701137007,"SOCS3",3
0,"CCL25.1",3
0.320602820047466,"C3AR1",3
0.0378947368421053,"MAPK14.2",3
0,"HMGB1",3
0.019375,"CXCL10",3
1.00988569909623,"MMP9",3
1.69193096060859,"BCL2.1",3
0,"TNFSF10",3
0,"PTX3",3
0,"PDCD1",3
0,"CALCA.1",3
0.0377777777777778,"ICAM1",3
0.0192,"ARG1",3
0.0375,"IL10.1",3
0.210528044248552,"CX3CR1.1",3
0.244221409603413,"OLFM4.1",3
0.488474627428787,"SOCS3.1",3
0.247578947368421,"HLA.DRA.1",3
0.396905135467395,"FCGR1A.1",3
0,"IL8.1",3
0.39451647411211,"IFNG",3
0,"HMGB1.1",3
1.05225205806113,"BCL2.2",3
0,"IL1R2.2",3
0.0373333333333333,"CCR2.3",3
0.00331034482758618,"VCAM1.1",3
0,"NLRP3",3
0,"VCAM1.2",3
0.0193103448275862,"CALCA.2",3
0,"BCL2.3",3
0.730219298245614,"PLAUR.1",3
0,"CCR2.4",3
0,"HIF1A.2",3
1.21458089668616,"MAPK14.3",3
0.0563703703703704,"CD14.1",3
1.7407044998919,"GATA3",3
0.159908045977012,"PLAUR.2",3
0.245231259968102,"FCGR1A",4
0.0194117647058823,"CCR2",4
0,"IL8",4
0.0475151515151515,"IL10",4
0.0192,"HIF1A",4
0,"IFNB1",4
1.08570187321753,"ITGAM",4
0,"TREM1",4
0,"IFNA1",4
1.45937877043369,"HLA.DRA",4
0,"C5AR1",4
0.151084538375973,"PLAUR",4
0.496320668188826,"LCN2",4
0,"IFNA2",4
0,"IL6",4
0,"BCL2",4
0,"CALCA",4
0.521862100103199,"TLR4",4
0.0591503267973856,"ELA2",4
0.456738188630642,"CCR7",4
0,"CCL2",4
0,"MAPK14",4
0.0570588235294117,"TNF",4
0.0193548387096774,"NOTCH1",4
0.493421052631579,"S100A8",4
0,"LBP",4
3.38767543859649,"MMP8",4
1.42777589134126,"MAPK14.1",4
0,"CCL25",4
1.63433877797943,"MYD88",4
0,"CD14",4
0,"CX3CR1",4
1.10082625919638,"S100A12",4
1.11461815981961,"S100A9",4
0,"OLFM4",4
0.0193103448275862,"IL1R2",4
0,"P2RX7",4
0.277894736842105,"HIF1A.1",4
0,"VCAM1",4
0,"CCL19",4
0.019375,"CCR2.1",4
0.225844611528822,"IL1R2.1",4
0,"TLR2",4
1.95687662461214,"CD177",4
0.203469785575049,"IL1B",4
0.0375757575757576,"CCR2.2",4
0,"CRP",4
2.37755595886267,"SOCS3",4
0,"CCL25.1",4
0.305902146671025,"C3AR1",4
0.486890977443609,"MAPK14.2",4
0,"HMGB1",4
0,"CXCL10",4
1.38696095076401,"MMP9",4
0.79639247311828,"BCL2.1",4
0,"TNFSF10",4
0,"PTX3",4
0.0371428571428572,"PDCD1",4
0,"CALCA.1",4
0,"ICAM1",4
0.0191304347826087,"ARG1",4
0.0374193548387097,"IL10.1",4
0.0192857142857143,"CX3CR1.1",4
0.246710526315789,"OLFM4.1",4
0.284210526315789,"SOCS3.1",4
0.245231259968102,"HLA.DRA.1",4
1.61780116884486,"FCGR1A.1",4
0.0375,"IL8.1",4
0.49638460582733,"IFNG",4
0,"HMGB1.1",4
0.265039160401003,"BCL2.2",4
0,"IL1R2.2",4
0.0388730158730159,"CCR2.3",4
0,"VCAM1.1",4
0,"NLRP3",4
0.0375,"VCAM1.2",4
0.0375,"CALCA.2",4
0,"BCL2.3",4
0.222894736842105,"PLAUR.1",4
0,"CCR2.4",4
0.055,"HIF1A.2",4
1.05264681128497,"MAPK14.3",4
0,"CD14.1",4
1.09185529182433,"GATA3",4
0.341547248803828,"PLAUR.2",4
0.222894736842105,"FCGR1A",5
0.0586607142857143,"CCR2",5
0.0565962180200222,"IL8",5
0,"IL10",5
0.284210526315789,"HIF1A",5
0.0375,"IFNB1",5
1.10947368421053,"ITGAM",5
0,"TREM1",5
0.015,"IFNA1",5
0,"HLA.DRA",5
0,"C5AR1",5
0.32262656641604,"PLAUR",5
0.546427759739041,"LCN2",5
0,"IFNA2",5
0,"IL6",5
0,"BCL2",5
0,"CALCA",5
1.98572990832519,"TLR4",5
0,"ELA2",5
0,"CCR7",5
0,"CCL2",5
0,"MAPK14",5
0,"TNF",5
0,"NOTCH1",5
0.825427729189106,"S100A8",5
0,"LBP",5
1.36561403508772,"MMP8",5
3.43067251461988,"MAPK14.1",5
0,"CCL25",5
3.094044365722,"MYD88",5
0,"CD14",5
0,"CX3CR1",5
0.844912280701755,"S100A12",5
0.736201164549304,"S100A9",5
0,"OLFM4",5
1.85485835276655,"IL1R2",5
0,"P2RX7",5
0,"HIF1A.1",5
0,"VCAM1",5
0,"CCL19",5
0.0912066365007541,"CCR2.1",5
1.09883552631579,"IL1R2.1",5
0.280701754385965,"TLR2",5
