"MeanDecreaseGini","Feature","Iteration"
0.561118221871507,"PTX3",1
0,"TNFSF10",1
0,"CCL19",1
0,"ITGAM",1
4.82568382635421,"IL10",1
0,"ELANE",1
0,"PDCD1",1
0,"LBP",1
0,"IFNG",1
0,"ICAM1",1
0.407217161482414,"C5AR1",1
0,"PLAUR",1
0.0586593607305936,"LCN2",1
0,"TREM1",1
1.98256517205422,"SOCS3",1
0,"CCR2",1
0.684671532846715,"S100A9",1
4.09985401459854,"C3AR1",1
1.55124571186774,"MMP8",1
0,"IFNA2",1
1.34410812043796,"CD177",1
0,"CALCA",1
0.0196923076923077,"CCR2.1",1
1.9842495325906,"CCR7",1
0,"VCAM1",1
4.5922405653267,"BCL2",1
0,"MYD88",1
0,"TNF",1
2.81905912824277,"MMP9",1
0,"CX3CR1",1
4.0785401459854,"S100A8",1
0,"CCL25",1
0,"NOTCH1",1
0,"IL6",1
0,"IFNB1",1
4.89307159286887,"S100A12",1
0.0954701754385965,"IL1B",1
0,"CCL2",1
0,"TLR2",1
0,"NLRP3",1
0,"HMGB1",1
0.590666538609297,"OLFM4",1
0,"CALCA.1",1
6.79503649635036,"MAPK14",1
0,"CXCL10",1
0,"P2RX7",1
0,"CRP",1
0,"HIF1A",1
0.66235148792813,"IL1R2",1
0,"TLR4",1
0.0388732394366197,"TLR4.1",1
0,"IL8",1
4.73372262773723,"HLA.DRA",1
0,"TNFSF10.1",1
0,"HIF1A.1",1
4.76233576642336,"CD177.1",1
0,"IL8.1",1
0,"P2RX7.1",1
0,"NLRP3.1",1
0,"CD14",1
0,"CCL25.1",1
0,"CRP.1",1
0,"CALCA.2",1
0,"TREM1.1",1
1.28354807978642,"ARG1",1
0.0196923076923077,"CXCL10.1",1
0.624730362784617,"ARG1.1",1
4.87699798271653,"BCL2.1",1
6.06656934306569,"GATA3",1
0,"NOTCH1.1",1
0,"CCL19.1",1
3.37576642335766,"S100A12.1",1
0,"IL6.1",1
0.0386440677966102,"PTX3",2
0,"TNFSF10",2
1.12952376305532,"CCL19",2
0.568601023336971,"ITGAM",2
4.73197080291971,"IL10",2
0,"ELANE",2
0,"PDCD1",2
0,"LBP",2
0,"IFNG",2
0,"ICAM1",2
0.976781563160907,"C5AR1",2
0,"PLAUR",2
0.521215847449206,"LCN2",2
0,"TREM1",2
1.34171959427434,"SOCS3",2
0,"CCR2",2
