"Sample","S100A9","S100A8","S100A12","HMGB1","S100A12.1","Label"
"GSM3816544",17.1207911304478,18.1495809068178,17.9216564109178,12.6873852875978,17.5049628044254,"septic shock"
"GSM3816545",17.5049628044254,18.3067041262992,17.7272966446493,12.5334026833117,17.3273581615761,"septic shock"
"GSM3816547",17.0197417002335,18.6076419152064,18.0138139426404,13.2414332306485,17.8039808893842,"septic shock"
"GSM3816548",17.380594815043,18.6076419152064,17.6101450267585,12.7840391281148,16.6309976739916,"septic shock"
"GSM3816550",17.4208131466152,18.0500108735279,17.6338537008176,12.2532912606396,17.1347059366668,"septic shock"
"GSM3816551",17.2917310562135,18.6895942273387,17.9828659071375,12.4076139329771,17.5462049186778,"septic shock"
"GSM3816554",17.4623712985729,18.1495809068178,17.9828659071375,10.9383772654911,17.7272966446493,"septic shock"
"GSM3816555",17.5049628044254,18.6895942273387,17.9525135083922,13.3013083398312,17.3641230955474,"septic shock"
"GSM3816556",16.9573478242884,18.4408690765849,17.9525135083922,12.1959090098427,17.4208131466152,"septic shock"
"GSM3816557",16.8778362846964,18.6895942273387,18.0138139426404,11.568311812464,17.8039808893842,"septic shock"
"GSM3816560",17.380594815043,18.8577147819099,18.0965004222735,12.2310440996435,17.9828659071375,"septic shock"
"GSM3816561",16.7968851244499,18.0965004222735,16.2891704708442,12.2223898874333,15.3906632718117,"septic shock"
"GSM3816562",17.3098070408904,18.6076419152064,18.0138139426404,12.2935475101594,17.9525135083922,"septic shock"
"GSM3816563",17.2420655684169,18.4408690765849,17.9828659071375,12.2392215666786,17.6101450267585,"septic shock"
"GSM3816565",17.1777237468869,18.8577147819099,18.0138139426404,12.3078295367697,17.9216564109178,"septic shock"
"GSM3816566",17.226225525977,18.525294851778,17.8923552422026,12.1156215058666,17.4836584821631,"septic shock"
"GSM3816567",17.1923699451205,18.6895942273387,17.9525135083922,12.7567562789439,17.566535235278,"septic shock"
"GSM3816568",17.0573584229909,18.1495809068178,16.7499735995533,11.6075284138051,16.1661925008733,"septic shock"
"GSM3816569",17.0822909444459,17.9828659071375,17.7768068593388,11.7232060685305,17.566535235278,"septic shock"
"GSM3816570",16.7200216389538,16.7110740888771,15.765108733889,10.8613044718836,14.6036885959997,"septic shock"
"GSM3816571",17.4004934985458,18.1495809068178,17.2578426153684,11.8742165676288,16.7785117062054,"septic shock"
"GSM3816572",16.7200216389538,17.5049628044254,15.9959315880801,12.771151733236,15.2512653393658,"septic shock"
"GSM3816573",16.9809772137902,18.1996040122705,16.6829925702236,11.4695173660149,15.7873984268348,"septic shock"
"GSM3816574",16.500894233449,18.1996040122705,16.8778362846964,12.1341489698488,16.321060632769,"septic shock"
"GSM3816575",17.2917310562135,18.4408690765849,17.5049628044254,12.7935834565373,16.3537313523733,"septic shock"
