"Feature","Mean_Importance","SD_Importance"
"FCGR1A",2.61075882735998,1.05602393621598
"S100A8",2.58950954409744,0.804006292075894
"CD177",2.56546267713701,0.870337452642791
"ARG1",2.47255030528351,0.87221341289939
"MAPK14",2.3731262614107,0.728249155495259
"C3AR1",2.22338494661035,0.96490787613297
"S100A12",1.92042613244781,0.841602425636255
"GATA3",1.78589529158807,0.748724600151055
"S100A9",1.71927026055516,0.781257241388542
"SOCS3",1.71733934512546,0.821936090226397
"IL10",1.69744139807132,0.844296199151646
"TLR2",1.04447302725525,0.747986137096017
"MYD88",0.941915441641765,0.675557973522733
"MMP8",0.935009611774159,0.574305690280842
"ITGAM",0.816053614808164,0.541774847671315
"TNFSF10",0.719792544903682,0.490561722154726
"IL1R2",0.698755694764563,0.497403193978647
"BCL2",0.642675054480203,0.584804142532574
"LCN2",0.228567823621173,0.245993511119205
"MMP9",0.192709769236261,0.187900491037025
"CCR7",0.185047184447602,0.200319360013874
"CD14",0.161822753278404,0.186522640764494
"OLFM4",0.134637140799517,0.170366287674938
"TLR4",0.129940273842669,0.163023620312715
"ICAM1",0.0943789551194981,0.120028616214657
"HIF1A",0.0846303499989403,0.123313287577252
"PLAUR",0.0806531330859471,0.111467857820745
"PTX3",0.0719792571241437,0.104807619828717
"CX3CR1",0.0575716002721061,0.0785577199190102
"NOTCH1",0.0549137833627701,0.0541981669241922
"C5AR1",0.0531429724392125,0.0800210995601133
"HLA.DRA",0.0480737852004815,0.0548062865381797
"IL1B",0.0430763824618729,0.0597529277798362
"CCL2",0.0429784100481941,0.0633620299330887
"CCR2",0.0389058273352968,0.0459261605251175
"CXCL8",0.0364621531120852,0.0560947570395941
"PDCD1",0.0348575795209461,0.0353382540271774
"TREM1",0.0322500148003669,0.0382846552233414
"NLRP3",0.0280721229609613,0.0282121453392178
"CXCL10",0.0259744829693838,0.0340412807624641
"HMGB1",0.0237655166469616,0.0322242009315497
"IFNG",0.0232109130017455,0.0288298505900177
"ELANE",0.0221926845712789,0.041941293862089
"CCL25",0.020203360548574,0.027325116195001
"VCAM1",0.0196299381305486,0.0286484396450518
"P2RX7",0.0193834988976039,0.0311889395760878
"IL6",0.0169726911904719,0.0242424146652409
"TNF",0.0149793925983768,0.0241900257089554
"LBP",0.0058270810303061,0.0117968993239746
"IFNB1",0.00296812019358192,0.00887528870317036
"CCL19",0.00258002717144958,0.0081387523786392
"CALCA",0.00111041666666667,0.00484491143333384
