"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"TNFSF10",0.940641389355305,0.982772992243581,0.99712962962963,0.972222222222222,0.983333333333333,0.994649122807018,0.9325
"TREM1",0.945804551129032,0.98418994395465,0.997083333333333,0.973333333333333,0.988333333333333,0.996257309941521,0.935
"CD177",0.944741119391526,0.983895795910502,0.997453703703704,0.974444444444444,0.983333333333333,0.994649122807018,0.938380952380952
"PTX3",0.942804793757549,0.983727481492187,0.99712962962963,0.976111111111111,0.976666666666667,0.992514619883041,0.941666666666667
"TNFSF10.1",0.940634466139389,0.982772563243151,0.997175925925926,0.972777777777778,0.981666666666667,0.994090127278982,0.934166666666667
"CCL19",0.946556487470221,0.984113403570834,0.997175925925926,0.973333333333333,0.988333333333333,0.99633918128655,0.936595238095238
"ITGAM",0.935463071361011,0.980500930265636,0.996944444444444,0.969444444444444,0.98,0.993625730994152,0.92952380952381
"IL10",0.940493429383403,0.98243571423138,0.9975,0.970555555555556,0.986666666666667,0.995842105263158,0.929642857142857
"ELANE",0.943123015639874,0.983291687600511,0.997407407407407,0.972777777777778,0.985,0.995204678362573,0.934690476190476
"PDCD1",0.94051309549543,0.982806341865165,0.997314814814815,0.972777777777778,0.981666666666667,0.994152046783626,0.933928571428571
"LBP",0.940350149348007,0.982808133572839,0.997314814814815,0.972222222222222,0.983333333333333,0.994649122807018,0.931904761904762
"IFNG",0.941426303541974,0.983085128542559,0.997222222222222,0.973333333333333,0.981666666666667,0.994175438596491,0.935166666666667
"ICAM1",0.939763494969633,0.982887453977237,0.997083333333333,0.973888888888889,0.978333333333333,0.993093567251462,0.935714285714286
"C5AR1",0.939296633313402,0.982086580826619,0.997037037037037,0.971666666666667,0.981666666666667,0.994093567251462,0.932597402597403
"PLAUR",0.942534560196418,0.983359864830453,0.997175925925926,0.973888888888889,0.981666666666667,0.994122807017544,0.936785714285714
"LCN2",0.939619923277332,0.982082403234206,0.997407407407407,0.972222222222222,0.98,0.993654970760234,0.934978354978355
"TREM1.1",0.940807449651347,0.982321280767201,0.997453703703704,0.971666666666667,0.983333333333333,0.994649122807018,0.933430735930736
"SOCS3",0.937257941464508,0.981975477578419,0.99662037037037,0.972777777777778,0.976666666666667,0.992573099415205,0.934095238095238
"CCR2",0.935268822599193,0.981386143400849,0.997314814814815,0.971666666666667,0.976666666666667,0.992543859649123,0.931238095238095
"S100A9",0.939786026584038,0.982465861774685,0.9975,0.972222222222222,0.981666666666667,0.994122807017544,0.933023809523809
"C3AR1",0.940796008780206,0.982767519680832,0.996898148148148,0.972777777777778,0.981666666666667,0.994175438596491,0.93452380952381
"MMP8",0.941333975053186,0.982688973134893,0.99787037037037,0.973333333333333,0.98,0.993654970760234,0.93724025974026
"IFNA2",0.94458963897483,0.983482307339992,0.997546296296296,0.973333333333333,0.985,0.995175438596491,0.937002164502164
"CD177.1",0.945479652106666,0.984233979586921,0.997638888888889,0.976111111111111,0.98,0.99359649122807,0.942619047619048
"CALCA",0.939935031654425,0.983243142301966,0.997361111111111,0.975555555555556,0.975,0.991926384588923,0.938690476190476
"CCR2.1",0.937721918907889,0.981880383032186,0.997222222222222,0.972777777777778,0.976666666666667,0.992543859649123,0.934978354978355
"CCR7",0.939802199501874,0.982447956168544,0.997546296296296,0.972222222222222,0.981666666666667,0.994093567251462,0.933023809523809
"VCAM1",0.939006943333931,0.982133846579767,0.997222222222222,0.972777777777778,0.978333333333333,0.993070175438597,0.935335497835498
"BCL2",0.944435042482536,0.983931722402311,0.997268518518518,0.975,0.981666666666667,0.994093567251462,0.939404761904762
"MYD88",0.945501825312951,0.984249138044804,0.997222222222222,0.975555555555556,0.981666666666667,0.994204678362573,0.941071428571429
"TNF",0.938347041897646,0.98184205615088,0.997546296296296,0.971111111111111,0.981666666666667,0.994152046783626,0.931357142857143
"MMP9",0.944906033564902,0.984301371654313,0.997731481481481,0.976666666666667,0.978333333333333,0.993070175438597,0.943095238095238
"CX3CR1",0.938013838157794,0.981860654581243,0.997083333333333,0.970555555555556,0.983333333333333,0.994649122807018,0.928976190476191
"S100A8",0.94548839348325,0.98384406700738,0.99712962962963,0.972777777777778,0.988333333333333,0.996368421052632,0.935047619047619
"CCL25",0.936283613464104,0.981271990286696,0.997314814814815,0.969444444444444,0.983333333333333,0.994678362573099,0.926714285714286
"NOTCH1",0.941292009393652,0.98308541410012,0.997083333333333,0.974444444444444,0.978333333333333,0.993040935672515,0.938142857142857
"IL6",0.94301337454149,0.98326398512167,0.997175925925926,0.973333333333333,0.983333333333333,0.994649122807018,0.936049783549784
"IFNB1",0.941275838402795,0.982690335842138,0.997546296296296,0.972777777777778,0.981666666666667,0.994181286549708,0.935454545454545
"S100A12",0.940134235606206,0.981950990715697,0.9975,0.971111111111111,0.983333333333333,0.994649122807018,0.932619047619048
"IL1B",0.937856211129231,0.982293081338747,0.99787037037037,0.973333333333333,0.976666666666667,0.992567251461988,0.934690476190476
"CCL2",0.943633154112195,0.983648040706864,0.996944444444444,0.973888888888889,0.983333333333333,0.994678362573099,0.936785714285714
"TLR2",0.934905625737083,0.980550416726887,0.997037037037037,0.97,0.978333333333333,0.993070175438597,0.93
