"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"TLR4",0.966586866548516,0.96969696969697,1,0.954545454545455,1,1,0.981818181818182
"CX3CR1",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"HMGB1",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"HMGB1.1",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"HIF1A",0.988862288849505,0.98989898989899,1,0.984848484848485,1,1,0.993939393939394
"CD14",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"MAPK14",0.985149718466007,0.986531986531986,1,0.97979797979798,1,1,0.991919191919192
"ICAM1",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"ICAM1.1",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"TNFSF10",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"TNFSF10.1",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"CXCL8",0.966586866548516,0.96969696969697,1,0.954545454545455,1,1,0.981818181818182
"S100A8",0.948024014631025,0.952861952861953,1,0.929292929292929,1,1,0.971717171717172
"S100A9",0.951736585014523,0.956228956228956,1,0.934343434343434,1,1,0.973737373737374
"BCL2",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"BCL2.1",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"VCAM1",0.962874296165018,0.966329966329966,1,0.94949494949495,1,1,0.97979797979798
"MMP9",0.966586866548516,0.96969696969697,1,0.954545454545455,1,1,0.981818181818182
"CXCL10",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"TLR2",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"IL1B",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"IL6",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"IL1R2",0.966586866548516,0.96969696969697,1,0.954545454545455,1,1,0.981818181818182
"CRP",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"ITGAM",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"S100A12",0.966586866548516,0.96969696969697,1,0.954545454545455,1,1,0.981818181818182
"CX3CR1.1",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"PTX3",0.962874296165018,0.966329966329966,1,0.94949494949495,1,1,0.97979797979798
"ARG1",0.988862288849505,0.98989898989899,1,0.984848484848485,1,1,0.993939393939394
"CCR7",0.944311444247527,0.94949494949495,1,0.924242424242424,1,1,0.96969696969697
"SOCS3",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"SOCS3.1",0.985149718466007,0.986531986531986,1,0.97979797979798,1,1,0.991919191919192
"ELANE",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"CCR2",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"CCL25",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"BCL2.2",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"BCL2.3",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"NLRP3",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"P2RX7",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"TNF",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"MMP8",0.955449155398021,0.95959595959596,1,0.939393939393939,1,1,0.975757575757576
"IL10",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"PDCD1",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"CCR2.1",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"IFNB1",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"IFNA1",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"HLA.DRA",0.95916172578152,0.962962962962963,1,0.944444444444444,1,1,0.977777777777778
"MYD88",0.955449155398021,0.95959595959596,1,0.939393939393939,1,1,0.975757575757576
"GATA3",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"GATA3.1",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"GATA3.2",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"C3AR1",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"CCL19",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"IFNG",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"MAPK14.1",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"CALCA",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"CALCA.1",0.966586866548516,0.96969696969697,1,0.954545454545455,1,1,0.981818181818182
"PLAUR",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"HLA.DRA.1",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"MAPK14.2",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"IFNA2",0.95916172578152,0.962962962962963,1,0.944444444444444,1,1,0.977777777777778
"IL1R2.1",0.985149718466007,0.986531986531986,1,0.97979797979798,1,1,0.991919191919192
"CXCL8.1",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"MAPK14.3",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"LBP",0.962874296165018,0.966329966329966,1,0.94949494949495,1,1,0.97979797979798
"PLAUR.1",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"LCN2",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"OLFM4",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"SOCS3.2",0.988862288849505,0.98989898989899,1,0.984848484848485,1,1,0.993939393939394
"TNFSF10.2",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"S100A8.1",0.962874296165018,0.966329966329966,1,0.94949494949495,1,1,0.97979797979798
"LBP.1",0.95916172578152,0.962962962962963,1,0.944444444444444,1,1,0.977777777777778
"PLAUR.2",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"HMGB1.2",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"ICAM1.2",0.985149718466007,0.986531986531986,1,0.97979797979798,1,1,0.991919191919192
"NLRP3.1",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"NLRP3.2",0.966586866548516,0.96969696969697,1,0.954545454545455,1,1,0.981818181818182
"CCL2",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"FCGR1A",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"CALCA.2",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"CALCA.3",0.966586866548516,0.96969696969697,1,0.954545454545455,1,1,0.981818181818182
"NOTCH1",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"TREM1",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"CD177",0.955449155398021,0.95959595959596,1,0.939393939393939,1,1,0.975757575757576
"C5AR1",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"TLR4.1",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
"NOTCH1.1",0.966586866548516,0.96969696969697,1,0.954545454545455,1,1,0.981818181818182
"TLR4.2",0.95916172578152,0.962962962962963,1,0.944444444444444,1,1,0.977777777777778
"HMGB1.3",0.974012007315512,0.976430976430976,1,0.964646464646465,1,1,0.985858585858586
"HMGB1.4",0.95916172578152,0.962962962962963,1,0.944444444444444,1,1,0.977777777777778
"SOCS3.3",0.962874296165018,0.966329966329966,1,0.94949494949495,1,1,0.97979797979798
"P2RX7.1",0.966586866548516,0.96969696969697,1,0.954545454545455,1,1,0.981818181818182
"ARG1.1",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"ARG1.2",0.962874296165018,0.966329966329966,1,0.94949494949495,1,1,0.97979797979798
"ARG1.3",0.981437148082509,0.983164983164983,1,0.974747474747475,1,1,0.98989898989899
"MMP8.1",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"TLR4.3",0.970299436932014,0.973063973063973,1,0.95959595959596,1,1,0.983838383838384
"CRP.1",0.951736585014523,0.956228956228956,1,0.934343434343434,1,1,0.973737373737374
"IL1B.1",0.977724577699011,0.97979797979798,1,0.96969696969697,1,1,0.987878787878788
