"Gene","MeanImportance","SDImportance"
"S100A9",1.14239423739717,NA
"ITGAM",1.10647148775894,NA
"MAPK14",1.07128715726746,0.131958559117912
"S100A12",0.937295802484667,NA
"CD177",0.920486733398261,NA
"MMP8",0.883226200460992,0.144392481420773
"GATA3",0.711676999157991,0.376808006021831
"IL1R2",0.634020301277078,0.0565001787184994
"LCN2",0.589528220026115,NA
"CCR7",0.518676595507803,NA
"S100A8",0.360737551056211,0.504860676465758
"IL10",0.354206519071956,NA
"OLFM4",0.338100000039677,NA
"ARG1",0.326572537626136,0.580378083990681
"MMP9",0.303905152162127,NA
"C3AR1",0.295335811565488,NA
"FCGR1A",0.266635500096624,NA
"SOCS3",0.25850686523672,0.31180863360439
"BCL2",0.166723810095286,0.313873697313252
"HLA-DRA",0.0996514277299538,0.0081323907927946
"PTX3",0.0897654132191891,NA
"ELANE",0.0777516595776852,NA
"CX3CR1",0.0550973302856541,0.0290577332196414
"TLR2",0.0325545059525147,NA
"TNFSF10",0.0230551316452549,0.00736495883083916
"HIF1A",0.0177776166122814,NA
"CXCL8",0.0172540522549194,0.0129595361677712
"CCL19",0.01355394608719,NA
"TLR4",0.0128641925652917,0.0112877791529163
"MYD88",0.0128139201909018,NA
"ICAM1",0.011892965945054,0.0124971001127159
"TREM1",0.0111997918981579,NA
"IFNG",0.0089747215627836,NA
"IFNA1",0.00839178151833351,NA
"CALCA",0.00650354275739112,0.00857165863703615
"HMGB1",0.00523513831143532,0.00139663823662829
"CRP",0.00516775990259837,0.00170698777361296
"CXCL10",0.00475239256679667,NA
"TNF",0.00463715021449556,NA
"CCR2",0.00410271727111898,0.000212218477911604
"CCL2",0.00396693776058451,NA
"LBP",0.00378266623800989,0.00323057020831398
"IFNB1",0.0035561030159585,NA
"PLAUR",0.00355442867234318,0.0017130464497938
"NLRP3",0.00351864096591262,0.000814313472754781
"C5AR1",0.00327112130623,NA
"PDCD1",0.00310042543106448,NA
"IL1B",0.00309895375579587,0.00189124675437934
"CCL25",0.00309372497892744,NA
"VCAM1",0.00281164953080375,NA
"NOTCH1",0.00271041993444499,0.0013263497852675
"IL6",0.00212983232599501,NA
"P2RX7",0.00181995429449778,0.00072082511411998
"CD14",0.00142578320802005,NA
"IFNA2",0.000659297979797992,NA
