"MeanDecreaseGini","Feature","Iteration"
0,"TLR4",1
0,"CX3CR1",1
0,"HMGB1",1
0,"HMGB1.1",1
0,"HIF1A",1
0,"CD14",1
0.426976744186047,"MAPK14",1
0,"ICAM1",1
0,"ICAM1.1",1
0,"TNFSF10",1
0,"TNFSF10.1",1
0,"CXCL8",1
0.426976744186047,"S100A8",1
1.89860465116279,"S100A9",1
0,"BCL2",1
0.807717484926787,"BCL2.1",1
0,"VCAM1",1
0.213953488372093,"MMP9",1
0.0190909090909098,"CXCL10",1
0,"TLR2",1
0,"IL1B",1
0,"IL6",1
0.469395348837209,"IL1R2",1
0,"CRP",1
0.865797342192691,"ITGAM",1
1.44508631168487,"S100A12",1
0,"CX3CR1.1",1
0,"PTX3",1
0.817674418604651,"ARG1",1
0.892754869389616,"CCR7",1
0.194905869324474,"SOCS3",1
0.0190909090909091,"SOCS3.1",1
0.019,"ELANE",1
0,"CCR2",1
0,"CCL25",1
0,"BCL2.2",1
0,"BCL2.3",1
0,"NLRP3",1
0,"P2RX7",1
0,"TNF",1
0.856032831737346,"MMP8",1
0.114109634551495,"IL10",1
0,"PDCD1",1
0,"CCR2.1",1
0,"IFNB1",1
0,"IFNA1",1
0.0535714285714286,"HLA.DRA",1
0,"MYD88",1
0.193093023255814,"GATA3",1
1.01473089700997,"GATA3.1",1
1.26511627906977,"GATA3.2",1
0,"C3AR1",1
0,"CCL19",1
0.019047619047619,"IFNG",1
1.25488372093023,"MAPK14.1",1
0,"CALCA",1
0,"CALCA.1",1
0,"PLAUR",1
0,"HLA.DRA.1",1
0.468117610210633,"MAPK14.2",1
0.0190909090909091,"IFNA2",1
0.924377485675767,"IL1R2.1",1
0,"CXCL8.1",1
1.69023255813953,"MAPK14.3",1
0,"LBP",1
0,"PLAUR.1",1
1.04646833786369,"LCN2",1
0.0518181818181818,"OLFM4",1
0,"SOCS3.2",1
0,"TNFSF10.2",1
0,"S100A8.1",1
0,"LBP.1",1
0,"PLAUR.2",1
0,"HMGB1.2",1
0,"ICAM1.2",1
0,"NLRP3.1",1
0,"NLRP3.2",1
0,"CCL2",1
0.195792811839323,"FCGR1A",1
0,"CALCA.2",1
0,"CALCA.3",1
0,"NOTCH1",1
0,"TREM1",1
1.26021695358905,"CD177",1
0,"C5AR1",1
0,"TLR4.1",1
0,"NOTCH1.1",1
0,"TLR4.2",1
0,"HMGB1.3",1
0,"HMGB1.4",1
1.12142103157246,"SOCS3.3",1
0,"P2RX7.1",1
0,"ARG1.1",1
0,"ARG1.2",1
0,"ARG1.3",1
0.79311552888222,"MMP8.1",1
0,"TLR4.3",1
0.0189473684210526,"CRP.1",1
0,"IL1B.1",1
0,"TLR4",2
0.264061422054078,"CX3CR1",2
0,"HMGB1",2
0,"HMGB1.1",2
0,"HIF1A",2
0,"CD14",2
0.65203765227021,"MAPK14",2
0,"ICAM1",2
0.00904761904761905,"ICAM1.1",2
0.019047619047619,"TNFSF10",2
0.0188888888888889,"TNFSF10.1",2
0.083037037037037,"CXCL8",2
0.192893023255814,"S100A8",2
1.25023255813953,"S100A9",2
0,"BCL2",2
0.425894130675526,"BCL2.1",2
0,"VCAM1",2
0.019047619047619,"MMP9",2
0,"CXCL10",2
0.0189473684210526,"TLR2",2
0,"IL1B",2
0,"IL6",2
1.4893023255814,"IL1R2",2
0,"CRP",2
1.81953488372093,"ITGAM",2
0.429432558139535,"S100A12",2
0.387427270344156,"CX3CR1.1",2
0.019375,"PTX3",2
0.895177478580171,"ARG1",2
0.831184939091916,"CCR7",2
0.173302325581395,"SOCS3",2
0,"SOCS3.1",2
0,"ELANE",2
0,"CCR2",2
0,"CCL25",2
0,"BCL2.2",2
0,"BCL2.3",2
0,"NLRP3",2
0,"P2RX7",2
0,"TNF",2
0.42203102232325,"MMP8",2
0.374019500151691,"IL10",2
0,"PDCD1",2
0,"CCR2.1",2
0,"IFNB1",2
0,"IFNA1",2
0,"HLA.DRA",2
0,"MYD88",2
0.591285189718482,"GATA3",2
0.563880813953488,"GATA3.1",2
0.447784577723378,"GATA3.2",2
0.194169946332737,"C3AR1",2
0,"CCL19",2
0,"IFNG",2
0.88384496124031,"MAPK14.1",2
0,"CALCA",2
0,"CALCA.1",2
0,"PLAUR",2
0,"HLA.DRA.1",2
1.22232558139535,"MAPK14.2",2
0,"IFNA2",2
0.838626799557032,"IL1R2.1",2
0,"CXCL8.1",2
1.30495589414595,"MAPK14.3",2
0,"LBP",2
0,"PLAUR.1",2
0.987171351533535,"LCN2",2
0.340122207022344,"OLFM4",2
0,"SOCS3.2",2
0.0379901960784323,"TNFSF10.2",2
0.01875,"S100A8.1",2
0,"LBP.1",2
0,"PLAUR.2",2
0,"HMGB1.2",2
