"MeanDecreaseGini","Feature","Iteration"
0.226197305519339,"OLFM4",1
0,"NLRP3",1
0.0386881720430107,"CCR7",1
0,"CRP",1
1.6233092408598,"MAPK14",1
0.0193103448275862,"CX3CR1",1
0,"ELANE",1
0.777053007643735,"GATA3",1
0,"HIF1A",1
0.236383660079669,"HLA.DRA",1
0.01,"HMGB1",1
0,"ICAM1",1
0,"IFNA2",1
0.0133333333333333,"IFNB1",1
0.0133333333333333,"IFNG",1
0.383223643155554,"IL1B",1
0,"IL6",1
0.01,"CXCL8",1
0.275560415527611,"IL10",1
0.0557575757575757,"CXCL10",1
0.313385436283741,"ITGAM",1
1.70037206024465,"ARG1",1
0,"LBP",1
0.0371428571428572,"LCN2",1
0.540265650990364,"MMP8",1
1.01478473984352,"MMP9",1
0.461512293586072,"MYD88",1
0,"NOTCH1",1
0,"P2RX7",1
0,"PDCD1",1
0.0566436781609195,"PLAUR",1
0,"TREM1",1
2.8515258133645,"CD177",1
0.498405034276822,"PTX3",1
0.648262035679869,"BCL2",1
2.20768126078405,"S100A8",1
2.82421726281547,"S100A9",1
4.3406416464891,"S100A12",1
0,"CCL2",1
0,"CCL19",1
0.0194117647058823,"CCL25",1
0.656958081843246,"TLR2",1
1.72664256644231,"TLR4",1
0,"TNF",1
0.325778617786487,"C3AR1",1
0,"C5AR1",1
0.0192592592592593,"CCR2",1
0.1146219485092,"VCAM1",1
2.46084182182517,"IL1R2",1
0.0193939393939394,"CALCA",1
0,"TNFSF10",1
2.34179711374627,"SOCS3",1
0,"CD14",1
0.0739366515837104,"OLFM4",2
0,"NLRP3",2
0.771814395523108,"CCR7",2
0,"CRP",2
1.67442326376451,"MAPK14",2
0.0733223684210526,"CX3CR1",2
0.12150360988972,"ELANE",2
0.79797203780364,"GATA3",2
0.303890117088348,"HIF1A",2
0.580332005711565,"HLA.DRA",2
0,"HMGB1",2
0.153298852120886,"ICAM1",2
0.0181451612903226,"IFNA2",2
0.0194285714285714,"IFNB1",2
0.015,"IFNG",2
0,"IL1B",2
0.109203463203463,"IL6",2
0,"CXCL8",2
0.391800721972015,"IL10",2
0.110052219921785,"CXCL10",2
0,"ITGAM",2
1.97590984263047,"ARG1",2
0,"LBP",2
0,"LCN2",2
0.848975604617084,"MMP8",2
3.00196397904538,"MMP9",2
0.179637548891786,"MYD88",2
0,"NOTCH1",2
0.01,"P2RX7",2
0,"PDCD1",2
0.0191304347826087,"PLAUR",2
0,"TREM1",2
2.82024559597886,"CD177",2
0.0193333333333333,"PTX3",2
0.567470369870698,"BCL2",2
1.28650677650823,"S100A8",2
1.47279675306357,"S100A9",2
2.09003431211551,"S100A12",2
0,"CCL2",2
0,"CCL19",2
0,"CCL25",2
1.22859735247963,"TLR2",2
1.2127792943468,"TLR4",2
0,"TNF",2
0.811056359707295,"C3AR1",2
0.0751333333333334,"C5AR1",2
0.0728888888888889,"CCR2",2
0.0372413793103448,"VCAM1",2
3.34639943563674,"IL1R2",2
0,"CALCA",2
0.157591944596319,"TNFSF10",2
2.49862469910652,"SOCS3",2
0,"CD14",2
0,"OLFM4",3
0,"NLRP3",3
0.187011180909486,"CCR7",3
0,"CRP",3
0.305531613684293,"MAPK14",3
0,"CX3CR1",3
0,"ELANE",3
1.69697991977762,"GATA3",3
0.0744454799627213,"HIF1A",3
1.36385752756939,"HLA.DRA",3
0,"HMGB1",3
0,"ICAM1",3
0.0936411718952553,"IFNA2",3
0,"IFNB1",3
0.0194285714285714,"IFNG",3
0.22034054159361,"IL1B",3
0,"IL6",3
0,"CXCL8",3
0,"IL10",3
0,"CXCL10",3
0.2649327390124,"ITGAM",3
1.82064549056565,"ARG1",3
0.0753496044185699,"LBP",3
0,"LCN2",3
1.2146511884621,"MMP8",3
2.04910118130457,"MMP9",3
0.019,"MYD88",3
0,"NOTCH1",3
0.0386881720430107,"P2RX7",3
0,"PDCD1",3
0,"PLAUR",3
0,"TREM1",3
3.04239105130844,"CD177",3
0.0369230769230769,"PTX3",3
0.857322813169686,"BCL2",3
1.1606779661017,"S100A8",3
1.43580957042665,"S100A9",3
4.90440396871782,"S100A12",3
0,"CCL2",3
0,"CCL19",3
0.0194444444444444,"CCL25",3
0.793983508932661,"TLR2",3
1.36069505649717,"TLR4",3
0,"TNF",3
1.00801843128623,"C3AR1",3
0,"C5AR1",3
0,"CCR2",3
0.01,"VCAM1",3
4.03030303030303,"IL1R2",3
0.0382575757575758,"CALCA",3
0,"TNFSF10",3
0.531385462487311,"SOCS3",3
0,"CD14",3
0,"OLFM4",4
0.259500234474442,"NLRP3",4
0.272378037844139,"CCR7",4
0,"CRP",4
0.0545454545454545,"MAPK14",4
0,"CX3CR1",4
0.0377142857142857,"ELANE",4
1.08111366992176,"GATA3",4
0,"HIF1A",4
0.212232866617539,"HLA.DRA",4
0,"HMGB1",4
0.0709109445277361,"ICAM1",4
0,"IFNA2",4
0,"IFNB1",4
0,"IFNG",4
0.29279776136585,"IL1B",4
0,"IL6",4
0,"CXCL8",4
0.0191666666666667,"IL10",4
0.0190909090909091,"CXCL10",4
0.60711846063541,"ITGAM",4
1.0641432745713,"ARG1",4
0.0378378378378378,"LBP",4
0.0904102564102564,"LCN2",4
0.343228524038358,"MMP8",4
2.80182711864407,"MMP9",4
0.697310538008307,"MYD88",4
0.2727767522607,"NOTCH1",4
0.0821428571428572,"P2RX7",4
0,"PDCD1",4
0.0373333333333333,"PLAUR",4
0,"TREM1",4
2.01301672484614,"CD177",4
0.0533547008547008,"PTX3",4
1.04428615795912,"BCL2",4
1.32348371552011,"S100A8",4
0.873001385989814,"S100A9",4
3.21892106289826,"S100A12",4
0,"CCL2",4
0,"CCL19",4
0,"CCL25",4
2.10716275175568,"TLR2",4
3.05918475101635,"TLR4",4
0.019375,"TNF",4
1.09910310423168,"C3AR1",4
0,"C5AR1",4
0.0567777777777778,"CCR2",4
0.0192307692307692,"VCAM1",4
3.24195641283474,"IL1R2",4
0,"CALCA",4
0,"TNFSF10",4
2.25112522346753,"SOCS3",4
0,"CD14",4
0,"OLFM4",5
0,"NLRP3",5
0.261051369443792,"CCR7",5
0.0190909090909091,"CRP",5
1.8657183235123,"MAPK14",5
0.019375,"CX3CR1",5
0.15861178369653,"ELANE",5
1.13555133068094,"GATA3",5
0.0193103448275862,"HIF1A",5
0.344399482109228,"HLA.DRA",5
0,"HMGB1",5
0.0697865353037767,"ICAM1",5
0,"IFNA2",5
0.01825311942959,"IFNB1",5
0.0343939393939394,"IFNG",5
0.024,"IL1B",5
0.0570757575757576,"IL6",5
0.0192307692307692,"CXCL8",5
0.237662575491915,"IL10",5
0.0192857142857143,"CXCL10",5
0,"ITGAM",5
2.11082205685303,"ARG1",5
0.0571255060728745,"LBP",5
0,"LCN2",5
0.759248746361546,"MMP8",5
1.95320166460098,"MMP9",5
0.0775426223539813,"MYD88",5
0,"NOTCH1",5
0.01,"P2RX7",5
0.0182007575757576,"PDCD1",5
0.128538173193346,"PLAUR",5
0,"TREM1",5
2.27991436979285,"CD177",5
0.180048514703687,"PTX3",5
1.13950061050008,"BCL2",5
1.42334237120977,"S100A8",5
0.83703691022501,"S100A9",5
4.80701683777818,"S100A12",5
0,"CCL2",5
0,"CCL19",5
0,"CCL25",5
0.31465420455251,"TLR2",5
1.21506807562202,"TLR4",5
0.0588047138047138,"TNF",5
0.757757448433919,"C3AR1",5
0,"C5AR1",5
0.0374193548387097,"CCR2",5
0,"VCAM1",5
3.57908536184252,"IL1R2",5
0.0357894736842105,"CALCA",5
0,"TNFSF10",5
2.80183103463942,"SOCS3",5
0,"CD14",5
0,"OLFM4",6
0.185112288135593,"NLRP3",6
0.491533481695243,"CCR7",6
0,"CRP",6
