"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.983261430911528,0.986571428571429,1,0.98,0.998333333333333,0.9975,0.991428571428571
"NLRP3",0.980820720371713,0.984571428571429,1,0.976666666666667,0.998333333333333,0.9975,0.99
"CCR7",0.990237157840738,0.992,1,0.986666666666667,1,1,0.994285714285714
"CRP",0.995464983610606,0.996571428571429,1,0.996666666666667,0.998333333333333,0.9975,0.998571428571429
"MAPK14",0.988835661371632,0.991714285714286,1,0.993333333333333,0.995,0.9925,0.997142857142857
"CX3CR1",0.978380009831897,0.982571428571429,1,0.973333333333333,0.998333333333333,0.9975,0.988571428571429
"ELANE",0.97907281921237,0.983714285714286,1,0.98,0.995,0.9925,0.991428571428571
"GATA3",0.983607835601765,0.987142857142857,1,0.983333333333333,0.996666666666667,0.995,0.992857142857143
"HIF1A",0.983261430911528,0.986571428571429,1,0.98,0.998333333333333,0.9975,0.991428571428571
"HLA.DRA",0.983607835601765,0.987142857142857,0.998888888888889,0.983333333333333,0.996666666666667,0.995,0.992857142857143
"HMGB1",0.988142851991159,0.990571428571429,1,0.986666666666667,0.998333333333333,0.9975,0.994285714285714
"ICAM1",0.988142851991159,0.990571428571429,1,0.986666666666667,0.998333333333333,0.9975,0.994285714285714
"IFNA2",0.988142851991159,0.990571428571429,1,0.986666666666667,0.998333333333333,0.9975,0.994285714285714
"IFNB1",0.985355736761107,0.988,1,0.98,1,1,0.991428571428571
"IFNG",0.985702141451344,0.988571428571429,1,0.983333333333333,0.998333333333333,0.9975,0.992857142857143
"IL1B",0.968963572362872,0.975142857142857,1,0.963333333333333,0.996666666666667,0.995,0.984285714285714
"IL6",0.988489256681396,0.991142857142857,1,0.99,0.996666666666667,0.995,0.995714285714286
"CXCL8",0.987796447300923,0.99,1,0.983333333333333,1,1,0.992857142857143
"IL10",0.990583562530975,0.992571428571429,1,0.99,0.998333333333333,0.9975,0.995714285714286
"CXCL10",0.995118578920369,0.996,1,0.993333333333333,1,1,0.997142857142857
"ITGAM",0.987796447300923,0.99,1,0.983333333333333,1,1,0.992857142857143
"ARG1",0.978033605141661,0.982,1,0.97,1,1,0.987142857142857
"LBP",0.981513529752186,0.985714285714286,1,0.983333333333333,0.995,0.9925,0.992857142857143
"LCN2",0.97907281921237,0.983714285714286,1,0.98,0.995,0.9925,0.991428571428571
"MMP8",0.975939299292082,0.980571428571429,0.999444444444444,0.97,0.998333333333333,0.9975,0.987142857142857
"MMP9",0.960239944274319,0.968857142857143,1,0.96,0.991666666666667,0.9875,0.982857142857143
"MYD88",0.983607835601765,0.987142857142857,1,0.983333333333333,0.996666666666667,0.995,0.992857142857143
"NOTCH1",0.976285703982318,0.981142857142857,1,0.973333333333333,0.996666666666667,0.995,0.988571428571429
"P2RX7",0.985355736761107,0.988,1,0.98,1,1,0.991428571428571
"PDCD1",0.990583562530975,0.992571428571429,1,0.99,0.998333333333333,0.9975,0.995714285714286
"PLAUR",0.988142851991159,0.990571428571429,1,0.986666666666667,0.998333333333333,0.9975,0.994285714285714
"TREM1",0.978033605141661,0.982,1,0.97,1,1,0.987142857142857
"CD177",0.990929967221211,0.993142857142857,1,0.993333333333333,0.996666666666667,0.995,0.997142857142857
"PTX3",0.987796447300923,0.99,1,0.983333333333333,1,1,0.992857142857143
"BCL2",0.988489256681396,0.991142857142857,1,0.99,0.996666666666667,0.995,0.995714285714286
"S100A8",0.982915026221292,0.986,1,0.976666666666667,1,1,0.99
"S100A9",0.985702141451344,0.988571428571429,1,0.983333333333333,0.998333333333333,0.9975,0.992857142857143
"S100A12",0.981859934442422,0.986285714285714,1,0.986666666666667,0.993333333333333,0.99,0.994285714285714
"CCL2",0.983607835601765,0.987142857142857,1,0.983333333333333,0.996666666666667,0.995,0.992857142857143
"CCL19",0.985355736761107,0.988,1,0.98,1,1,0.991428571428571
"CCL25",0.983261430911528,0.986571428571429,1,0.98,0.998333333333333,0.9975,0.991428571428571
"TLR2",0.985702141451344,0.988571428571429,1,0.983333333333333,0.998333333333333,0.9975,0.992857142857143
"TLR4",0.982915026221292,0.986,1,0.976666666666667,1,1,0.99
"TNF",0.992677868380554,0.994,1,0.99,1,1,0.995714285714286
"C3AR1",0.988489256681396,0.991142857142857,1,0.99,0.996666666666667,0.995,0.995714285714286
"C5AR1",0.992677868380554,0.994,1,0.99,1,1,0.995714285714286
"CCR2",0.983607835601765,0.987142857142857,1,0.983333333333333,0.996666666666667,0.995,0.992857142857143
"VCAM1",0.982915026221292,0.986,1,0.976666666666667,1,1,0.99
"IL1R2",0.955239944274319,0.96552380952381,0.999444444444444,0.956666666666667,0.99,0.984166666666667,0.981190476190476
"CALCA",0.983261430911528,0.986571428571429,1,0.98,0.998333333333333,0.9975,0.991428571428571
"TNFSF10",0.990583562530975,0.992571428571429,1,0.99,0.998333333333333,0.9975,0.995714285714286
"SOCS3",0.984300644982237,0.988285714285714,1,0.99,0.993333333333333,0.99,0.995714285714286
"CD14",0.990583562530975,0.992571428571429,1,0.99,0.998333333333333,0.9975,0.995714285714286
