"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"FCGR1A",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"CCR2",0.944031026800677,0.978545454545454,1,0.961666666666667,1,1,0.928333333333333
"IL8",0.951670347025679,0.981272727272727,1,0.966666666666667,1,1,0.938333333333333
"IL10",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"HIF1A",0.946577466875678,0.979454545454545,0.999166666666667,0.963333333333333,1,1,0.931666666666667
"IFNB1",0.953350404258782,0.982363636363636,1,0.968333333333333,1,1,0.94
"ITGAM",0.959309667250681,0.984,1,0.971666666666667,1,1,0.948333333333333
"TREM1",0.95676322717568,0.983090909090909,1,0.97,1,1,0.945
"IFNA1",0.949123906950678,0.980363636363636,1,0.965,1,1,0.935
"HLA.DRA",0.94480406081586,0.979776223776224,1,0.965,0.995,0.998571428571429,0.933333333333333
"C5AR1",0.939751821041881,0.978,1,0.96,1,1,0.921666666666667
"PLAUR",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"LCN2",0.938938146650675,0.976727272727273,1,0.958333333333333,1,1,0.921666666666667
"IFNA2",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"IL6",0.94571108403378,0.979636363636364,0.999166666666667,0.963333333333333,1,1,0.93
"BCL2",0.946577466875678,0.979454545454545,1,0.963333333333333,1,1,0.931666666666667
"CALCA",0.939044417367113,0.977969696969697,0.999166666666667,0.961666666666667,0.995,0.998333333333333,0.925
"TLR4",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"ELA2",0.936391706575675,0.975818181818182,1,0.956666666666667,1,1,0.918333333333333
"CCR7",0.948257524108781,0.980545454545454,0.999166666666667,0.965,1,1,0.933333333333333
"CCL2",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"MAPK14",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"TNF",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"NOTCH1",0.955896844333783,0.983272727272727,1,0.97,1,1,0.943333333333333
"S100A8",0.944031026800677,0.978545454545454,1,0.961666666666667,1,1,0.928333333333333
"LBP",0.946577466875678,0.979454545454545,1,0.963333333333333,1,1,0.931666666666667
"MMP8",0.930391803207754,0.97413986013986,1,0.955,0.995,0.998571428571429,0.915
"MAPK14.1",0.931298826425673,0.974,1,0.953333333333333,1,1,0.911666666666667
"CCL25",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"MYD88",0.916020185975669,0.968545454545454,1,0.943333333333333,1,1,0.891666666666667
"CD14",0.950803964183781,0.981454545454545,1,0.966666666666667,1,1,0.936666666666667
"CX3CR1",0.933845266500674,0.974909090909091,1,0.955,1,1,0.915
"S100A12",0.958443284408783,0.984181818181818,1,0.971666666666667,1,1,0.946666666666667
"S100A9",0.959309667250681,0.984,1,0.971666666666667,1,1,0.948333333333333
"OLFM4",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"IL1R2",0.949937581341884,0.981636363636364,0.999166666666667,0.966666666666667,1,1,0.935
"P2RX7",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"HIF1A.1",0.955030461491885,0.983454545454545,1,0.97,1,1,0.941666666666667
"VCAM1",0.944031026800677,0.978545454545454,1,0.961666666666667,1,1,0.928333333333333
"CCL19",0.931298826425673,0.974,1,0.953333333333333,1,1,0.911666666666667
"CCR2.1",0.938938146650675,0.976727272727273,1,0.958333333333333,1,1,0.921666666666667
"IL1R2.1",0.955896844333783,0.983272727272727,1,0.97,1,1,0.943333333333333
"TLR2",0.953350404258782,0.982363636363636,1,0.968333333333333,1,1,0.94
"CD177",0.935484683357755,0.975958041958042,1,0.958333333333333,0.995,0.998571428571429,0.921666666666667
"IL1B",0.947391141266883,0.980727272727273,0.999166666666667,0.965,1,1,0.931666666666667
"CCR2.2",0.944031026800677,0.978545454545454,0.999583333333333,0.961666666666667,1,1,0.928333333333333
"CRP",0.940618203883778,0.977818181818182,1,0.96,1,1,0.923333333333333
"SOCS3",0.938938146650675,0.976727272727273,0.999166666666667,0.958333333333333,1,1,0.921666666666667
"CCL25.1",0.938071763808778,0.976909090909091,0.999166666666667,0.958333333333333,1,1,0.92
"C3AR1",0.952484021416884,0.982545454545454,0.999166666666667,0.968333333333333,1,1,0.938333333333333
"MAPK14.2",0.94571108403378,0.979636363636364,1,0.963333333333333,1,1,0.93
"HMGB1",0.950803964183781,0.981454545454545,1,0.966666666666667,1,1,0.936666666666667
"CXCL10",0.947391141266883,0.980727272727273,1,0.965,1,1,0.931666666666667
"MMP9",0.943124003582757,0.978685314685315,1,0.963333333333333,0.995,0.998571428571429,0.931666666666667
"BCL2.1",0.957576901566886,0.984363636363636,1,0.971666666666667,1,1,0.945
"TNFSF10",0.931298826425673,0.974,0.999166666666667,0.953333333333333,1,1,0.911666666666667
"PTX3",0.943164643958779,0.978727272727273,0.999166666666667,0.961666666666667,1,1,0.926666666666667
"PDCD1",0.948257524108781,0.980545454545454,1,0.965,1,1,0.933333333333333
"CALCA.1",0.955896844333783,0.983272727272727,1,0.97,1,1,0.943333333333333
"ICAM1",0.946577466875678,0.979454545454545,1,0.963333333333333,1,1,0.931666666666667
"ARG1",0.949123906950678,0.980363636363636,1,0.965,1,1,0.935
"IL10.1",0.949123906950678,0.980363636363636,1,0.965,1,1,0.935
"CX3CR1.1",0.941484586725676,0.977636363636364,1,0.96,1,1,0.925
"OLFM4.1",0.943164643958779,0.978727272727273,0.999166666666667,0.961666666666667,1,1,0.926666666666667
"SOCS3.1",0.949937581341884,0.981636363636364,1,0.966666666666667,1,1,0.935
"HLA.DRA.1",0.955030461491885,0.983454545454545,0.999166666666667,0.97,1,1,0.941666666666667
"FCGR1A.1",0.944031026800677,0.978545454545454,0.999583333333333,0.961666666666667,1,1,0.928333333333333
"IL8.1",0.944031026800677,0.978545454545454,1,0.961666666666667,1,1,0.928333333333333
"IFNG",0.953350404258782,0.982363636363636,1,0.968333333333333,1,1,0.94
"HMGB1.1",0.955030461491885,0.983454545454545,1,0.97,1,1,0.941666666666667
"BCL2.2",0.938938146650675,0.976727272727273,1,0.958333333333333,1,1,0.921666666666667
"IL1R2.2",0.953350404258782,0.982363636363636,1,0.968333333333333,1,1,0.94
"CCR2.3",0.940618203883778,0.977818181818182,0.999166666666667,0.96,1,1,0.923333333333333
"VCAM1.1",0.931298826425673,0.974,1,0.953333333333333,1,1,0.911666666666667
"NLRP3",0.950803964183781,0.981454545454545,1,0.966666666666667,1,1,0.936666666666667
"VCAM1.2",0.939751821041881,0.978,1,0.96,1,1,0.921666666666667
"CALCA.2",0.955896844333783,0.983272727272727,1,0.97,1,1,0.943333333333333
"BCL2.3",0.949937581341884,0.981636363636364,1,0.966666666666667,1,1,0.935
"PLAUR.1",0.94571108403378,0.979636363636364,0.999583333333333,0.963333333333333,1,1,0.93
"CCR2.4",0.955030461491885,0.983454545454545,1,0.97,1,1,0.941666666666667
"HIF1A.2",0.951670347025679,0.981272727272727,0.999583333333333,0.966666666666667,1,1,0.938333333333333
"MAPK14.3",0.958443284408783,0.984181818181818,1,0.971666666666667,1,1,0.946666666666667
"CD14.1",0.95421678710068,0.982181818181818,1,0.968333333333333,1,1,0.941666666666667
"GATA3",0.950803964183781,0.981454545454545,1,0.966666666666667,1,1,0.936666666666667
"PLAUR.2",0.944137297517115,0.979787878787879,0.999166666666667,0.965,0.995,0.998333333333333,0.931666666666667
