"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.949650910884592,0.969030969030969,0.997946428571429,0.952857142857143,0.99125,0.990892857142857,0.964550505050505
"NLRP3",0.952129626494032,0.970261738261738,0.998035714285714,0.951428571428571,0.995,0.994642857142857,0.963439393939394
"CCR7",0.949685055290738,0.969049284049284,0.997589285714286,0.951428571428571,0.9925,0.992321428571429,0.963356060606061
"MAPK14",0.937899341005024,0.96276356976357,0.998392857142857,0.947142857142857,0.985,0.984285714285714,0.959606060606061
"CX3CR1",0.947711181667796,0.969010989010989,0.998392857142857,0.955714285714286,0.9875,0.986607142857143,0.96575
"ELANE",0.946793768027449,0.967507159507159,0.998035714285714,0.95,0.99125,0.990535714285714,0.962050505050505
"FCGR1A",0.945597905219588,0.967245421245421,0.997321428571429,0.95,0.99,0.989642857142857,0.961722222222222
"GATA3",0.954625765830553,0.972049284049284,0.998125,0.954285714285714,0.995,0.994821428571429,0.965356060606061
"HIF1A",0.945802913306766,0.966704961704962,0.998392857142857,0.95,0.99,0.989464285714286,0.962411616161616
"HLA.DRA",0.949650910884592,0.969030969030969,0.998392857142857,0.952857142857143,0.99125,0.990892857142857,0.964550505050505
"HMGB1",0.948337057712911,0.96805661005661,0.997857142857143,0.948571428571429,0.99375,0.993392857142857,0.961217171717172
"ICAM1",0.944587057712911,0.96605661005661,0.997857142857143,0.948571428571429,0.99,0.989642857142857,0.961217171717172
"IFNB1",0.947027768252727,0.967723276723277,0.998035714285714,0.951428571428571,0.99,0.989642857142857,0.963217171717172
"IFNG",0.944395626268755,0.966045621045621,0.998214285714286,0.95,0.98875,0.988035714285714,0.962272727272727
"IL1B",0.949821057938189,0.968939393939394,0.998214285714286,0.95,0.99375,0.99375,0.962383838383838
"IL6",0.949765629141483,0.968818514818515,0.997857142857143,0.95,0.99375,0.993571428571429,0.962467171717172
"CXCL8",0.940263338357573,0.964206793206793,0.997946428571429,0.948571428571429,0.98625,0.985357142857143,0.960578282828283
"IL10",0.94556505241801,0.966943056943057,0.997321428571429,0.951428571428571,0.98875,0.988035714285714,0.963161616161616
"CXCL10",0.944939636858558,0.965606060606061,0.998035714285714,0.944285714285714,0.99375,0.99375,0.958383838383838
"ITGAM",0.945463194176705,0.967071262071262,0.998392857142857,0.951428571428571,0.98875,0.988035714285714,0.962939393939394
"ARG1",0.958511768478004,0.973939393939394,0.997678571428571,0.952857142857143,1,1,0.964383838383838
"LBP",0.951172916179494,0.969477855477855,0.998035714285714,0.95,0.995,0.995,0.962606060606061
"LCN2",0.946713194176705,0.967737928737929,0.998125,0.951428571428571,0.99,0.989285714285714,0.962939393939394
"MMP8",0.948256483862166,0.968287379287379,0.998303571428571,0.95,0.9925,0.992142857142857,0.962106060606061
"MMP9",0.94306505241801,0.965609723609724,0.997946428571429,0.951428571428571,0.98625,0.985535714285714,0.963161616161616
"MYD88",0.945701055065461,0.966833166833167,0.998214285714286,0.95,0.99,0.989464285714286,0.962189393939394
"NOTCH1",0.946713194176705,0.967737928737929,0.997857142857143,0.951428571428571,0.99,0.989285714285714,0.962939393939394
"P2RX7",0.952230193130769,0.970417582417582,0.998214285714286,0.951428571428571,0.995,0.994821428571429,0.963416666666667
"PDCD1",0.947108342103472,0.967492507492507,0.998214285714286,0.95,0.99125,0.990892857142857,0.962328282828283
"PLAUR",0.943438915954216,0.965261738261738,0.998303571428571,0.948571428571429,0.98875,0.988392857142857,0.961439393939394
"TREM1",0.947065773322351,0.967287379287379,0.998392857142857,0.947142857142857,0.99375,0.993392857142857,0.960106060606061
"CD177",0.94288262032596,0.965968697968698,0.998214285714286,0.952857142857143,0.985,0.984285714285714,0.963828282828283
"PTX3",0.950833197049433,0.969844155844156,0.998303571428571,0.951428571428571,0.99375,0.993571428571429,0.963133838383838
"BCL2",0.952049052643287,0.970492507492507,0.997857142857143,0.952857142857143,0.99375,0.993392857142857,0.964328282828283
"S100A8",0.962065184765801,0.976666666666667,0.998035714285714,0.957142857142857,1,1,0.967111111111111
"S100A9",0.954681194627259,0.972170163170163,0.998214285714286,0.954285714285714,0.995,0.995,0.965272727272727
"S100A12",0.958511768478004,0.973939393939394,0.998392857142857,0.952857142857143,1,1,0.964383838383838
"CCL2",0.947983186962697,0.968791208791209,0.998571428571429,0.952857142857143,0.99,0.989464285714286,0.963805555555556
"CCL19",0.946870481214716,0.967730602730603,0.998303571428571,0.951428571428571,0.99,0.989464285714286,0.963078282828283
"CCL25",0.944135189384871,0.966465201465201,0.998125,0.95,0.98875,0.988035714285714,0.961666666666667
"TLR2",0.936933631338379,0.961609723609724,0.998125,0.945714285714286,0.985,0.984285714285714,0.959161616161616
"TLR4",0.95042518910708,0.970173826173826,0.998392857142857,0.955714285714286,0.99,0.989285714285714,0.966050505050505
"TNF",0.952206339681298,0.970485181485181,0.998214285714286,0.952857142857143,0.99375,0.993571428571429,0.964467171717172
"C3AR1",0.940522483636889,0.964071262071262,0.997857142857143,0.948571428571429,0.98625,0.985535714285714,0.960939393939394
"C5AR1",0.950675910011422,0.969851481851482,0.998214285714286,0.951428571428571,0.99375,0.993392857142857,0.962994949494949
"CCR2",0.945815773322351,0.966620712620713,0.998392857142857,0.947142857142857,0.9925,0.992142857142857,0.960106060606061
"VCAM1",0.951890474000708,0.970783882783883,0.998035714285714,0.952857142857143,0.99375,0.993392857142857,0.963944444444444
"IL1R2",0.941751199246329,0.964635364635365,0.998125,0.947142857142857,0.98875,0.988035714285714,0.959828282828283
"CALCA",0.950854481439993,0.96994671994672,0.998035714285714,0.952857142857143,0.9925,0.992321428571429,0.96424494949495
"TNFSF10",0.949901631788934,0.968708624708625,0.998214285714286,0.948571428571429,0.995,0.995,0.96149494949495
"SOCS3",0.943873475046643,0.966770895770896,0.998392857142857,0.952857142857143,0.98625,0.985357142857143,0.963467171717172
"CD14",0.944156473775431,0.966567765567766,0.997857142857143,0.951428571428571,0.9875,0.986785714285714,0.962777777777778
