"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.755928946018455,0.833333333333333,1,0.714285714285714,1,1,0.8
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
0.875,0.933333333333333,1,1,0.875,0.875,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
0.875,0.933333333333333,1,1,0.875,0.875,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
0.755928946018455,0.833333333333333,1,0.714285714285714,1,1,0.8
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.644658371220304,0.727272727272727,1,0.571428571428571,1,1,0.727272727272727
0.872871560943969,0.923076923076923,0.982142857142857,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,0.982142857142857,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
0.872871560943969,0.923076923076923,0.982142857142857,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,0.982142857142857,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.875,0.933333333333333,1,1,0.875,0.875,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,0.982142857142857,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,0.982142857142857,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
0.875,0.933333333333333,1,1,0.875,0.875,1
0.875,0.933333333333333,1,1,0.875,0.875,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
0.755928946018455,0.833333333333333,1,0.714285714285714,1,1,0.8
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,0.964285714285714,0.857142857142857,1,1,0.888888888888889
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
0.755928946018455,0.833333333333333,0.964285714285714,0.714285714285714,1,1,0.8
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,1,0.857142857142857,1,1,0.888888888888889
1,1,1,1,1,1,1
0.872871560943969,0.923076923076923,0.982142857142857,0.857142857142857,1,1,0.888888888888889
