"Feature","Mean_Importance","SD_Importance"
"FCGR1A",33.6287889276199,7.97855613206058
"S100A9",30.076071515128,7.03224911416803
"IL10",23.9977585061543,5.80064574948629
"GATA3",19.0185907635336,6.06972651324537
"CD177",18.7717277918725,6.91741772186027
"S100A12",18.3337267596098,7.08783871051211
"TNFSF10",16.4302547132727,5.72369957368306
"S100A8",16.3935136456508,5.63355877059441
"C3AR1",13.6393493404261,4.76573563563267
"MYD88",13.5645672782694,4.87020345641162
"MAPK14",10.1066142941557,4.07614794874339
"CCR7",7.16302152297358,3.07415202444467
"ARG1",5.62922718656081,2.79326714322645
"BCL2",4.34281684606226,2.48264019432211
"P2RX7",4.19954164048692,1.07238425481227
"SOCS3",4.09914577771459,2.75302493156408
"ITGAM",3.40345640528267,2.2382314133746
"TLR2",3.06639282121202,2.29725544446313
"MMP8",2.28685070077776,1.28426934958873
"NOTCH1",2.19068654689058,1.00682294456453
"TREM1",2.1745978984092,0.737409236168276
"CCR2",2.10296413816496,1.21326823239002
"CXCL8",1.9006795414356,1.30210800964492
"HLA.DRA",1.75644268319074,0.702574789156434
"CXCL10",1.74336702425791,0.768573463064027
"C5AR1",1.71536174000691,0.749481570171755
"MMP9",1.64603492760514,1.25688035073325
"IL1R2",1.502185608735,1.06440944044662
"CRP",1.49022471959953,1.0529775363323
"IL1B",1.44687814280437,1.10074572599197
"PLAUR",1.16051293521319,0.780294224831952
"TLR4",1.12252136827748,0.903260396813949
"CCL19",0.971735763963393,0.446068343108027
"CALCA",0.962951175666453,0.790649149929537
"LBP",0.925538280927704,0.447675231906375
"CCL25",0.87196577125277,0.386029955421744
"HMGB1",0.812143399218096,0.474375150802227
"ICAM1",0.805097624848874,0.638157419424479
"CX3CR1",0.741642111550957,0.328407132254961
"IL6",0.726566979700754,0.341111492502757
"NLRP3",0.700206400387778,0.543323492915368
"LCN2",0.662676276829717,0.602891456854673
"CCL2",0.642453679597045,0.312595027702751
"PTX3",0.606256664252006,0.466382964798753
"ELANE",0.523238419640523,0.249981333832085
"PDCD1",0.498073742664964,0.230556032778562
"OLFM4",0.477699201637154,0.200232351430638
"IFNG",0.451176017224217,0.203693401382171
"CD14",0.377244590646421,0.293298591300182
"VCAM1",0.373468274064728,0.170933631893628
"HIF1A",0.321164647756769,0.231606799057182
"TNF",0.272103073230246,0.150792401718735
"IFNB1",0.0993435939381836,0.0922855161226803
