"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.830662386291808,0.958333333333333,1,0.92,1,1,0.75
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,0.993333333333333,0.96,1,1,0.857142857142857
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,0.996666666666667,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
0.793333333333333,0.96,0.993333333333333,0.96,0.833333333333333,0.96,0.833333333333333
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.907114735222145,0.979591836734694,1,0.96,1,1,0.857142857142857
1,1,1,1,1,1,1
0.895143592549291,0.980392156862745,1,1,0.833333333333333,0.961538461538462,1
