"Feature","Mean_Importance","SD_Importance"
"MMP9",6.33416178914584,1.93838227072525
"ARG1",5.68125441295799,1.9835426363713
"ARG1.1",5.44531132797719,1.85763218939793
"CD177",4.56061146122927,2.05940107556142
"CD177.1",4.25570728936798,1.59632512184403
"S100A8",3.48330182272767,1.54489271298473
"TLR2",3.17736610568933,1.37006731294067
"S100A12",3.01424634498157,1.09090540251482
"GATA3",2.81822125344072,1.30549411899271
"HLA.DRA",2.4814277231031,1.27166681390813
"IL10",2.13298381082453,1.07466953809281
"S100A12.1",1.98142575766935,1.07713211315102
"MMP8",1.8655499290743,0.979611105109548
"C3AR1",1.66610837087157,0.915376016512677
"ITGAM",1.53041049242266,0.860582920186874
"OLFM4",1.35394403167704,0.688912519688249
"IL1R2",0.97941963023107,0.678028224489531
"LCN2",0.904708593811174,0.707373237726006
"BCL2.1",0.72038443569723,0.540685834450507
"PTX3",0.675266721056639,0.666273118509546
"TLR4.1",0.650280436507894,0.474357037281073
"CCL2",0.624959927527528,0.542284382367834
"CCR7",0.617192471585806,0.524950174771126
"TLR4",0.581069786151968,0.430623734912239
"ELANE",0.578826147282396,0.64334074781606
"SOCS3",0.491107354144735,0.401317366342785
"CD14",0.481679848576078,0.372452203696486
"NOTCH1.1",0.39931553759137,0.430734212709784
"MAPK14",0.398004502879537,0.387387945825844
"BCL2",0.340141227717905,0.453585129152021
"S100A9",0.296967990663456,0.264445014484263
"CD177.2",0.193499158203771,0.21954180139236
"NLRP3",0.162746051875373,0.1710202009144
"TNFSF10",0.153060226258903,0.221702526269393
"CXCL10.1",0.142898986747652,0.158591534018638
"CCR2",0.125954109630474,0.157504968240435
"LBP",0.0751853789637475,0.076024225948868
"HMGB1",0.0724988751607213,0.0995808005517208
"NOTCH1",0.0672403636873963,0.063701278668847
"C5AR1",0.0625028784429853,0.102422832700435
"CCL19",0.0602414589243878,0.0974692299660088
"CCR2.1",0.0562832899820442,0.06905543959273
"CXCL10",0.0560686576086999,0.0634447731307431
"NLRP3.1",0.0487441169958014,0.086049310425621
"PDCD1",0.047591337166936,0.0638838648521942
"CX3CR1",0.0464459171133092,0.0768160977434349
"CCL19.1",0.041554581445645,0.050229511178273
"TREM1.1",0.0377588487959507,0.0464916098205563
"HIF1A",0.0356096797950192,0.0412386450085595
"IL6",0.034071812218275,0.0463469289277911
"P2RX7",0.0290456214078811,0.0376610895853764
"PLAUR",0.0290256884019697,0.0418663684312131
"MYD88",0.0275490337926774,0.0516243915011406
"TNF",0.0267796808630985,0.0313656675925669
"CCL25",0.0240410797667055,0.0284827569342636
"TREM1",0.0214695335751381,0.0317871997347611
"CRP",0.0213727098741539,0.0330587127937972
"ICAM1",0.0212036574920209,0.0261386836482902
"IL6.1",0.0209874894476099,0.0275369925866044
"CALCA.2",0.020645050552374,0.0409396085130122
"TNFSF10.2",0.0200063426350427,0.0320279993979768
"P2RX7.1",0.0198790314505456,0.0285297778834396
"CALCA.1",0.0188637331658473,0.0298310408937707
"TNFSF10.1",0.0165256245669629,0.0338157530695237
"HIF1A.1",0.0162160447790372,0.0242769806065945
"IL8",0.0156239003690811,0.0245997786247435
"IFNA2",0.0153236998783693,0.0251794258877831
"CCL25.1",0.0151354781015839,0.0253549969462895
"IFNG",0.0144648122344308,0.0196295202925092
"IFNB1",0.0138488564362619,0.0246908244631663
"VCAM1",0.0107233392348682,0.0195023048564224
"CRP.1",0.00966982277215356,0.0214445315315716
"TREM1.2",0.00960027054435894,0.0179452157358051
"IL1B",0.00812615202799286,0.0216204862381997
"IL8.1",0.00756424948034667,0.0165333651420797
"CALCA",0.00672339604749701,0.0133449375665328
