"Sample","TNFSF10","TREM1","CD177","PTX3","TNFSF10.1","CCL19","ITGAM","IL10","ELANE","PDCD1","LBP","IFNG","ICAM1","C5AR1","PLAUR","LCN2","TREM1.1","SOCS3","CCR2","S100A9","C3AR1","MMP8","IFNA2","CD177.1","CALCA","CCR2.1","CCR7","VCAM1","BCL2","MYD88","TNF","MMP9","CX3CR1","S100A8","CCL25","NOTCH1","IL6","IFNB1","S100A12","IL1B","CCL2","TLR2","NLRP3","HMGB1","OLFM4","CALCA.1","MAPK14","CXCL10","P2RX7","CRP","HIF1A","IL1R2","TLR4","TLR4.1","IL8","HLA-DRA","TNFSF10.2","HIF1A.1","CD177.2","IL8.1","P2RX7.1","NLRP3.1","CD14","CCL25.1","CRP.1","CALCA.2","TREM1.2","ARG1","CXCL10.1","ARG1.1","BCL2.1","GATA3","NOTCH1.1","CCL19.1","S100A12.1","IL6.1","Label"
"GSM7573966",-0.44172072,2.0432804,-0.98628163,0.77815235,0.53422976,-0.90540624,0.14885473,-0.18116689,-0.12378383,0.13549614,1.4500151,0.26091027,0.57357,-0.84695363,-0.35133052,-2.008373,-0.12238479,1.1776509,0.8783107,-0.4688382,0.56992173,-0.42301488,1.022635,-1.2241166,0.15699005,-0.62953615,0.28432035,1.3136806,-0.4244349,-1.0912805,1.0915179,0.92711115,1.0432382,1.4252853,0.4870615,-0.4131949,-1.0653212,1.3697634,-0.34119797,1.6044407,0.71916866,0.95323324,1.8462772,-0.31498957,0.94842863,1.3898673,-1.9193926,2.8128674,0.2040801,1.5454245,0.07157707,-0.27823997,0.001967907,0.85070276,0.94467926,-0.011683464,0.5428457,-1.6164153,3.9327152,0.113257885,0.88039756,1.5213486,0.6747093,1.5011883,1.474123,1.0704713,-0.35925436,1.7336967,1.0038054,1.6658404,-1.6810277,-1.0608776,0.38552856,2.0555003,-0.63602066,1.4438739,"Sepsis"
"GSM7573969",-0.818455,1.1680424,4.7101345,1.0380958,1.3137159,-0.37557697,1.8486853,1.350966,-0.68255997,-1.0354347,-0.73379517,0.0635829,0.7430856,-1.0531328,0.7458832,-1.4501107,1.5183198,1.1211843,1.1090908,-1.3989916,-0.5771611,-0.13702583,-0.050713062,4.462842,-0.03384304,0.16521454,-3.0837631,0.265862,-1.2540739,1.3476162,2.1836042,3.6156225,1.0155945,0.88488674,1.3509467,2.0408008,-0.33170414,0.884635,-0.18838692,1.4242406,-0.08116865,1.5484762,1.7248578,-0.8802576,-2.1191278,0.3345871,0.35822916,1.8656602,0.9090347,-0.056833744,0.624063,1.3166177,-0.34473324,1.649066,-0.13204241,0.2671628,0.6619048,0.49964476,1.6611717,1.1295433,-0.33913875,1.9993669,0.288373,0.39793682,0.3862381,-0.07041597,0.43175077,4.0037546,0.65229416,4.1512938,-2.6157215,-1.6139538,0.53148365,0.7565384,-0.23289156,0.9658165,"Sepsis"
"GSM7573973",0.14513254,-1.7463686,-1.2333996,-0.103539586,-1.2057676,3.3556721,-0.73118114,0.1311593,-0.60847664,-0.16562319,2.543488,-0.1454792,-0.9469812,-0.5136273,-0.6071408,-1.557318,-1.4926374,-0.424428,-1.2204199,-2.580329,-0.13811803,0.14806914,1.6523554,-0.30261683,4.0341625,-3.5534508,-0.56805515,4.4137316,-1.3298881,-1.7552342,0.08055973,1.8837929,1.5351515,0.09239578,4.141131,-3.7462037,0.51674366,4.123781,-2.1415415,-0.18482065,2.3961284,-1.3553648,-0.08403349,-0.78234196,1.5994225,4.6899977,-2.7350783,2.501921,-1.3314056,1.7017899,-0.5564766,-2.7400138,-1.0300035,-0.36388016,1.539854,-1.5533795,0.10645342,-0.94184303,3.3015587,-2.2479172,-0.71738744,-1.2168344,0.16540623,2.081834,3.2623315,4.8213844,-1.6517036,1.7798007,0.72554064,1.3229082,-3.352518,-1.3665464,0.84691286,1.7194841,-2.938827,4.594041,"Sepsis"
"GSM7573980",2.4606998,-2.1428587,-2.4071763,2.0409217,2.2131934,1.6278703,-0.39458227,0.027866364,0.36402464,-0.51945496,1.2872033,-0.28039193,0.030853987,0.9405687,-0.7792337,-1.3556864,-1.8973868,0.6779885,0.17136335,-0.017961502,1.0652039,-0.88005805,1.9354186,-2.1851685,1.128236,-1.6534138,-0.07817793,1.0014262,-0.17984223,-0.36315107,-1.1438589,-0.43588018,-0.7449517,1.7847805,2.204599,-1.1411598,1.5366418,1.4120488,0.39832497,1.5246677,3.8147354,1.4887795,0.6167469,0.4232278,0.32582283,1.6693003,-0.35737562,5.3780417,-2.6800923,2.1864247,1.2130098,1.6618989,1.1933017,0.973722,0.50768805,-2.0415277,3.071393,0.1491127,-0.5475607,-1.0614364,-0.95986915,0.0700165,-0.29166985,1.0367613,0.95843315,3.2317128,-1.8461032,3.0206392,3.852696,2.7270186,-1.1770384,-0.5504296,0.09853554,1.8399816,0.16189098,1.0650902,"Sepsis"
"GSM7573982",1.1111093,1.8265293,1.5219476,-1.7434422,0.5032754,2.7204127,-1.1250892,0.042585373,0.64412165,-0.4138174,3.2911966,0.29820156,-0.97325015,0.8869045,-2.2926872,-1.1539941,-0.54131293,1.0762587,-1.5709996,0.16289139,-0.34696794,1.1050789,3.8503034,1.8399746,1.6714101,-2.3146105,-0.46731377,2.8956566,-2.6076393,-3.0258737,-1.9233208,4.2508926,-2.5674381,1.5873146,1.991158,-2.5081773,0.69222736,2.8765173,0.20043087,-0.29806566,1.9742193,0.027817726,0.5444398,1.326294,2.0402637,3.3571038,-0.35490227,1.7717328,-0.8424785,2.6220036,-0.65579987,1.92434,2.8112144,-1.0724926,2.4816985,-4.813571,1.0583749,-2.481072,3.7770052,-0.50794196,-0.39796376,0.31889546,0.12311745,2.9992886,3.1679173,3.4992013,-1.2545567,3.2790987,1.6687489,1.8038976,-2.645292,-2.6046753,1.3654027,1.6959906,-0.99502516,3.0052702,"Sepsis"
"GSM7573989",1.3278532,-0.07659078,3.4226997,0.32005203,0.44333696,-0.8564098,0.47384882,-0.9102993,1.3404107,0.13718462,2.4795303,-0.060760736,-0.8784692,-0.94505095,0.59997916,-0.18589377,0.45655894,1.2096782,0.8807292,-0.24459314,1.2617724,1.483413,1.4816334,3.2872097,0.5746412,-1.0932558,-0.66772985,1.7639256,-0.5005295,0.0278306,0.064584255,3.3228207,0.104973316,1.7084141,0.90624046,0.04023862,-0.5946114,2.1138856,0.6823101,0.28862858,0.83333635,0.17996645,0.6150894,-0.49201155,0.9133153,1.8548365,-0.55867815,0.6928768,-0.028451681,1.4592845,-0.23404789,0.099960566,-0.17797136,0.27996016,1.4114733,-0.12116623,0.09852314,-0.3101673,2.4770823,-2.4299564,0.1325481,1.0480558,0.5558281,1.9276431,1.9383821,1.7212431,0.1698885,4.0952272,0.5674939,4.407728,-1.0363033,-0.15462184,0.66888285,0.51067376,0.19869423,2.604486,"Sepsis"
"GSM7573993",0.7222674,1.4615326,5.498165,0.5814382,-0.62023616,1.3124304,1.8155403,2.2276583,0.13442445,0.5664675,2.0489666,0.8108213,-0.33877325,-2.6699502,-1.1398292,2.3889823,-1.4067411,1.6146564,-1.1482933,-1.0063334,-0.29488707,4.811273,3.829046,5.9889336,1.8502438,-2.401131,0.36622524,3.0099697,0.041028976,-0.9137342,1.4291086,5.0946503,-0.6431055,1.630166,2.1708856,0.23751402,2.2323213,3.081748,0.45829487,-0.81296325,2.1305864,0.63155365,-1.0345404,-1.1721537,4.1288953,3.0969784,-1.8445246,2.1936479,-0.7407484,2.7238746,1.5453589,0.7965555,-4.3414316,-0.04310155,2.6450512,-0.211452,-1.1408412,0.573143,1.833969,-0.75132024,-4.85081,0.01510179,-1.1730652,3.1540208,3.1875603,2.8272781,-2.1216404,4.807357,1.8438311,4.7447224,-2.5308125,-0.42179227,0.82292247,1.7872453,-0.10865545,3.5193617,"Sepsis"
"GSM7573996",-0.3030386,-3.7521017,-0.92879367,-0.34752142,-1.5258956,2.1795876,-1.6702433,-0.30663395,0.24874973,-0.47084475,2.4697962,-0.4644313,-1.4830096,-0.34861922,-0.36987805,-0.43239427,-1.1926105,-1.091753,-1.0361385,-0.9549141,-0.68766236,-0.5722649,2.524673,-1.4962056,2.7459135,-1.7521431,-0.58374214,2.2269554,0.06679177,-0.68305016,-0.32839155,0.08310318,0.44136143,0.25518608,2.6308928,-3.434913,2.2078264,1.2154002,-1.0436449,-0.030098438,2.0964363,-2.3757324,-0.5494056,-0.0606575,0.8823576,1.5942707,-2.5821853,2.1224248,-2.5318909,2.5068903,-0.9868612,-4.8583207,1.2096434,-1.2467103,0.7983651,1.0616918,-1.3242469,1.2594652,1.5359154,-1.9454386,-1.2658746,-0.5698484,-1.3008642,1.3258824,1.3066258,3.9860234,-1.6563063,-1.3087261,0.40960908,-1.3989422,-1.7113702,-1.6653516,0.99211407,1.7259827,-1.0218549,2.5724807,"Sepsis"
"GSM7573999",1.540268,-1.4742545,-1.9498518,1.333906,-1.3693085,1.9327917,-0.848485,0.5417321,-0.34659207,0.11504841,2.4584227,0.80793476,-2.425659,-4.1422434,-2.1079216,-0.12694621,0.19152427,-2.1577115,-1.6769013,-1.2543244,-0.7262013,1.6934135,3.7276206,-1.0813038,2.9002597,-1.9819797,-0.17984915,3.475163,0.13259864,-3.8360329,-0.8724141,0.736506,-0.60533667,3.0523415,2.573964,-2.2155404,1.0311046,4.2894464,1.5050907,-0.5493469,2.5506072,-1.3793073,-0.6260276,-1.941349,0.4339342,3.9820619,-3.5248718,2.3132148,-0.23919284,3.2256353,0.3182292,-4.7927594,-3.3272874,-1.1494999,3.053471,-1.4160385,-2.074328,-1.8623171,1.4119308,-0.7085147,-2.3345246,-1.0462967,-1.0581365,3.5703082,3.5651913,3.232452,-1.5940943,-0.28467155,2.2736967,-2.1054633,-2.0471349,0.6693175,1.5268579,2.2115326,0.65674925,3.866,"Sepsis"
"GSM7574008",1.3227623,-1.5774288,2.5580723,0.68944156,1.1239843,1.205848,1.6264515,2.4588304,0.99214745,-0.26961613,1.9061182,-0.97458196,-0.4465649,-2.1395142,-0.09760785,0.013100386,-0.43387008,3.5268087,1.217226,-0.22050953,0.91829276,2.6983469,0.6885557,2.754872,-0.22430515,-0.38961744,-1.11131,1.1135421,-1.6781557,-0.2839861,-0.16170979,4.1066284,-2.221569,1.7586021,0.037783623,-0.049898863,-1.4200709,1.0108662,0.9997902,0.09503889,0.3768773,1.4400864,1.144918,-0.48139095,2.7795568,1.0146976,-0.36735773,0.5474725,-2.5888963,0.87183285,-0.07704592,1.4502571,0.5647011,1.158184,0.6474037,-0.95859003,-0.100578785,0.21464825,2.7459114,-3.1053424,-0.50138974,1.363063,0.25557995,1.1263561,1.0835943,2.1439497,-0.82789564,3.8307755,-0.138443,4.172024,-4.4200916,-2.2414389,0.23417759,2.7610793,0.51311064,1.2218046,"Sepsis"
