"Gene","MeanImportance","SDImportance"
"MMP8",0.874896330800464,0.0265891602906914
"S100A9",0.874732905401019,NA
"S100A12",0.865532636272997,NA
"CCR7",0.854741210768451,NA
"CD177",0.827906634029527,NA
"C3AR1",0.695960926172269,NA
"ELANE",0.645249032797795,NA
"IL10",0.488274618897249,NA
"S100A8",0.444679161307646,0.625102357936377
"MMP9",0.375943286420378,NA
"OLFM4",0.363982042934352,NA
"FCGR1A",0.36055234842095,NA
"ITGAM",0.355063578608771,NA
"HLA-DRA",0.302734677839181,0.0478336492493191
"GATA3",0.28721791249988,0.371423039544889
"SOCS3",0.267321432320037,0.37902138540813
"LCN2",0.255680652320963,NA
"MAPK14",0.232419174192136,0.0916127421732863
"IL1R2",0.216149726738719,0.0169026830372439
"ARG1",0.213180687908102,0.236115218516055
"PTX3",0.198847986210233,NA
"CX3CR1",0.0703625666047528,0.0559978385467576
"HIF1A",0.0473547472300592,NA
"CXCL8",0.0438323276236562,0.0583938717485131
"BCL2",0.0397494427524842,0.0662299649723351
"TREM1",0.0360107887550558,NA
"VCAM1",0.0210699026917032,NA
"TNFSF10",0.0195906013185318,0.0243799925396125
"TLR4",0.0182982939084769,0.0114290866803779
"MYD88",0.0175389471069923,NA
"CD14",0.0156001484721774,NA
"LBP",0.0144325811081166,0.00375965054478401
"C5AR1",0.0139623594407503,NA
"NOTCH1",0.0135950127537225,0.0168689683712227
"CCR2",0.0130925316439731,0.00690668135722291
"CXCL10",0.0115115646242322,NA
"TLR2",0.00928879241823906,NA
"IFNA1",0.00836431245283192,NA
"CRP",0.0081239252678588,0.000319787184293268
"PDCD1",0.00694300486563353,NA
"PLAUR",0.00586090213937491,0.00134954832235365
"ICAM1",0.00576848029150588,0.00729792974650094
"CCL25",0.005700447722143,NA
"CALCA",0.00527526817681644,0.00199830945675813
"IL6",0.00519379087071576,NA
"P2RX7",0.0049547368051625,0.0043613708859215
"NLRP3",0.00491757022485124,0.00310322889704942
"HMGB1",0.00452329414528016,0.00102009220615409
"IFNB1",0.00441979093334704,NA
"IFNA2",0.00419166337392719,NA
"IL1B",0.00394382123080916,0.00470378057595994
"CCL19",0.00276491573060201,NA
"IFNG",0.00248180200220474,NA
"CCL2",0.002182512240057,NA
"TNF",0.00182909631652172,NA
