"Sample","TLR4","CX3CR1","HMGB1","HMGB1.1","HIF1A","CD14","MAPK14","ICAM1","ICAM1.1","TNFSF10","TNFSF10.1","CXCL8","S100A8","S100A9","BCL2","BCL2.1","VCAM1","MMP9","CXCL10","TLR2","IL1B","IL6","IL1R2","CRP","ITGAM","S100A12","CX3CR1.1","PTX3","ARG1","CCR7","SOCS3","SOCS3.1","ELANE","CCR2","CCL25","BCL2.2","BCL2.3","NLRP3","P2RX7","TNF","MMP8","IL10","PDCD1","CCR2.1","IFNB1","IFNA1","HLA-DRA","MYD88","GATA3","GATA3.1","GATA3.2","C3AR1","CCL19","IFNG","MAPK14.1","CALCA","CALCA.1","PLAUR","HLA-DRA.1","MAPK14.2","IFNA2","IL1R2.1","CXCL8.1","MAPK14.3","LBP","PLAUR.1","LCN2","OLFM4","SOCS3.2","TNFSF10.2","S100A8.1","LBP.1","PLAUR.2","HMGB1.2","ICAM1.2","NLRP3.1","NLRP3.2","CCL2","FCGR1A","CALCA.2","CALCA.3","NOTCH1","TREM1","CD177","C5AR1","TLR4.1","NOTCH1.1","TLR4.2","HMGB1.3","HMGB1.4","SOCS3.3","P2RX7.1","ARG1.1","ARG1.2","ARG1.3","MMP8.1","TLR4.3","CRP.1","IL1B.1","Label"
"GSM1373916",6.99557,5.32766,8.74546,10.7017,10.2997,10.3343,10.3807,6.03742,4.87984,8.51215,9.95412,4.29378,14.1013,14.1068,4.96787,5.18423,2.19216,12.4318,4.02084,10.0089,7.0892,3.60092,12.8307,3.6893,10.33,13.7855,8.08747,3.84193,11.175,7.69438,6.18115,4.75242,8.87806,8.38616,3.30158,5.10877,4.37307,5.20436,3.68432,5.93944,11.6915,4.80456,5.7091,6.18346,3.3554,2.29652,9.49313,11.092,2.18871,3.50425,6.07607,10.0081,3.66207,3.22082,9.42502,3.04821,3.32704,7.94006,9.14893,6.86821,2.66201,11.8844,2.06788,9.49847,4.71313,7.83495,11.971,8.95827,3.78278,7.24663,7.502,2.85081,5.96399,11.362,4.80084,3.28235,2.45582,3.35075,3.096,4.90431,2.65776,6.42507,8.08702,11.564,10.473,7.39683,4.75723,8.12922,9.79436,6.11341,7.90239,4.93182,3.55063,4.21409,2.21967,11.4095,6.71329,2.30243,6.71213,"Septic"
"GSM1373919",6.71079,5.93897,8.30968,10.8332,10.3141,10.1676,9.52321,6.20988,5.56403,8.35114,9.62526,3.15101,13.9054,13.7603,3.46919,6.66104,1.94344,11.5946,3.92407,10.6752,6.66461,3.74045,11.9145,3.33827,10.3229,12.8483,8.88265,7.73718,11.481,8.87874,5.21629,4.29297,11.0959,9.2665,3.33827,5.15117,3.61895,5.34028,4.50202,4.1571,11.1863,3.45627,4.91871,6.93537,2.52307,2.07128,10.5747,10.9579,2.2706,3.19366,6.28092,8.93799,4.02907,3.06734,8.33014,3.27603,3.10886,7.86446,10.0028,6.64405,2.68755,10.6389,2.45044,8.23261,5.11665,8.21928,12.0889,11.3669,2.81476,7.19294,6.1694,2.8364,6.08432,11.4092,4.6642,3.25993,2.95335,2.16187,2.41849,3.97509,2.49193,7.3204,9.1091,9.1572,9.79042,6.93701,4.6267,7.41446,9.79444,6.3825,6.46539,6.00617,3.96441,4.38674,2.41851,10.8003,5.92118,2.31118,7.0479,"Septic"
"GSM1373922",7.43259,6.74248,8.6616,11.0366,10.6697,9.84376,10.6495,6.83685,5.94728,9.31913,10.6748,3.52122,13.9923,13.9008,4.05163,5.25881,2.46964,12.2724,3.56386,11.3672,7.17204,3.67422,12.6412,3.84145,10.7643,13.0296,9.45898,7.40691,11.4259,5.71425,5.41926,4.39343,8.51151,9.22119,2.99048,4.6831,3.64717,5.85156,4.46806,4.44234,10.4361,4.02411,4.48559,7.23597,2.94539,2.10886,10.149,11.4968,2.23807,3.09449,6.49643,9.31843,4.28176,3.19533,9.26587,3.31404,3.18938,8.58532,9.62589,7.34261,2.53404,11.7358,2.57922,9.02903,4.78101,8.76289,11.5355,10.1676,3.25018,8.59428,7.12724,2.57607,6.35715,11.4786,5.04828,4.07477,2.6594,2.57278,2.23266,4.43093,2.51225,7.56934,9.59515,9.5319,10.7961,7.93515,4.58376,8.3461,9.88298,6.5631,6.68032,6.47336,3.74501,4.13664,2.14358,10.1684,6.82299,2.4415,7.62427,"Septic"
"GSM1373925",7.85215,5.93861,8.23253,10.8204,10.5048,10.4228,10.2337,6.59463,5.86422,9.45564,10.7843,4.6106,13.9662,14.0088,3.93761,5.76801,2.43464,12.0574,3.61845,10.7621,8.53291,3.56349,11.3593,3.60181,10.4548,13.3143,8.97368,5.13392,10.5614,7.58143,6.19749,5.03724,7.70837,8.62565,2.82402,4.40176,4.29171,5.9676,4.32256,5.1277,9.01042,4.06431,5.10935,6.63953,2.81191,2.49186,9.5006,11.3084,3.24466,2.99092,6.28996,9.42067,4.0709,2.1534,8.76629,3.28687,3.37258,8.55593,9.12713,7.12336,2.59473,10.3845,2.63739,8.75525,4.43231,8.28945,9.77225,9.672,3.39402,8.36156,6.2241,2.64795,6.05703,11.4348,4.89946,3.9353,2.56837,2.59272,2.42816,4.45605,2.29413,7.76401,9.8146,10.7496,10.5204,7.98861,4.90565,8.42035,9.96292,6.34236,7.92766,5.48265,3.09379,3.56015,2.21028,9.16242,7.32377,2.04107,8.581,"Septic"
"GSM1373928",8.58658,4.85916,8.18534,10.7192,10.5751,9.55435,10.7317,6.52957,5.69697,9.75007,10.9065,3.31732,14.0524,13.9449,3.77617,3.7998,2.19092,11.8743,3.94185,11.938,8.13346,4.15679,13.1641,3.94382,10.4173,13.4343,7.70369,5.16703,11.4093,4.58122,6.17464,4.97519,8.63951,8.08731,3.03319,5.22366,3.845,5.83108,4.00196,4.64241,8.53286,4.00709,5.38002,5.87075,3.11616,2.12531,8.38236,11.3717,2.14486,2.93322,4.93712,9.96799,4.12388,2.6413,9.18292,3.13833,3.42761,8.03276,8.13284,7.46757,2.05869,12.581,2.56659,9.10765,4.60648,7.93691,9.37168,9.45047,3.36935,8.68169,7.33661,3.00796,6.01517,11.246,5.02823,4.0989,3.07611,2.4386,3.11668,4.39983,2.56678,7.58677,9.89801,9.50594,10.2459,8.77851,4.69478,9.18573,9.60753,6.37915,7.72639,5.39699,3.43683,4.86023,2.3935,8.70647,8.09826,2.05487,8.17812,"Septic"
"GSM1373931",8.91694,5.98835,8.46747,11.0113,10.946,10.2898,10.5289,7.40897,6.87627,9.50355,10.4632,5.71128,14.1318,14.0669,4.415,5.31517,2.37062,12.6668,4.28602,12.0203,8.63558,3.47523,12.8006,3.58801,10.2734,13.5025,9.15275,4.08942,10.8451,7.40849,6.58311,4.68441,8.03417,8.2727,3.27764,4.6017,3.21116,5.67366,4.3562,5.48622,8.17928,3.87413,4.73938,6.4794,2.17717,2.48844,10.8075,11.4901,3.03694,3.19291,6.42643,10.8784,4.1429,2.53407,9.63965,3.05564,3.10403,8.63523,10.2644,7.97341,1.94865,12.2599,3.3763,9.45153,4.0694,8.61615,7.9565,5.42018,3.1282,8.60275,6.20248,2.72821,6.48629,11.4402,5.43195,4.26553,3.22855,2.25531,3.63961,4.08719,2.34548,7.52927,9.61392,10.7106,10.5006,9.05497,4.5312,9.27112,9.99627,6.88762,7.69004,5.93673,3.51827,3.79665,2.27523,8.06691,8.25524,2.3888,8.39027,"Septic"
"GSM1373934",8.25217,6.25345,8.53544,10.9101,10.8101,9.74746,9.95154,6.89574,6.25166,9.3295,10.4012,4.08152,14.0249,13.7632,3.75114,5.03427,2.49826,10.8376,3.77087,12.0561,6.89908,3.75368,12.5125,3.87118,10.0878,12.484,9.24524,5.01054,10.1723,6.73671,5.18289,4.23404,7.07277,8.87292,3.2306,5.07953,3.4989,5.93375,4.31021,4.84118,8.1312,4.00073,4.90691,7.04664,2.91432,2.09672,10.1425,11.0502,2.64748,3.21041,6.6804,9.40884,3.8646,3.3478,8.91731,2.96542,3.72248,8.46861,9.71681,7.12482,2.21303,11.6165,2.50096,8.76612,4.56157,8.61651,9.7923,7.85695,3.57316,8.34233,7.71009,3.27991,6.56507,11.5368,5.0767,3.96928,2.85931,2.30309,2.60235,4.30707,2.53624,7.82179,9.78047,7.45094,10.5137,8.80514,4.72788,8.83313,9.85459,6.72546,6.5103,6.25406,3.34409,3.38675,2.41026,8.1186,7.56719,2.29808,6.99664,"Septic"
"GSM1373937",8.34246,5.35547,7.71926,10.4921,10.6271,9.05153,10.5706,6.06351,5.67171,9.4516,10.6074,3.2782,14.0774,13.8837,4.01463,4.15069,2.33117,11.3537,4.04004,11.9668,7.59059,3.90339,12.8502,3.7138,10.4266,13.3972,8.08465,2.80069,11.0665,5.83326,5.82843,4.93436,5.2636,7.7694,3.41138,5.10325,3.82022,6.34689,4.07825,4.51862,4.73918,3.7909,5.01421,5.99952,2.45761,1.97398,10.0291,11.3954,2.06248,3.40833,5.6668,9.71484,4.09457,2.62086,9.30988,3.54288,3.61181,8.08922,9.43599,7.31856,2.54193,12.0996,2.23886,9.11697,4.58275,8.35424,6.29137,6.00581,3.06449,9.24761,7.13734,2.69759,6.17557,11.198,4.96762,4.741,2.93272,2.55198,3.03193,4.61179,2.48704,7.06166,9.63375,10.408,10.5535,8.72868,4.98851,9.08002,9.57076,6.19061,7.4176,5.87237,3.75083,4.12124,2.22682,4.80025,8.238,2.12162,7.75764,"Septic"
"GSM1373940",8.3081,5.8763,8.15623,10.8458,10.8273,9.95127,10.6604,7.12128,6.28949,9.73867,10.512,3.79424,13.9811,13.8177,3.81705,4.98787,2.59704,11.809,4.34824,11.9582,7.92115,3.37528,12.8296,3.39723,10.2012,12.9278,8.95939,7.37563,10.7231,6.51344,5.79553,4.74359,8.7534,8.27378,3.21189,4.76723,3.73229,5.89536,4.45101,4.892,9.83521,4.03089,4.85922,6.54105,2.68481,1.77519,10.0899,11.4278,2.56048,3.15725,6.45257,9.76211,4.10118,2.98333,9.1414,2.98873,3.59876,8.4376,9.46057,7.30176,2.45375,12.2238,2.73915,9.13096,4.31459,8.75035,11.2672,10.5104,3.36176,8.6841,7.95544,2.81474,6.35429,11.4169,5.01635,3.78509,2.71369,2.73646,2.92424,4.13239,2.46684,7.57942,10.4148,10.1949,10.4271,8.84607,4.59384,8.94124,9.72872,6.72416,6.90674,5.71047,4.52169,4.70958,2.4946,9.68711,8.02077,2.25376,8.10582,"Septic"
"GSM1373943",8.8847,5.0244,8.56729,10.8485,10.8854,10.6842,10.8773,6.36898,5.59197,9.7527,10.4022,3.55431,14.2216,14.0754,3.8562,5.18859,2.25177,13.0535,3.62705,11.5622,6.82897,3.55864,13.2297,3.30081,10.3985,13.8762,7.37316,5.48976,11.9989,6.85146,5.95097,4.49537,7.17773,8.82738,2.93112,5.14853,3.31759,6.16943,4.18985,5.70945,11.082,4.24565,5.11648,6.76726,2.79561,2.32923,8.56085,11.0881,2.00915,3.48747,5.78549,10.1758,3.90571,2.50141,9.61007,2.76271,3.62829,8.33924,8.47277,8.08872,2.23833,12.8031,2.88005,9.50426,3.42561,8.46258,10.8156,8.55666,3.13165,8.72295,5.44834,2.73015,6.22725,11.4308,4.72575,4.3998,2.98939,2.57799,3.09844,4.24887,2.57555,7.04962,8.51239,12.5674,10.2097,8.87417,4.76876,9.1655,10.0411,6.58389,7.57609,5.86263,3.82143,5.622,2.12419,11.0628,8.09806,2.08085,6.76595,"Septic"
