"MeanDecreaseGini","Feature","Iteration"
2.91756430315974,"MAPK14",1
0,"OLFM4",1
0,"OLFM4.1",1
0,"PTX3",1
0.288733429957828,"NOTCH1",1
0,"HIF1A",1
0,"HIF1A.1",1
0.133442963535295,"HIF1A.2",1
0.0133333333333333,"IL8",1
0.116206876102189,"SOCS3",1
0,"SOCS3.1",1
7.50940205215775,"MMP9",1
0.117850267379679,"TREM1",1
0.0792926341959315,"IL1B",1
0.238908207226928,"MYD88",1
0.104372737556561,"MYD88.1",1
1.00965684094615,"C3AR1",1
3.24396998749474,"BCL2",1
12.2919314391525,"BCL2.1",1
0,"TNF",1
3.15947701286266,"CX3CR1",1
15.9812023680731,"S100A12",1
1.66926505305527,"CCR7",1
0,"ELANE",1
4.88728779580801,"IL1R2",1
6.94938960508863,"GATA3",1
7.47097353166348,"GATA3.1",1
0.146126466585203,"MMP8",1
3.84934620624713,"MMP8.1",1
0.0735375722543352,"MMP8.2",1
15.7110779436256,"CD177",1
13.5638659320369,"CD177.1",1
0.277365990670439,"CCR2",1
2.87728093139014,"ITGAM",1
0.102204571842714,"ITGAM.1",1
0.279848425138726,"ITGAM.2",1
0.0872120708748616,"ICAM1",1
0.0198581560283688,"ICAM1.1",1
0.172822080283506,"C5AR1",1
0.0166666666666667,"C5AR1.1",1
0.0593516156462586,"IL10",1
0.0133333333333333,"PDCD1",1
0.01,"PDCD1.1",1
0,"P2RX7",1
0,"P2RX7.1",1
2.332340198541,"TLR2",1
0.0394992140219085,"TLR2.1",1
0.0326985616010009,"FCGR1A",1
0.0921226637633824,"FCGR1A.1",1
0,"PLAUR",1
0.0128838951310863,"NLRP3",1
0.0183365384615386,"BCL2.2",1
0.0589944134078212,"BCL2.3",1
0,"NLRP3.1",1
0,"HMGB1",1
0,"HMGB1.1",1
0.0980551495016613,"CD14",1
0.0198901098901098,"CD14.1",1
1.5223083307397,"MAPK14.1",1
4.94640313504588,"MAPK14.2",1
0.173406395546523,"PLAUR.1",1
0,"PLAUR.2",1
3.13299433424354,"HLA.DRA",1
0.0576741996233523,"PLAUR.3",1
