"Feature","Mean_Importance","SD_Importance"
"S100A12",3.39942402321574,0.854022132692921
"IL1R2",3.38577302964147,0.786336600926423
"SOCS3",2.00189303500855,0.760574703629257
"MMP9",1.98949426986567,0.851999820075601
"S100A8",1.96318869882997,0.782052847986867
"MAPK14",1.86844945108816,0.898092301741962
"ARG1",1.846832135014,0.954888620164541
"CD177",1.67205011451659,0.728509227509222
"TLR4",1.45707402246727,0.817701256628017
"S100A9",1.24058979990465,0.680677792023
"TLR2",1.2330783956484,0.589400211121198
"GATA3",1.08431219469514,0.538128827268795
"BCL2",1.00555634092506,0.614088822465613
"MMP8",0.792313531121612,0.52961110727384
"HLA.DRA",0.696330296399572,0.524070828564648
"C3AR1",0.599982639636682,0.424504336072292
"MYD88",0.325865806521658,0.305494184806819
"ITGAM",0.31786741168496,0.236800028325217
"CCR7",0.276878774808616,0.265969852721009
"IL10",0.227972219886048,0.248926874590265
"IL1B",0.136789044209033,0.176440950363184
"HIF1A",0.132170862074367,0.164020931406604
"NLRP3",0.12500532366108,0.175023616489172
"PTX3",0.0917169713384496,0.120798255046826
"PLAUR",0.0896787586133517,0.0864326835334171
"LCN2",0.0772704838654445,0.115180011413058
"CX3CR1",0.0768192714310914,0.087182733194754
"TNFSF10",0.0528236834087458,0.0723852652433592
"OLFM4",0.0501008575721468,0.072080281618164
"VCAM1",0.0475443866287767,0.0432657347302471
"ICAM1",0.0452182564611905,0.0684475102727776
"CCL25",0.0445655305137424,0.086083771494556
"CALCA",0.0374549315636897,0.0395584330917283
"CXCL10",0.0368138349418862,0.0541391399777826
"ELANE",0.0362466643872748,0.05286331647516
"LBP",0.0283561525492067,0.0377395439099767
"CCR2",0.0277731071716731,0.0448331506638756
"TNF",0.0251708938440642,0.033498038455185
"IFNA2",0.025156517649496,0.0280294637137737
"IFNB1",0.0230998142763892,0.0381378662817415
"IL6",0.0220375926528695,0.0319425945342708
"CXCL8",0.0203678885374276,0.0339053304518098
"HMGB1",0.0195046760439568,0.0433043576895102
"NOTCH1",0.0166195068906261,0.0348046500182795
"P2RX7",0.0157646963058485,0.0205449880912689
"CD14",0.0157515610735027,0.0265529821256817
"TREM1",0.0144699586764261,0.0214407832644176
"C5AR1",0.0139743113651071,0.022538467912843
"IFNG",0.0130136257464448,0.0204980946118801
"CCL19",0.0101652020054449,0.0241338188543471
"PDCD1",0.00664642119872496,0.0146059984282592
"CCL2",0.00501714318105232,0.0125252737477314
"CRP",0.00468452334944434,0.0103026333287932
