"Feature","Mean_Importance","SD_Importance"
"S100A12",3.37042538448096,1.03418904465531
"IL1R2",2.76438073775934,0.900230874407148
"CD177",2.18708702623639,0.862972201587139
"SOCS3",2.14653796314735,1.00966309344787
"ARG1",1.87413370503458,1.13217567539802
"TLR4",1.6687144906681,0.84217341977519
"S100A8",1.64213263345193,0.661793386072845
"MAPK14",1.58167971948209,0.728847383447482
"GATA3",1.56423987160287,0.742672266625431
"S100A9",1.28882176329727,0.668212304340891
"MMP9",1.19721672346669,0.793162031164567
"C3AR1",1.13888621122811,0.648904509736276
"MMP8",1.11236637279609,0.819995865077588
"BCL2",0.986356621065357,0.576458907394768
"TLR2",0.765640785007034,0.52036210656991
"IL10",0.572072665804526,0.477900975783941
"PTX3",0.335730035381854,0.28436868128316
"ITGAM",0.328169861230903,0.320399939738285
"MYD88",0.280506366625678,0.278203519857647
"HLA.DRA",0.243924224561014,0.252942923460447
"IL1B",0.181101337785494,0.230753949460634
"CX3CR1",0.159070672217994,0.175436382739648
"LCN2",0.136845207884234,0.184018716813116
"CCR7",0.123070944511266,0.147049381718031
"HIF1A",0.111704691493395,0.156047469749029
"NLRP3",0.106173873359067,0.134593492865669
"OLFM4",0.102826352197653,0.146226946352861
"ELANE",0.102284332396367,0.152727812571045
"ICAM1",0.097428358308706,0.090973326898747
"PLAUR",0.0870386086913622,0.0954329595037037
"TNFSF10",0.0510061349104618,0.0782789744971176
"C5AR1",0.0405484699486394,0.0456282333487207
"CCR2",0.0339368138741147,0.0385578360984049
"TNF",0.0334646368874393,0.0394544181159139
"LBP",0.0325429786621568,0.0482575589569406
"HMGB1",0.0321725883548737,0.0730743027295239
"CCL25",0.0316326831230014,0.0529895616482219
"IFNG",0.0301138615519904,0.0358830217821175
"NOTCH1",0.0278508478352606,0.035656331384198
"TREM1",0.0240146026548447,0.033042189263944
"CD14",0.0239939181844328,0.0300480856682536
"CRP",0.0223264166118843,0.0318315743725823
"P2RX7",0.0215026818980848,0.0278745701494541
"CXCL10",0.021220247905628,0.0341592731523775
"IFNB1",0.0207034675216523,0.0383834982491459
"IL6",0.0197208112866463,0.0271043639911597
"CXCL8",0.0166611708766992,0.0292618494618577
"CCL2",0.0131760906033906,0.0212199665213045
"CALCA",0.0128984790037812,0.029036447006243
"VCAM1",0.0118449662831621,0.0218855450787577
"IFNA2",0.0100322452963739,0.0204783319907882
"CCL19",0.005488468381727,0.012243485918535
"PDCD1",0.0046069958141398,0.0116931619887913
