"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.962486036441986,0.973174603174603,1,0.955,0.998333333333333,0.998,0.974285714285714
"NLRP3",0.962486036441986,0.973174603174603,0.999791666666667,0.955,0.998333333333333,0.998,0.974285714285714
"CCR7",0.960503873699359,0.971746031746032,1,0.9525,0.998333333333333,0.998,0.972857142857143
"CRP",0.958374582404827,0.97,0.999583333333333,0.9475,1,1,0.97
"MAPK14",0.960798130803168,0.972380952380952,1,0.9575,0.995,0.994,0.975714285714286
"CX3CR1",0.966450361927241,0.976031746031746,1,0.96,0.998333333333333,0.998,0.977142857142857
"ELANE",0.956539548214105,0.968888888888889,0.999791666666667,0.9475,0.998333333333333,0.998,0.97
"GATA3",0.950887317090032,0.965238095238095,0.999583333333333,0.945,0.995,0.994,0.968571428571429
"HIF1A",0.956774726608222,0.968730158730159,0.999166666666667,0.95,0.996666666666667,0.996,0.971785714285714
"HLA.DRA",0.958668839508636,0.970634920634921,1,0.9525,0.996666666666667,0.996,0.972857142857143
"HMGB1",0.956539548214105,0.968888888888889,1,0.9475,0.998333333333333,0.998,0.97
"ICAM1",0.962338907890082,0.972857142857143,1,0.9525,1,1,0.972857142857143
"IFNA2",0.958521710956732,0.97031746031746,1,0.95,0.998333333333333,0.998,0.971428571428571
"IFNB1",0.964615327736518,0.974920634920635,1,0.96,0.996666666666667,0.996,0.977142857142857
"IFNG",0.968432524669868,0.977460317460317,1,0.9625,0.998333333333333,0.998,0.978571428571429
"IL1B",0.962486036441986,0.973174603174603,0.999583333333333,0.955,0.998333333333333,0.998,0.974285714285714
"IL6",0.954704514023382,0.967777777777778,0.999583333333333,0.9475,0.996666666666667,0.996,0.97
"CXCL8",0.958668839508636,0.970634920634921,0.999583333333333,0.9525,0.996666666666667,0.996,0.972857142857143
"IL10",0.960356745147455,0.971428571428571,1,0.95,1,1,0.971428571428571
"CXCL10",0.956686676766009,0.969206349206349,1,0.95,0.996666666666667,0.996,0.971428571428571
"ITGAM",0.958521710956732,0.97031746031746,1,0.95,0.998333333333333,0.998,0.971428571428571
"ARG1",0.952722351280755,0.966349206349206,1,0.945,0.996666666666667,0.996,0.968571428571429
"LBP",0.962338907890082,0.972857142857143,0.999375,0.9525,1,1,0.972857142857143
"LCN2",0.962338907890082,0.972857142857143,1,0.9525,1,1,0.972857142857143
"MMP8",0.954410256919573,0.967142857142857,1,0.9425,1,1,0.967142857142857
"MMP9",0.949199411451214,0.964444444444444,0.999583333333333,0.9475,0.991666666666667,0.99,0.97
"MYD88",0.964321070632709,0.974285714285714,0.999583333333333,0.955,1,1,0.974285714285714
"NOTCH1",0.95464543531369,0.966984126984127,1,0.945,0.998333333333333,0.998,0.968928571428571
"P2RX7",0.966597490479145,0.976349206349206,0.999166666666667,0.9625,0.996666666666667,0.996,0.978571428571429
"PDCD1",0.956337207032693,0.969246031746032,0.999583333333333,0.95,0.996666666666667,0.9955,0.971190476190476
"PLAUR",0.960503873699359,0.971746031746032,0.999166666666667,0.9525,0.998333333333333,0.998,0.972857142857143
"TREM1",0.960356745147455,0.971428571428571,1,0.95,1,1,0.971428571428571
"CD177",0.976508304192282,0.983492063492064,0.999791666666667,0.975,0.996666666666667,0.996,0.985714285714286
"PTX3",0.958668839508636,0.970634920634921,0.999166666666667,0.9525,0.996666666666667,0.996,0.972857142857143
"BCL2",0.972249721603218,0.98,0.999791666666667,0.965,1,1,0.98
"S100A8",0.960591923541572,0.971269841269841,1,0.9525,0.998333333333333,0.998,0.973214285714286
"S100A9",0.960356745147455,0.971428571428571,1,0.95,1,1,0.971428571428571
"S100A12",0.937398350917847,0.956865079365079,0.99875,0.94,0.986666666666667,0.9835,0.96547619047619
"CCL2",0.956539548214105,0.968888888888889,1,0.9475,0.998333333333333,0.998,0.97
"CCL19",0.966450361927241,0.976031746031746,1,0.96,0.998333333333333,0.998,0.977142857142857
"CCL25",0.952869479832659,0.966666666666667,0.999791666666667,0.9475,0.995,0.994,0.97
"TLR2",0.958374582404827,0.97,0.999791666666667,0.9475,1,1,0.97
"TLR4",0.962338907890082,0.972857142857143,0.999583333333333,0.9525,1,1,0.972857142857143
"TNF",0.958668839508636,0.970634920634921,1,0.9525,0.996666666666667,0.996,0.972857142857143
"C3AR1",0.964468199184614,0.974603174603175,0.999791666666667,0.9575,0.998333333333333,0.998,0.975714285714286
"C5AR1",0.958521710956732,0.97031746031746,0.999583333333333,0.95,0.998333333333333,0.998,0.971428571428571
"CCR2",0.956686676766009,0.969206349206349,0.999583333333333,0.95,0.996666666666667,0.996,0.971428571428571
"VCAM1",0.958374582404827,0.97,1,0.9475,1,1,0.97
"IL1R2",0.95257522272885,0.966031746031746,0.999583333333333,0.9425,0.998333333333333,0.998,0.967142857142857
"CALCA",0.960651002251264,0.972063492063492,1,0.955,0.996666666666667,0.996,0.974285714285714
"TNFSF10",0.958521710956732,0.97031746031746,1,0.95,0.998333333333333,0.998,0.971428571428571
"SOCS3",0.976508304192282,0.983492063492064,1,0.975,0.996666666666667,0.996,0.985714285714286
"CD14",0.958815968060541,0.970952380952381,0.999583333333333,0.955,0.995,0.994,0.974285714285714
