"MCC","F1","AUC","TPR","TNR","PPV","NPV"
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,0.979166666666667,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
0.612372435695795,0.666666666666667,1,0.5,1,1,0.75
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
1,1,1,1,1,1,1
0.801783725737273,0.857142857142857,1,0.75,1,1,0.857142857142857
