"MeanDecreaseGini","Feature","Iteration"
0.0192857142857143,"OLFM4",1
0.251535473049549,"NLRP3",1
0.489727605940908,"CCR7",1
0.01,"CRP",1
1.99928115918497,"MAPK14",1
0.193960863697706,"CX3CR1",1
0.0194285714285714,"ELANE",1
2.52471780237879,"GATA3",1
0,"HIF1A",1
0.762589005000226,"HLA.DRA",1
0.019375,"HMGB1",1
0.0193333333333333,"ICAM1",1
0,"IFNA2",1
0,"IFNB1",1
0.064,"IFNG",1
0.0192592592592593,"IL1B",1
0.0193333333333333,"IL6",1
0,"CXCL8",1
0.927491697157332,"IL10",1
0.01,"CXCL10",1
0.219250829777146,"ITGAM",1
1.9123467446532,"ARG1",1
0.0551351351351351,"LBP",1
0.174579397210976,"LCN2",1
0.538481214151981,"MMP8",1
0.497863568715866,"MMP9",1
0.842659278644584,"MYD88",1
0,"NOTCH1",1
0.019375,"P2RX7",1
0.015,"PDCD1",1
0.0865454545454545,"PLAUR",1
0,"TREM1",1
1.07420462213225,"CD177",1
0,"PTX3",1
1.92863178032941,"BCL2",1
1.17302099078987,"S100A8",1
1.30308202863814,"S100A9",1
2.32937493901606,"S100A12",1
0,"CCL2",1
0,"CCL19",1
0.0133333333333333,"CCL25",1
1.82847196082972,"TLR2",1
1.31272546424385,"TLR4",1
0,"TNF",1
1.12397494937465,"C3AR1",1
0,"C5AR1",1
0.0193103448275862,"CCR2",1
0.0875,"VCAM1",1
1.23977426507372,"IL1R2",1
0.00931034482758619,"CALCA",1
0,"TNFSF10",1
2.65949804233222,"SOCS3",1
0.0461788617886179,"CD14",1
0.0192307692307692,"OLFM4",2
0.0193548387096774,"NLRP3",2
0.0369230769230769,"CCR7",2
0.00923076923076923,"CRP",2
2.54897572595281,"MAPK14",2
0.133575,"CX3CR1",2
0.0720462228778659,"ELANE",2
2.92899417364061,"GATA3",2
0.185483709273183,"HIF1A",2
0.203071338824515,"HLA.DRA",2
0.019047619047619,"HMGB1",2
0.037037037037037,"ICAM1",2
0.0434799608993157,"IFNA2",2
0,"IFNB1",2
0,"IFNG",2
0,"IL1B",2
0.0194117647058823,"IL6",2
0.0191666666666667,"CXCL8",2
0.380249345331015,"IL10",2
0.0620092165898617,"CXCL10",2
0.152385129490393,"ITGAM",2
2.2049368946574,"ARG1",2
0.0618787878787879,"LBP",2
0.02,"LCN2",2
0.485173620768222,"MMP8",2
1.80191084067525,"MMP9",2
0.115701190667388,"MYD88",2
0,"NOTCH1",2
0.0746607341490545,"P2RX7",2
0,"PDCD1",2
0,"PLAUR",2
0,"TREM1",2
1.09358752436647,"CD177",2
0.0545454545454545,"PTX3",2
0.900549467510418,"BCL2",2
1.11496954191033,"S100A8",2
0.995896800825593,"S100A9",2
4.07715379011117,"S100A12",2
0,"CCL2",2
0.0183025210084034,"CCL19",2
0.0176333333333333,"CCL25",2
1.29094456425038,"TLR2",2
1.62745611054646,"TLR4",2
0,"TNF",2
0.511038143746463,"C3AR1",2
0,"C5AR1",2
0.017536231884058,"CCR2",2
0.0376470588235294,"VCAM1",2
1.57882559784349,"IL1R2",2
0,"CALCA",2
0,"TNFSF10",2
3.00506714536552,"SOCS3",2
0,"CD14",2
0.518981522192048,"OLFM4",3
0,"NLRP3",3
0,"CCR7",3
0,"CRP",3
2.68112052368382,"MAPK14",3
0,"CX3CR1",3
0,"ELANE",3
2.37227316917173,"GATA3",3
0,"HIF1A",3
0.261470985155196,"HLA.DRA",3
0,"HMGB1",3
0.0190909090909091,"ICAM1",3
0,"IFNA2",3
0.0193548387096774,"IFNB1",3
0.0137777777777778,"IFNG",3
0,"IL1B",3
0,"IL6",3
0,"CXCL8",3
1.06230133689662,"IL10",3
0.019375,"CXCL10",3
0.448005923900661,"ITGAM",3
3.52388868181438,"ARG1",3
0.292754722991828,"LBP",3
0.250268779605164,"LCN2",3
1.58047602654085,"MMP8",3
1.54963840155945,"MMP9",3
0.23584376542379,"MYD88",3
0,"NOTCH1",3
0.024,"P2RX7",3
0,"PDCD1",3
0,"PLAUR",3
0,"TREM1",3
1.60719124693454,"CD177",3
0,"PTX3",3
0.353366027050238,"BCL2",3
1.71773481781377,"S100A8",3
0.300056593095642,"S100A9",3
2.62614369234064,"S100A12",3
0.0383809523809524,"CCL2",3
0,"CCL19",3
0.0384307692307692,"CCL25",3
0.849669722693831,"TLR2",3
0.549812462189958,"TLR4",3
0.016,"TNF",3
0.798909910355827,"C3AR1",3
0,"C5AR1",3
0,"CCR2",3
0,"VCAM1",3
1.85761519053009,"IL1R2",3
0,"CALCA",3
0.196526670210881,"TNFSF10",3
2.09192554557125,"SOCS3",3
0.0666666666666667,"CD14",3
0,"OLFM4",4
0,"NLRP3",4
0.334130440797334,"CCR7",4
0,"CRP",4
1.69123451110293,"MAPK14",4
0.0912280701754386,"CX3CR1",4
0.016,"ELANE",4
1.40345893414314,"GATA3",4
0.764960839598998,"HIF1A",4
0.738311784423839,"HLA.DRA",4
0,"HMGB1",4
0.0533333333333333,"ICAM1",4
0,"IFNA2",4
0,"IFNB1",4
0,"IFNG",4
0,"IL1B",4
0.0192857142857143,"IL6",4
0.0194285714285714,"CXCL8",4
1.32478846548189,"IL10",4
0.0192857142857143,"CXCL10",4
0.717478499877657,"ITGAM",4
2.80884868421053,"ARG1",4
0.0193333333333333,"LBP",4
0.380111860848703,"LCN2",4
0.703069491911597,"MMP8",4
0.907639222690156,"MMP9",4
0.0194285714285714,"MYD88",4
0,"NOTCH1",4
0.0190909090909091,"P2RX7",4
0,"PDCD1",4
0.0529655172413793,"PLAUR",4
0,"TREM1",4
1.61320007955943,"CD177",4
0,"PTX3",4
1.9790367919539,"BCL2",4
1.36746305074726,"S100A8",4
1.32842141506051,"S100A9",4
2.3210242925321,"S100A12",4
0,"CCL2",4
0,"CCL19",4
0,"CCL25",4
0.822713456435206,"TLR2",4
1.08460526315789,"TLR4",4
0,"TNF",4
0.553433478209097,"C3AR1",4
0,"C5AR1",4
0,"CCR2",4
0.110300925925926,"VCAM1",4
1.74892577597841,"IL1R2",4
0,"CALCA",4
0,"TNFSF10",4
2.80491228070175,"SOCS3",4
0.112726158645276,"CD14",4
0.236608187134503,"OLFM4",5
0.149092731829574,"NLRP3",5
0,"CCR7",5
0,"CRP",5
2.85890571590266,"MAPK14",5
0.133714285714286,"CX3CR1",5
0,"ELANE",5
1.39334586466165,"GATA3",5
0.193875243664717,"HIF1A",5
0.79078652513637,"HLA.DRA",5
0,"HMGB1",5
0.120227272727273,"ICAM1",5
0.0369230769230769,"IFNA2",5
0,"IFNB1",5
0,"IFNG",5
0.0384900284900285,"IL1B",5
0.158939628482972,"IL6",5
0,"CXCL8",5
1.37432916333346,"IL10",5
0,"CXCL10",5
0.344315333789018,"ITGAM",5
2.544,"ARG1",5
0.0570370370370371,"LBP",5
0.0385449735449735,"LCN2",5
0.0193548387096774,"MMP8",5
1.11548456749815,"MMP9",5
0.301972000708843,"MYD88",5
0,"NOTCH1",5
0,"P2RX7",5
0,"PDCD1",5
0,"PLAUR",5
0,"TREM1",5
1.65558820127241,"CD177",5
0,"PTX3",5
0.788359788359788,"BCL2",5
