"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"OLFM4",0.980474315681476,0.984,0.999444444444444,0.973333333333333,1,1,0.988571428571429
"NLRP3",0.97315218406203,0.978,0.999166666666667,0.963333333333333,1,1,0.984285714285714
"CCR7",0.975592894601845,0.98,0.999166666666667,0.966666666666667,1,1,0.985714285714286
"CRP",0.978033605141661,0.982,0.999444444444444,0.97,1,1,0.987142857142857
"MAPK14",0.980929967221211,0.984809523809524,0.999444444444444,0.983333333333333,0.995,0.991666666666667,0.99297619047619
"CX3CR1",0.973033605141661,0.978666666666667,0.998888888888889,0.966666666666667,0.998333333333333,0.996666666666667,0.985476190476191
"ELANE",0.980355736761107,0.983,0.999444444444444,0.973333333333333,1,1,0.988928571428571
"GATA3",0.963498588752266,0.970238095238095,0.998888888888889,0.956666666666667,0.996666666666667,0.994166666666667,0.981547619047619
"HIF1A",0.982915026221292,0.986,1,0.976666666666667,1,1,0.99
"HLA.DRA",0.97604854614158,0.982476190476191,0.998888888888889,0.98,0.993333333333333,0.988333333333333,0.990952380952381
"HMGB1",0.978726414522134,0.983142857142857,0.999444444444444,0.976666666666667,0.996666666666667,0.995,0.99
"ICAM1",0.980820720371713,0.984571428571429,0.999722222222222,0.976666666666667,0.998333333333333,0.9975,0.99
"IFNA2",0.965939299292082,0.972238095238095,0.998888888888889,0.96,0.996666666666667,0.994166666666667,0.98297619047619
"IFNB1",0.980474315681476,0.984,0.999444444444444,0.973333333333333,1,1,0.988571428571429
"IFNG",0.975939299292082,0.980571428571429,0.999444444444444,0.97,0.998333333333333,0.9975,0.987142857142857
"IL1B",0.975820720371713,0.979571428571429,1,0.97,0.998333333333333,0.9975,0.9875
"IL6",0.982915026221292,0.986,1,0.976666666666667,1,1,0.99
"CXCL8",0.977915026221292,0.982666666666667,0.999444444444444,0.973333333333333,0.998333333333333,0.996666666666667,0.988333333333333
"IL10",0.990237157840738,0.992,1,0.986666666666667,1,1,0.994285714285714
"CXCL10",0.982796447300923,0.986666666666667,0.999444444444444,0.98,0.998333333333333,0.996666666666667,0.991190476190476
"ITGAM",0.980820720371713,0.984571428571429,0.999444444444444,0.976666666666667,0.998333333333333,0.9975,0.99
"ARG1",0.963389341902768,0.97,0.999444444444444,0.95,1,1,0.978571428571429
"LBP",0.980474315681476,0.984,0.999722222222222,0.973333333333333,1,1,0.988571428571429
"LCN2",0.978726414522134,0.983142857142857,0.999444444444444,0.976666666666667,0.996666666666667,0.995,0.99
"MMP8",0.975820720371713,0.981238095238095,0.999444444444444,0.973333333333333,0.996666666666667,0.994166666666667,0.988333333333333
"MMP9",0.976285703982318,0.981142857142857,1,0.973333333333333,0.996666666666667,0.995,0.988571428571429
"MYD88",0.980474315681476,0.984,0.998888888888889,0.973333333333333,1,1,0.988571428571429
"NOTCH1",0.975939299292082,0.980571428571429,0.999444444444444,0.97,0.998333333333333,0.9975,0.987142857142857
"P2RX7",0.975474315681476,0.980666666666667,0.998888888888889,0.97,0.998333333333333,0.996666666666667,0.986904761904762
"PDCD1",0.973380009831897,0.979238095238095,0.998888888888889,0.97,0.996666666666667,0.994166666666667,0.986904761904762
"PLAUR",0.970474315681476,0.975666666666667,0.999444444444444,0.963333333333333,0.998333333333333,0.996666666666667,0.984404761904762
"TREM1",0.980474315681476,0.984,0.998888888888889,0.973333333333333,1,1,0.988571428571429
"CD177",0.99302427307079,0.994571428571429,1,0.993333333333333,0.998333333333333,0.9975,0.997142857142857
"PTX3",0.982915026221292,0.986,1,0.976666666666667,1,1,0.99
"BCL2",0.970939299292082,0.975571428571429,1,0.963333333333333,0.998333333333333,0.9975,0.984642857142857
"S100A8",0.982915026221292,0.986,1,0.976666666666667,1,1,0.99
"S100A9",0.987796447300923,0.99,1,0.983333333333333,1,1,0.992857142857143
"S100A12",0.986394950831816,0.989714285714286,1,0.99,0.995,0.9925,0.995714285714286
"CCL2",0.967915026221292,0.974333333333333,0.998888888888889,0.963333333333333,0.996666666666667,0.993333333333333,0.984166666666667
"CCL19",0.983261430911528,0.986571428571429,1,0.98,0.998333333333333,0.9975,0.991428571428571
"CCL25",0.978033605141661,0.982,1,0.97,1,1,0.987142857142857
"TLR2",0.982796447300923,0.985,1,0.976666666666667,1,1,0.990357142857143
"TLR4",0.965830052442584,0.972,0.999444444444444,0.953333333333333,1,1,0.98
"TNF",0.982915026221292,0.986,1,0.976666666666667,1,1,0.99
"C3AR1",0.977915026221292,0.982666666666667,0.999444444444444,0.973333333333333,0.998333333333333,0.996666666666667,0.988333333333333
"C5AR1",0.973261430911528,0.978238095238095,0.999444444444444,0.97,0.996666666666667,0.994166666666667,0.987261904761905
"CCR2",0.980474315681476,0.984,1,0.973333333333333,1,1,0.988571428571429
"VCAM1",0.977796447300923,0.983333333333333,0.998611111111111,0.976666666666667,0.996666666666667,0.993333333333333,0.989523809523809
"IL1R2",0.970592894601845,0.976666666666667,0.999444444444444,0.963333333333333,0.998333333333333,0.996666666666667,0.984047619047619
"CALCA",0.978607835601765,0.982142857142857,0.999444444444444,0.976666666666667,0.996666666666667,0.995,0.990357142857143
"TNFSF10",0.970939299292082,0.977238095238095,0.998333333333333,0.966666666666667,0.996666666666667,0.994166666666667,0.985476190476191
"SOCS3",0.966522861823056,0.973142857142857,0.998888888888889,0.96,0.996666666666667,0.995,0.982857142857143
"CD14",0.973033605141661,0.978666666666667,0.999444444444444,0.966666666666667,0.998333333333333,0.996666666666667,0.985476190476191
