"Feature","Mean_Importance","SD_Importance"
"S100A12",3.08064939030033,0.837878605952133
"SOCS3",2.83500551581569,0.82502018799388
"GATA3",2.22482840223905,0.845397801208185
"MAPK14",2.19677676908365,0.805665685679393
"ARG1",1.77196570089157,0.882277146325092
"S100A8",1.74254372454233,0.782016935606465
"BCL2",1.60558523700597,0.864784714845717
"TLR2",1.44790496612739,0.745875423515708
"IL1R2",1.38029840068523,0.701123047928579
"CD177",1.23372125729232,0.606042933693839
"MMP9",1.21005770312653,0.718778474486352
"S100A9",1.16149987902798,0.572050660035887
"TLR4",1.10564682136124,0.626462576161759
"MMP8",0.831418518237301,0.571870749629741
"C3AR1",0.793727209413053,0.562117798349017
"IL10",0.597459251444796,0.435757739304771
"MYD88",0.584485180159765,0.42268836566271
"HLA.DRA",0.464681725134891,0.345911436139969
"CCR7",0.19112370393335,0.219425270957091
"NLRP3",0.139609279670557,0.164506184679226
"ITGAM",0.139084481902783,0.180849663736358
"LCN2",0.13689446187242,0.18721789246373
"CX3CR1",0.131731057709033,0.152445365516001
"OLFM4",0.130030016406209,0.166819625835465
"HIF1A",0.114568596737024,0.169734481799273
"LBP",0.0850258980714741,0.0951825735572541
"IL1B",0.0765967889591409,0.106032737524475
"ICAM1",0.0531842242206832,0.0600241521582616
"PLAUR",0.0477437172911411,0.0552927618715088
"TNFSF10",0.0341566758043939,0.0682440927697603
"CCL25",0.0305534817886106,0.040561668577188
"PTX3",0.0266227761098094,0.0509833049402577
"IFNA2",0.0265383918182356,0.0353220158955621
"IL6",0.0242906349636364,0.032014511421264
"NOTCH1",0.0240044881217087,0.0374572245893851
"TNF",0.0238659334654682,0.0335493053152402
"HMGB1",0.0237535161257472,0.0486678333149915
"ELANE",0.0221606898639991,0.0416336224922947
"P2RX7",0.0203327362504971,0.0280042439750774
"TREM1",0.0187008624995984,0.0235937668001105
"CXCL10",0.0169500016165115,0.0248289753464898
"CCR2",0.0147365195757547,0.0242117218480972
"CD14",0.0146901224356487,0.0249072746350182
"CALCA",0.0128933052532598,0.0229804257888401
"IFNG",0.0124954727183468,0.0309247202307271
"C5AR1",0.0120990543094373,0.0196466219026428
"VCAM1",0.011324692136646,0.0200669409001856
"CXCL8",0.00944438564419725,0.0179132843115546
"CCL2",0.00886194715099122,0.0150337415999296
"IFNB1",0.00670076333624791,0.0210207344603532
"CRP",0.00475483778717652,0.0158770416215671
"PDCD1",0.00470874677386938,0.011121834164502
"CCL19",0.00359629631361336,0.00932239188486228
