Gene,adjusted_p,Rank_Stat,Mean_Importance,Rank_RF,Rank_Diff,predicted_importance,EffectSize
MAPK14,8.81861438520366e-8,1,2.19677676908365,4,3,1.3260375338300825,-0.811
GATA3,8.81861438520366e-8,2,2.22482840223905,3,1,1.3260375338300825,0.807
CD177,8.81861438520366e-8,3,1.23372125729232,10,7,1.3260375338300825,-0.793
BCL2,8.81861438520366e-8,4,1.60558523700597,7,3,1.3260375338300825,0.79
S100A8,8.81861438520366e-8,5,1.74254372454233,6,1,1.3260375338300825,-0.807
S100A9,8.81861438520366e-8,6,1.16149987902798,12,6,1.3260375338300825,-0.795
S100A12,8.81861438520366e-8,7,3.08064939030033,1,6,1.3260375338300825,-0.819
TLR2,8.81861438520366e-8,8,1.44790496612739,8,0,1.3260375338300825,-0.793
TLR4,8.81861438520366e-8,9,1.10564682136124,13,4,1.3260375338300825,-0.79
IL1R2,8.81861438520366e-8,10,1.38029840068523,9,1,1.3260375338300825,-0.801
SOCS3,8.81861438520366e-8,11,2.83500551581569,2,9,1.3260375338300825,-0.819
MMP8,1.59332987371186e-7,12,0.831418518237301,14,2,1.2671669529711307,-0.773
IL10,2.29311648597818e-7,13,0.597459251444796,16,3,1.2309332156584134,-0.762
HLA.DRA,3.43847718934961e-7,14,0.464681725134891,18,4,1.190616063978054,0.748
ARG1,3.43847718934961e-7,15,1.77196570089157,5,10,1.190616063978054,-0.748
C3AR1,3.59255797130728e-7,16,0.793727209413053,15,1,1.1862535359937973,-0.745
MYD88,3.76684256800893e-7,17,0.584485180159765,17,0,1.1815390184141357,-0.742
MMP9,7.49704763768389e-7,18,1.21005770312653,11,7,1.1130423115332913,-0.723
LCN2,8.75598108372314e-6,19,0.13689446187242,22,3,0.8684412742028814,-0.654
CX3CR1,1.10687122121197e-5,20,0.131731057709033,23,3,0.8451152873912539,0.646
CCR7,1.15861500956305e-5,21,0.19112370393335,19,2,0.8405684249396842,0.643
OLFM4,3.65077325975047e-5,22,0.130030016406209,24,2,0.7263481920419858,-0.608
HIF1A,6.47176844932332e-5,23,0.114568596737024,25,2,0.6693720717018193,-0.588
ITGAM,1.128690496325e-4,24,0.139084481902783,21,3,0.6140197766669047,-0.569
LBP,2.2773621097462e-4,25,0.085025898071474093,26,1,0.5441608889038638,-0.543
IL1B,0.00102636355694955,26,0.0765967889591409,27,1,0.39432494283000974,-0.489
ICAM1,0.00106358765740262,27,0.0531842242206832,28,1,0.3907794755751259,-0.486
HMGB1,0.00158058818224135,28,0.0237535161257472,37,9,0.3513547799673127,0.469
PTX3,0.00158345976956253,29,0.0266227761098094,32,3,0.3511741380329687,-0.466
TNFSF10,0.00158345976956253,30,0.0341566758043939,30,0,0.3511741380329687,-0.466
NLRP3,0.00304920170361204,31,0.139609279670557,20,11,0.28596203435654477,-0.438
PLAUR,0.00315800106870841,32,0.0477437172911411,29,3,0.282472926494909,-0.435
ELANE,0.00327269368662711,33,0.0221606898639991,38,5,0.2789226423666294,-0.433
CCL25,0.0111223851892388,34,0.0305534817886106,31,3,0.15717545882883296,-0.378
NOTCH1,0.0295402599939372,35,0.0240044881217087,35,0,0.05996508481368257,0.329
CALCA,0.0432867477427875,36,0.0128933052532598,44,8,0.021939320737580877,-0.307
IFNA2,0.0538252789848571,37,0.0265383918182356,33,4,2.542854700897006e-4,0.293
IFNG,0.0549855158473596,38,0.0124954727183468,45,7,-0.0018681310746425732,0.29
TNF,0.135626899288299,39,0.0238659334654682,36,3,-0.09171837989222026,-0.232
IL6,0.218168136599947,40,0.0242906349636364,34,6,-0.13902594292529724,-0.196
TREM1,0.220695005955038,41,0.0187008624995984,40,1,-0.14017197814523516,0.193
IFNB1,0.314070552213865,42,0.00670076333624791,50,8,-0.17528614237103063,-0.162
P2RX7,0.348475249076774,43,0.0203327362504971,39,4,-0.18563118139206095,0.151
CRP,0.35130665617665,44,0.00475483778717652,51,7,-0.18643652545932274,-0.148
CXCL10,0.37636300126147,45,0.0169500016165115,41,4,-0.19329290221496598,-0.141
CCL19,0.402278354241727,46,0.00359629631361336,53,7,-0.19991994213802855,-0.132
CCL2,0.491928150163717,47,0.00886194715099122,49,2,-0.21994217095643237,-0.11
VCAM1,0.507719782019929,48,0.011324692136646,47,1,-0.22308669959603866,-0.105
C5AR1,0.537029098549254,49,0.0120990543094373,46,3,-0.22867200897349815,0.0966
CD14,0.666912890055028,50,0.0146901224356487,43,7,-0.25022870972634004,-0.069
CCR2,0.668449309820973,51,0.014736519575754701,42,9,-0.250457717636876,-0.0662
CXCL8,0.915326144764319,52,0.00944438564419725,48,4,-0.2817387686062884,-0.0193
PDCD1,1,53,0.00470874677386938,52,1,-0.29054376637826296,0
