Gene,adjusted_p,Rank_Stat
MAPK14,8.81861438520366e-8,1
GATA3,8.81861438520366e-8,2
CD177,8.81861438520366e-8,3
BCL2,8.81861438520366e-8,4
S100A8,8.81861438520366e-8,5
S100A9,8.81861438520366e-8,6
S100A12,8.81861438520366e-8,7
TLR2,8.81861438520366e-8,8
TLR4,8.81861438520366e-8,9
IL1R2,8.81861438520366e-8,10
SOCS3,8.81861438520366e-8,11
MMP8,1.59332987371186e-7,12
IL10,2.29311648597818e-7,13
HLA.DRA,3.43847718934961e-7,14
ARG1,3.43847718934961e-7,15
C3AR1,3.59255797130728e-7,16
MYD88,3.76684256800893e-7,17
MMP9,7.49704763768389e-7,18
LCN2,8.75598108372314e-6,19
CX3CR1,1.10687122121197e-5,20
CCR7,1.15861500956305e-5,21
OLFM4,3.65077325975047e-5,22
HIF1A,6.47176844932332e-5,23
ITGAM,1.128690496325e-4,24
LBP,2.2773621097462e-4,25
IL1B,0.00102636355694955,26
ICAM1,0.00106358765740262,27
HMGB1,0.00158058818224135,28
PTX3,0.00158345976956253,29
TNFSF10,0.00158345976956253,30
NLRP3,0.00304920170361204,31
PLAUR,0.00315800106870841,32
ELANE,0.00327269368662711,33
CCL25,0.0111223851892388,34
NOTCH1,0.0295402599939372,35
CALCA,0.0432867477427875,36
IFNA2,0.0538252789848571,37
IFNG,0.0549855158473596,38
TNF,0.135626899288299,39
IL6,0.218168136599947,40
TREM1,0.220695005955038,41
IFNB1,0.314070552213865,42
P2RX7,0.348475249076774,43
CRP,0.35130665617665,44
CXCL10,0.37636300126147,45
CCL19,0.402278354241727,46
CCL2,0.491928150163717,47
VCAM1,0.507719782019929,48
C5AR1,0.537029098549254,49
CD14,0.666912890055028,50
CCR2,0.668449309820973,51
CXCL8,0.915326144764319,52
PDCD1,1,53
