Gene,adjusted_p,Rank_Stat,Mean_Importance,Rank_RF,Rank_Diff
MAPK14,8.81861438520366e-8,1,2.19677676908365,4,3
GATA3,8.81861438520366e-8,2,2.22482840223905,3,1
CD177,8.81861438520366e-8,3,1.23372125729232,10,7
BCL2,8.81861438520366e-8,4,1.60558523700597,7,3
S100A8,8.81861438520366e-8,5,1.74254372454233,6,1
S100A9,8.81861438520366e-8,6,1.16149987902798,12,6
S100A12,8.81861438520366e-8,7,3.08064939030033,1,6
TLR2,8.81861438520366e-8,8,1.44790496612739,8,0
TLR4,8.81861438520366e-8,9,1.10564682136124,13,4
IL1R2,8.81861438520366e-8,10,1.38029840068523,9,1
SOCS3,8.81861438520366e-8,11,2.83500551581569,2,9
MMP8,1.59332987371186e-7,12,0.831418518237301,14,2
IL10,2.29311648597818e-7,13,0.597459251444796,16,3
HLA.DRA,3.43847718934961e-7,14,0.464681725134891,18,4
ARG1,3.43847718934961e-7,15,1.77196570089157,5,10
C3AR1,3.59255797130728e-7,16,0.793727209413053,15,1
MYD88,3.76684256800893e-7,17,0.584485180159765,17,0
MMP9,7.49704763768389e-7,18,1.21005770312653,11,7
LCN2,8.75598108372314e-6,19,0.13689446187242,22,3
CX3CR1,1.10687122121197e-5,20,0.131731057709033,23,3
CCR7,1.15861500956305e-5,21,0.19112370393335,19,2
OLFM4,3.65077325975047e-5,22,0.130030016406209,24,2
HIF1A,6.47176844932332e-5,23,0.114568596737024,25,2
ITGAM,1.128690496325e-4,24,0.139084481902783,21,3
LBP,2.2773621097462e-4,25,0.085025898071474093,26,1
IL1B,0.00102636355694955,26,0.0765967889591409,27,1
ICAM1,0.00106358765740262,27,0.0531842242206832,28,1
HMGB1,0.00158058818224135,28,0.0237535161257472,37,9
PTX3,0.00158345976956253,29,0.0266227761098094,32,3
TNFSF10,0.00158345976956253,30,0.0341566758043939,30,0
NLRP3,0.00304920170361204,31,0.139609279670557,20,11
PLAUR,0.00315800106870841,32,0.0477437172911411,29,3
ELANE,0.00327269368662711,33,0.0221606898639991,38,5
CCL25,0.0111223851892388,34,0.0305534817886106,31,3
NOTCH1,0.0295402599939372,35,0.0240044881217087,35,0
CALCA,0.0432867477427875,36,0.0128933052532598,44,8
IFNA2,0.0538252789848571,37,0.0265383918182356,33,4
IFNG,0.0549855158473596,38,0.0124954727183468,45,7
TNF,0.135626899288299,39,0.0238659334654682,36,3
IL6,0.218168136599947,40,0.0242906349636364,34,6
TREM1,0.220695005955038,41,0.0187008624995984,40,1
IFNB1,0.314070552213865,42,0.00670076333624791,50,8
P2RX7,0.348475249076774,43,0.0203327362504971,39,4
CRP,0.35130665617665,44,0.00475483778717652,51,7
CXCL10,0.37636300126147,45,0.0169500016165115,41,4
CCL19,0.402278354241727,46,0.00359629631361336,53,7
CCL2,0.491928150163717,47,0.00886194715099122,49,2
VCAM1,0.507719782019929,48,0.011324692136646,47,1
C5AR1,0.537029098549254,49,0.0120990543094373,46,3
CD14,0.666912890055028,50,0.0146901224356487,43,7
CCR2,0.668449309820973,51,0.014736519575754701,42,9
CXCL8,0.915326144764319,52,0.00944438564419725,48,4
PDCD1,1,53,0.00470874677386938,52,1
