"Feature","MCC","F1","AUC","TPR","TNR","PPV","NPV"
"PLAC8",0.872882064955053,0.978451480071521,0.991529605263158,0.987894736842105,0.85,0.969740361056792,0.944834776334776
"PLA2G7",0.837257745275677,0.971816048586377,0.988618421052632,0.978421052631579,0.8325,0.966157675428535,0.905480519480519
"CEACAM4",0.841601803941094,0.972737247013729,0.9884375,0.978421052631579,0.84125,0.967882559628709,0.902460317460318
"CEACAM4.1",0.870410113722491,0.978066101070964,0.987598684210526,0.986578947368421,0.8525,0.970275209822386,0.938079365079365
"PLAC8.1",0.798785451674751,0.963846971717048,0.981677631578947,0.962368421052632,0.83625,0.966292006275394,0.838534271284271
"LAMP1",0.860089882651421,0.975890274580936,0.99110197368421,0.983421052631579,0.8475,0.969173369930751,0.926739538239538
"CEACAM4.2",0.8702249826291,0.977559213479241,0.991957236842105,0.983421052631579,0.86375,0.972406850364167,0.92687481962482
"CEACAM4.3",0.857749976333784,0.975835369807776,0.99108552631579,0.985263157894737,0.8375,0.967209819568613,0.93273556998557
"LAMP1.1",0.860237564504636,0.976227814584432,0.991069078947368,0.985263157894737,0.84125,0.968014864057868,0.933493506493506
"PLAC8.2",0.873632551367574,0.978594075649959,0.992746710526316,0.987894736842105,0.85125,0.970072470571829,0.945106060606061
"PLAC8.3",0.866115466428128,0.977294553525467,0.992615131578947,0.986842105263158,0.84375,0.968584077528558,0.940609668109668
"LAMP1.2",0.861385930517904,0.976329891641171,0.990657894736842,0.985,0.84375,0.968477815887412,0.932805916305916
